Time,Heart Rate
00:00:05,84
00:00:10,85
00:00:15,84
00:00:20,84
00:00:30,85
00:00:35,86
00:00:40,87
00:00:55,87
00:01:10,87
00:01:25,87
00:01:30,84
00:01:35,78
00:01:50,80
00:01:55,81
00:02:00,83
00:02:05,84
00:02:10,84
00:02:15,85
00:02:30,85
00:02:35,84
00:02:40,84
00:02:50,83
00:02:55,84
00:03:00,84
00:03:15,84
00:03:30,84
00:03:45,84
00:03:50,85
00:04:05,85
00:04:10,84
00:04:15,83
00:04:20,82
00:04:25,82
00:04:30,81
00:04:35,81
00:04:40,80
00:04:45,77
00:04:55,78
00:05:00,80
00:05:10,81
00:05:20,80
00:05:25,81
00:05:30,81
00:05:45,80
00:05:50,76
00:05:55,77
00:06:00,79
00:06:05,81
00:06:10,82
00:06:15,82
00:06:30,81
00:06:35,80
00:06:40,79
00:06:45,80
00:06:50,81
00:07:05,81
00:07:20,81
00:07:25,82
00:07:40,82
00:07:45,82
00:07:55,80
00:08:05,81
00:08:15,81
00:08:20,83
00:08:25,84
00:08:30,83
00:08:35,82
00:08:45,82
00:08:50,82
00:08:55,82
00:09:10,83
00:09:15,82
00:09:20,83
00:09:25,84
00:09:30,85
00:09:45,85
00:09:55,83
00:10:05,82
00:10:20,82
00:10:35,82
00:10:40,83
00:10:50,83
00:10:55,83
00:11:10,83
00:11:15,84
00:11:30,84
00:11:31,84
00:11:46,86
00:12:01,85
00:12:16,85
00:12:31,85
00:12:36,84
00:12:41,81
00:12:46,80
00:12:51,79
00:13:01,80
00:13:06,81
00:13:16,82
00:13:31,82
00:13:41,83
00:13:56,84
00:14:01,85
00:14:16,85
00:14:31,85
00:14:36,86
00:14:51,86
00:14:56,87
00:15:01,89
00:15:06,87
00:15:11,85
00:15:26,85
00:15:36,84
00:15:46,82
00:15:51,80
00:15:56,80
00:16:06,81
00:16:21,81
00:16:31,82
00:16:41,85
00:16:46,88
00:16:51,87
00:17:01,88
00:17:16,88
00:17:21,87
00:17:36,83
00:17:41,79
00:17:46,78
00:17:51,79
00:17:56,80
00:18:01,81
00:18:11,80
00:18:16,81
00:18:21,80
00:18:26,81
00:18:31,82
00:18:46,83
00:18:51,84
00:18:56,83
00:19:01,82
00:19:06,83
00:19:11,84
00:19:16,85
00:19:31,84
00:19:36,85
00:19:46,80
00:19:51,77
00:19:56,82
00:20:01,84
00:20:06,84
00:20:11,85
00:20:21,84
00:20:26,83
00:20:36,84
00:20:51,84
00:21:01,85
00:21:06,86
00:21:11,85
00:21:26,85
00:21:41,85
00:21:56,86
00:22:01,86
00:22:06,84
00:22:21,84
00:22:26,83
00:22:41,82
00:22:56,82
00:23:11,82
00:23:16,82
00:23:31,83
00:23:41,84
00:23:46,86
00:24:01,86
00:24:16,87
00:24:21,89
00:24:36,89
00:24:41,84
00:24:46,80
00:24:51,77
00:24:56,76
00:25:06,77
00:25:16,76
00:25:21,76
00:25:31,76
00:25:36,76
00:25:41,77
00:25:46,78
00:25:51,78
00:25:56,79
00:26:01,80
00:26:06,81
00:26:16,82
00:26:21,84
00:26:26,86
00:26:31,84
00:26:36,80
00:26:46,79
00:26:51,80
00:27:06,80
00:27:11,79
00:27:21,80
00:27:31,79
00:27:46,78
00:27:51,79
00:28:06,79
00:28:21,79
00:28:26,81
00:28:36,80
00:28:41,79
00:28:56,79
00:29:11,80
00:29:21,79
00:29:36,79
00:29:41,80
00:29:51,81
00:30:01,82
00:30:16,82
00:30:21,80
00:30:26,79
00:30:32,79
00:30:42,81
00:30:57,81
00:31:07,82
00:31:12,84
00:31:27,84
00:31:32,84
00:31:37,85
00:31:47,84
00:31:52,83
00:32:07,84
00:32:17,85
00:32:27,84
00:32:42,84
00:32:47,85
00:32:57,84
00:33:02,82
00:33:07,81
00:33:17,80
00:33:27,80
00:33:37,81
00:33:42,82
00:33:52,83
00:33:57,84
00:34:12,84
00:34:27,85
00:34:42,85
00:34:47,84
00:34:52,84
00:35:02,86
00:35:07,87
00:35:17,86
00:35:22,85
00:35:27,84
00:35:42,83
00:35:47,82
00:35:52,85
00:35:57,83
00:36:07,82
00:36:17,82
00:36:27,81
00:36:32,83
00:36:37,82
00:36:42,81
00:36:47,80
00:36:52,78
00:37:07,78
00:37:12,77
00:37:22,78
00:37:27,79
00:37:32,80
00:37:37,79
00:37:52,79
00:38:07,79
00:38:12,80
00:38:22,81
00:38:37,82
00:38:52,82
00:38:57,80
00:39:12,79
00:39:17,78
00:39:27,77
00:39:37,79
00:39:42,82
00:39:52,85
00:39:57,86
00:40:02,85
00:40:17,85
00:40:32,86
00:40:37,89
00:40:42,88
00:40:47,84
00:40:52,83
00:40:57,82
00:41:02,83
00:41:07,84
00:41:22,84
00:41:27,85
00:41:42,84
00:41:47,83
00:41:52,83
00:41:57,83
00:42:02,84
00:42:12,85
00:42:17,86
00:42:27,87
00:42:32,86
00:42:42,85
00:42:47,84
00:42:52,83
00:43:02,83
00:43:07,88
00:43:12,90
00:43:22,91
00:43:27,91
00:43:32,90
00:43:37,90
00:43:42,89
00:43:47,88
00:43:52,87
00:44:02,86
00:44:17,86
00:44:32,87
00:44:37,89
00:44:47,87
00:44:57,87
00:45:07,86
00:45:22,86
00:45:28,86
00:45:43,86
00:45:58,86
00:46:13,86
00:46:18,85
00:46:33,85
00:46:38,90
00:46:43,91
00:46:58,91
00:47:03,94
00:47:08,91
00:47:13,89
00:47:18,91
00:47:23,92
00:47:28,94
00:47:33,96
00:47:38,97
00:47:43,96
00:47:48,95
00:47:58,94
00:48:08,99
00:48:13,99
00:48:18,95
00:48:23,91
00:48:28,89
00:48:33,86
00:48:38,86
00:48:43,86
00:48:48,87
00:49:03,87
00:49:18,87
00:49:33,88
00:49:38,89
00:49:43,92
00:49:48,89
00:49:53,86
00:49:58,82
00:50:03,80
00:50:13,90
00:50:18,93
00:50:28,94
00:50:33,95
00:50:38,96
00:50:43,94
00:50:53,87
00:50:58,85
00:51:08,88
00:51:23,87
00:51:33,89
00:51:38,88
00:51:43,85
00:51:48,84
00:52:03,84
00:52:08,85
00:52:13,84
00:52:28,84
00:52:43,84
00:52:58,83
00:53:13,83
00:53:18,82
00:53:33,82
00:53:38,84
00:53:53,85
00:53:58,86
00:54:03,87
00:54:08,88
00:54:13,91
00:54:18,94
00:54:23,89
00:54:28,85
00:54:33,86
00:54:48,87
00:54:53,92
00:54:58,93
00:55:03,94
00:55:08,95
00:55:18,100
00:55:23,103
00:55:28,103
00:55:33,98
00:55:38,93
00:55:43,92
00:55:48,91
00:55:53,91
00:56:03,90
00:56:08,84
00:56:13,83
00:56:18,84
00:56:23,85
00:56:28,86
00:56:33,87
00:56:38,88
00:56:48,93
00:56:53,98
00:56:58,93
00:57:03,88
00:57:08,84
00:57:13,81
00:57:23,80
00:57:28,81
00:57:43,82
00:57:48,84
00:57:58,83
00:58:03,82
00:58:18,82
00:58:33,83
00:58:43,82
00:58:48,81
00:58:53,81
00:58:58,80
00:59:13,81
00:59:23,80
00:59:38,78
00:59:43,76
00:59:48,76
00:59:53,82
00:59:58,87
01:00:03,88
01:00:13,94
01:00:18,100
01:00:23,94
01:00:33,93
01:00:38,92
01:00:48,91
01:00:53,90
01:00:58,89
01:01:08,88
01:01:18,89
01:01:23,91
01:01:28,94
01:01:33,91
01:01:38,84
01:01:43,82
01:01:48,81
01:01:53,80
01:01:58,79
01:02:03,77
01:02:18,78
01:02:33,78
01:02:38,79
01:02:43,81
01:02:48,79
01:02:58,79
01:03:03,80
01:03:08,81
01:03:13,82
01:03:18,85
01:03:23,83
01:03:28,82
01:03:38,81
01:03:43,76
01:03:48,73
01:03:53,72
01:04:03,73
01:04:18,73
01:04:23,73
01:04:28,72
01:04:43,72
01:04:58,73
01:05:04,77
01:05:09,79
01:05:19,78
01:05:24,77
01:05:39,77
01:05:49,82
01:05:54,90
01:05:59,91
01:06:04,92
01:06:09,96
01:06:14,96
01:06:19,90
01:06:24,88
01:06:29,81
01:06:34,77
01:06:39,76
01:06:44,75
01:06:54,76
01:06:59,77
01:07:14,77
01:07:19,78
01:07:24,79
01:07:39,79
01:07:44,80
01:07:49,80
01:07:54,82
01:07:59,83
01:08:04,84
01:08:09,82
01:08:14,80
01:08:19,79
01:08:24,80
01:08:34,79
01:08:39,78
01:08:54,78
01:08:59,77
01:09:04,76
01:09:09,77
01:09:24,77
01:09:39,77
01:09:54,77
01:09:59,78
01:10:09,79
01:10:14,80
01:10:24,79
01:10:39,79
01:10:44,80
01:10:49,81
01:10:59,80
01:11:04,79
01:11:14,80
01:11:19,79
01:11:24,80
01:11:29,79
01:11:39,80
01:11:44,81
01:11:49,82
01:11:59,84
01:12:04,81
01:12:09,79
01:12:14,77
01:12:29,77
01:12:39,78
01:12:44,80
01:12:54,79
01:12:59,77
01:13:04,78
01:13:09,79
01:13:14,78
01:13:19,77
01:13:29,79
01:13:34,80
01:13:49,78
01:13:54,77
01:13:59,78
01:14:04,81
01:14:09,77
01:14:14,78
01:14:24,77
01:14:29,78
01:14:34,79
01:14:39,80
01:14:44,79
01:14:49,78
01:14:59,79
01:15:09,80
01:15:14,79
01:15:19,81
01:15:24,79
01:15:29,77
01:15:34,74
01:15:44,75
01:15:49,77
01:15:54,79
01:15:59,78
01:16:04,76
01:16:09,75
01:16:19,74
01:16:29,76
01:16:34,77
01:16:39,79
01:16:44,80
01:16:49,79
01:16:54,76
01:16:59,75
01:17:09,76
01:17:14,78
01:17:19,78
01:17:34,77
01:17:39,76
01:17:44,77
01:17:54,78
01:18:09,77
01:18:19,78
01:18:24,77
01:18:29,76
01:18:34,77
01:18:39,80
01:18:44,82
01:18:49,81
01:18:54,79
01:18:59,78
01:19:04,77
01:19:14,79
01:19:19,80
01:19:29,79
01:19:34,76
01:19:44,77
01:19:54,76
01:19:59,75
01:20:04,76
01:20:09,78
01:20:14,79
01:20:19,80
01:20:25,79
01:20:30,77
01:20:45,77
01:20:50,78
01:20:55,80
01:21:00,81
01:21:05,80
01:21:10,78
01:21:15,79
01:21:20,79
01:21:25,77
01:21:30,76
01:21:35,77
01:21:40,78
01:21:45,77
01:21:50,78
01:21:55,79
01:22:10,80
01:22:15,79
01:22:30,79
01:22:45,80
01:22:55,79
01:23:00,78
01:23:10,79
01:23:25,79
01:23:35,81
01:23:40,84
01:23:45,84
01:23:50,82
01:23:55,79
01:24:00,78
01:24:05,77
01:24:15,78
01:24:20,80
01:24:35,79
01:24:50,78
01:24:55,77
01:25:00,78
01:25:10,80
01:25:25,80
01:25:40,79
01:25:45,80
01:25:50,81
01:25:55,80
01:26:05,79
01:26:10,80
01:26:15,81
01:26:20,83
01:26:30,81
01:26:35,80
01:26:40,79
01:26:50,80
01:26:55,81
01:27:00,82
01:27:05,83
01:27:10,87
01:27:15,88
01:27:20,85
01:27:25,80
01:27:30,79
01:27:45,80
01:28:00,80
01:28:10,79
01:28:15,78
01:28:20,79
01:28:25,80
01:28:35,79
01:28:45,80
01:28:50,82
01:29:00,81
01:29:10,80
01:29:15,81
01:29:25,80
01:29:30,81
01:29:40,80
01:29:50,81
01:30:05,81
01:30:15,80
01:30:20,79
01:30:25,80
01:30:30,81
01:30:35,82
01:30:40,85
01:30:50,83
01:30:55,78
01:31:00,77
01:31:05,78
01:31:15,79
01:31:20,81
01:31:25,80
01:31:30,79
01:31:45,78
01:31:55,79
01:32:05,80
01:32:10,81
01:32:15,82
01:32:25,83
01:32:30,84
01:32:35,83
01:32:40,80
01:32:45,79
01:32:50,78
01:33:00,80
01:33:05,81
01:33:15,79
01:33:25,80
01:33:35,79
01:33:50,82
01:33:55,83
01:34:00,81
01:34:05,80
01:34:15,81
01:34:25,82
01:34:30,81
01:34:35,81
01:34:40,82
01:34:45,97
01:34:50,104
01:34:55,94
01:35:00,88
01:35:05,90
01:35:10,88
01:35:15,83
01:35:20,82
01:35:25,76
01:35:30,72
01:35:35,71
01:35:40,72
01:35:45,74
01:35:50,75
01:35:55,74
01:36:10,78
01:36:15,84
01:36:20,88
01:36:25,87
01:36:30,88
01:36:35,87
01:36:40,81
01:36:45,77
01:37:00,77
01:37:05,81
01:37:15,86
01:37:20,88
01:37:25,84
01:37:30,80
01:37:35,79
01:37:40,77
01:37:50,76
01:37:55,77
01:38:00,78
01:38:05,79
01:38:10,84
01:38:15,90
01:38:20,89
01:38:25,82
01:38:30,77
01:38:35,75
01:38:40,74
01:38:46,77
01:38:51,86
01:38:56,91
01:39:01,87
01:39:06,85
01:39:11,88
01:39:16,89
01:39:21,83
01:39:26,78
01:39:31,74
01:39:41,77
01:39:46,78
01:39:51,78
01:39:56,84
01:40:01,86
01:40:06,80
01:40:11,79
01:40:16,77
01:40:21,74
01:40:31,76
01:40:36,75
01:40:46,79
01:40:51,77
01:41:06,78
01:41:16,76
01:41:21,75
01:41:26,79
01:41:31,86
01:41:36,87
01:41:41,81
01:41:46,77
01:41:51,78
01:42:01,79
01:42:06,78
01:42:21,79
01:42:31,81
01:42:36,85
01:42:41,90
01:42:46,93
01:42:51,93
01:42:56,83
01:43:01,80
01:43:06,78
01:43:16,80
01:43:21,81
01:43:26,78
01:43:31,79
01:43:36,83
01:43:41,79
01:43:46,77
01:43:51,78
01:43:56,80
01:44:01,79
01:44:06,78
01:44:11,77
01:44:16,78
01:44:21,79
01:44:26,80
01:44:31,82
01:44:36,83
01:44:41,81
01:44:46,80
01:44:51,79
01:44:56,78
01:45:06,79
01:45:11,83
01:45:16,85
01:45:26,83
01:45:31,81
01:45:41,79
01:45:46,78
01:45:56,79
01:46:11,80
01:46:16,82
01:46:21,84
01:46:26,86
01:46:31,87
01:46:36,85
01:46:41,81
01:46:46,79
01:46:56,78
01:47:01,80
01:47:06,82
01:47:16,81
01:47:31,81
01:47:36,82
01:47:41,83
01:47:56,80
01:48:01,81
01:48:06,82
01:48:11,83
01:48:21,82
01:48:36,81
01:48:51,81
01:49:06,81
01:49:16,83
01:49:21,84
01:49:26,83
01:49:31,82
01:49:36,81
01:49:41,79
01:49:46,81
01:49:51,82
01:50:06,83
01:50:21,83
01:50:26,84
01:50:31,83
01:50:46,83
01:51:01,83
01:51:11,82
01:51:16,83
01:51:21,84
01:51:26,86
01:51:31,85
01:51:36,83
01:51:46,84
01:51:56,85
01:52:01,83
01:52:06,82
01:52:11,84
01:52:16,85
01:52:21,83
01:52:36,85
01:52:41,86
01:52:51,84
01:52:56,83
01:53:06,84
01:53:16,85
01:53:26,84
01:53:31,83
01:53:41,84
01:53:46,83
01:53:56,86
01:54:02,87
01:54:07,86
01:54:12,84
01:54:27,84
01:54:37,85
01:54:42,84
01:54:47,83
01:54:52,85
01:55:02,84
01:55:07,85
01:55:22,86
01:55:27,85
01:55:32,83
01:55:37,82
01:55:42,83
01:55:47,84
01:55:52,85
01:56:02,86
01:56:07,84
01:56:12,83
01:56:27,83
01:56:32,84
01:56:37,85
01:56:42,86
01:56:47,85
01:56:52,83
01:57:02,84
01:57:07,84
01:57:17,83
01:57:32,83
01:57:37,84
01:57:42,86
01:57:47,87
01:57:52,85
01:57:57,84
01:58:02,82
01:58:12,83
01:58:27,83
01:58:32,84
01:58:37,83
01:58:47,84
01:58:52,85
01:58:57,86
01:59:02,84
01:59:07,83
01:59:12,82
01:59:17,83
01:59:32,86
01:59:37,85
01:59:42,83
01:59:47,82
01:59:57,84
02:00:07,83
02:00:17,85
02:00:22,85
02:00:27,84
02:00:32,83
02:00:42,84
02:00:52,86
02:00:57,85
02:01:02,84
02:01:12,85
02:01:27,84
02:01:32,85
02:01:42,84
02:01:57,84
02:02:02,85
02:02:17,83
02:02:32,83
02:02:42,82
02:02:47,81
02:02:52,83
02:02:57,85
02:03:02,86
02:03:07,85
02:03:12,83
02:03:22,84
02:03:27,86
02:03:37,85
02:03:52,85
02:04:07,86
02:04:12,85
02:04:17,84
02:04:22,83
02:04:27,82
02:04:32,83
02:04:37,84
02:04:42,85
02:04:57,84
02:05:07,85
02:05:12,86
02:05:17,87
02:05:22,86
02:05:37,87
02:05:42,88
02:05:47,86
02:05:57,87
02:06:07,86
