Time,Heart Rate
00:00:00,73
00:00:05,72
00:00:15,73
00:00:25,71
00:00:30,70
00:00:35,71
00:00:40,71
00:00:50,72
00:00:55,71
00:01:00,70
00:01:05,69
00:01:20,69
00:01:25,70
00:01:40,70
00:01:45,71
00:01:50,70
00:01:55,69
00:02:00,70
00:02:05,69
00:02:15,69
00:02:20,69
00:02:26,69
00:02:41,72
00:02:46,75
00:02:51,78
00:02:56,76
00:03:01,73
00:03:11,72
00:03:16,69
00:03:21,67
00:03:26,68
00:03:31,68
00:03:41,69
00:03:51,70
00:04:01,69
00:04:06,67
00:04:11,63
00:04:16,64
00:04:21,65
00:04:26,66
00:04:31,69
00:04:36,71
00:04:41,72
00:04:56,72
00:05:01,73
00:05:11,72
00:05:21,73
00:05:26,71
00:05:31,69
00:05:36,67
00:05:46,68
00:05:56,69
00:06:11,69
00:06:16,68
00:06:21,69
00:06:26,70
00:06:31,69
00:06:36,68
00:06:41,67
00:06:56,66
00:07:01,66
00:07:06,66
00:07:11,67
00:07:21,68
00:07:26,67
00:07:36,68
00:07:41,69
00:07:46,70
00:07:51,71
00:07:56,72
00:08:01,73
00:08:06,74
00:08:11,75
00:08:16,76
00:08:31,77
00:08:36,82
00:08:41,88
00:08:46,87
00:08:51,83
00:08:56,80
00:09:01,78
00:09:06,72
00:09:11,70
00:09:26,70
00:09:31,69
00:09:36,69
00:09:46,76
00:09:51,79
00:09:56,74
00:10:01,72
00:10:06,71
00:10:11,69
00:10:21,69
00:10:36,69
00:10:46,70
00:10:51,67
00:11:06,67
00:11:16,68
00:11:21,69
00:11:26,72
00:11:31,74
00:11:36,75
00:11:41,72
00:11:51,72
00:12:01,70
00:12:16,69
00:12:26,71
00:12:31,70
00:12:46,70
00:13:01,70
00:13:16,71
00:13:21,72
00:13:26,73
00:13:36,71
00:13:41,68
00:13:46,66
00:13:51,65
00:14:06,65
00:14:11,64
00:14:21,65
00:14:36,65
00:14:41,64
00:14:46,65
00:14:56,65
00:15:01,65
00:15:06,65
00:15:11,65
00:15:16,66
