Time,Heart Rate
00:00:01,62
00:00:11,63
00:00:21,64
00:00:31,64
00:00:41,64
00:00:46,62
00:00:51,61
00:00:56,59
00:01:01,59
00:01:06,58
00:01:16,57
00:01:26,57
00:01:31,58
00:01:36,60
00:01:41,62
00:01:46,63
00:01:51,64
00:01:56,65
00:02:01,66
00:02:06,65
00:02:21,65
00:02:36,65
00:02:46,64
00:02:56,65
00:03:11,64
00:03:26,64
00:03:31,63
00:03:36,64
00:03:41,66
00:03:46,67
00:03:51,65
00:04:01,66
00:04:16,65
00:04:31,66
00:04:36,65
00:04:41,65
00:04:56,66
00:05:01,72
00:05:11,67
00:05:16,66
00:05:21,65
00:05:27,64
00:05:42,65
00:05:57,65
00:06:02,66
00:06:07,70
00:06:12,71
00:06:17,63
00:06:22,63
00:06:27,64
00:06:42,64
00:06:57,64
00:07:07,65
00:07:12,72
00:07:22,73
00:07:27,73
00:07:37,75
00:07:42,81
00:07:47,82
00:07:52,78
00:07:57,74
00:08:02,67
00:08:07,64
00:08:22,64
00:08:37,63
00:08:42,62
00:08:47,61
00:08:52,62
00:08:57,63
00:09:02,64
00:09:17,64
00:09:22,70
00:09:27,76
00:09:32,73
00:09:37,71
00:09:42,72
00:09:52,71
00:09:57,68
00:10:02,67
00:10:07,68
00:10:12,66
00:10:17,65
00:10:27,66
00:10:32,68
00:10:47,66
00:11:02,66
00:11:07,69
00:11:12,70
00:11:17,68
00:11:22,67
00:11:27,67
00:11:42,67
00:11:52,65
00:11:57,62
00:12:02,62
00:12:07,63
00:16:29,70
00:22:10,70
00:22:20,71
00:22:25,84
00:22:30,73
00:22:35,68
00:22:40,63
00:22:45,66
00:22:50,70
00:22:55,68
00:23:00,64
00:23:05,62
00:23:10,61
00:23:20,62
00:23:25,63
00:23:30,62
00:23:35,61
00:23:45,62
00:23:55,63
00:24:10,64
00:24:15,65
00:24:20,67
00:24:25,66
00:24:30,65
00:24:35,65
00:24:40,63
00:24:45,62
00:24:50,61
00:24:55,60
00:25:00,60
00:25:05,61
00:25:20,63
00:25:25,68
00:25:30,66
00:25:35,61
00:25:45,63
00:25:50,61
00:25:55,60
00:26:00,59
00:26:05,59
00:26:10,59
00:26:25,59
00:26:30,60
00:26:35,61
00:26:40,66
00:26:45,67
00:27:00,67
00:27:10,66
00:27:15,63
00:27:20,61
00:27:25,60
00:27:30,59
00:27:45,60
00:27:50,61
00:28:05,62
00:28:10,61
00:28:20,60
00:28:30,61
00:28:45,61
00:28:55,62
00:29:00,60
00:29:15,59
00:29:25,60
00:29:30,60
00:29:40,60
00:29:50,59
00:30:05,59
00:30:15,60
00:30:25,59
00:30:30,58
00:30:40,59
00:30:55,60
00:31:10,60
00:31:25,73
00:31:35,65
00:31:40,59
00:31:45,57
00:31:55,56
00:32:10,56
00:32:15,57
00:32:20,58
00:32:25,60
00:32:40,59
00:32:55,59
00:33:10,60
00:33:15,57
00:33:20,56
00:33:25,58
00:33:30,63
00:33:35,59
00:33:40,57
00:33:45,56
00:33:50,57
00:34:05,58
00:34:10,57
00:34:20,56
00:34:35,56
00:34:40,58
00:34:45,60
00:34:50,57
00:34:55,55
00:35:05,56
00:35:10,58
00:35:15,59
00:35:20,58
00:35:26,58
00:35:31,57
00:35:41,58
00:35:46,56
00:35:56,57
00:36:01,59
00:36:11,58
00:36:16,57
00:36:31,57
00:36:36,59
00:36:51,59
00:36:56,62
00:37:01,60
00:37:06,58
00:37:21,58
00:37:26,59
00:37:31,60
00:37:36,59
00:37:46,58
00:37:51,56
00:37:56,55
00:38:01,56
00:38:06,57
00:38:11,58
00:38:16,60
00:38:21,61
00:38:26,58
00:38:31,56
00:38:36,57
00:38:51,58
00:38:56,57
00:39:06,56
00:39:21,57
00:39:26,58
00:39:31,57
00:39:41,58
00:39:51,57
00:39:56,59
00:40:01,58
00:40:06,56
00:40:11,55
00:40:26,55
00:40:31,56
00:40:36,57
00:40:41,58
00:40:46,59
00:40:51,60
00:41:01,59
00:41:06,58
00:41:11,57
00:41:21,58
00:41:31,59
00:41:36,58
00:41:41,57
00:41:46,57
00:42:01,58
00:42:06,57
00:42:21,57
00:42:26,58
00:42:36,57
00:42:51,57
00:43:06,57
00:43:21,57
00:43:36,57
00:43:46,58
00:43:56,57
00:44:01,58
00:44:06,57
00:44:11,56
00:44:16,55
00:44:21,57
00:44:26,58
