Time,State,Interpreted
07:47:00,2,Awake
07:48:00,2,Awake
07:49:00,2,Awake
07:50:00,2,Awake
07:51:00,2,Awake
07:52:00,2,Awake
07:53:00,2,Awake
07:54:00,2,Awake
07:55:00,2,Awake
07:56:00,2,Awake
07:57:00,2,Awake
07:58:00,2,Awake
07:59:00,2,Awake
08:00:00,2,Awake
08:01:00,2,Awake
08:02:00,2,Awake
08:03:00,2,Awake
08:04:00,2,Awake
08:05:00,2,Awake
08:06:00,2,Awake
08:07:00,2,Awake
08:08:00,2,Awake
08:09:00,2,Awake
08:10:00,2,Awake
08:11:00,2,Awake
08:12:00,2,Awake
08:13:00,2,Awake
08:14:00,2,Awake
08:15:00,2,Awake
08:16:00,2,Awake
08:17:00,2,Awake
08:18:00,2,Awake
08:19:00,2,Awake
08:20:00,2,Awake
08:21:00,2,Awake
08:22:00,2,Awake
08:23:00,2,Awake
08:24:00,2,Awake
08:25:00,2,Awake
08:26:00,2,Awake
08:27:00,2,Awake
08:28:00,2,Awake
08:29:00,2,Awake
08:30:00,2,Awake
08:31:00,2,Awake
08:32:00,1,Asleep
08:33:00,1,Asleep
08:34:00,1,Asleep
08:35:00,1,Asleep
08:36:00,2,Awake
08:37:00,2,Awake
08:38:00,2,Awake
08:39:00,2,Awake
08:40:00,2,Awake
08:41:00,2,Awake
08:42:00,2,Awake
08:43:00,2,Awake
08:44:00,2,Awake
08:45:00,2,Awake
08:46:00,2,Awake
08:47:00,3,Very Awake
08:48:00,3,Very Awake
08:49:00,3,Very Awake
08:50:00,3,Very Awake
08:51:00,2,Awake
08:52:00,2,Awake
08:53:00,2,Awake
08:54:00,2,Awake
08:55:00,1,Asleep
08:56:00,1,Asleep
08:57:00,1,Asleep
08:58:00,1,Asleep
08:59:00,1,Asleep
09:00:00,2,Awake
09:01:00,2,Awake
09:02:00,2,Awake
09:03:00,2,Awake
09:04:00,2,Awake
09:05:00,2,Awake
09:06:00,2,Awake
09:07:00,2,Awake
09:08:00,2,Awake
09:09:00,1,Asleep
09:10:00,1,Asleep
09:11:00,1,Asleep
09:12:00,1,Asleep
09:13:00,1,Asleep
09:14:00,2,Awake
09:15:00,2,Awake
09:16:00,2,Awake
09:17:00,2,Awake
09:18:00,2,Awake
09:19:00,2,Awake
09:20:00,2,Awake
09:21:00,2,Awake
09:22:00,2,Awake
09:23:00,2,Awake
09:24:00,2,Awake
09:25:00,2,Awake
09:26:00,2,Awake
09:27:00,2,Awake
09:28:00,2,Awake
09:29:00,2,Awake
09:30:00,2,Awake
09:31:00,2,Awake
09:32:00,2,Awake
09:33:00,2,Awake
09:34:00,2,Awake
09:35:00,2,Awake
09:36:00,2,Awake
09:37:00,2,Awake
09:38:00,2,Awake
09:39:00,2,Awake
09:40:00,2,Awake
09:41:00,1,Asleep
09:42:00,1,Asleep
09:43:00,1,Asleep
09:44:00,1,Asleep
09:45:00,1,Asleep
09:46:00,2,Awake
09:47:00,2,Awake
09:48:00,2,Awake
09:49:00,2,Awake
09:50:00,2,Awake
09:51:00,2,Awake
09:52:00,2,Awake
09:53:00,2,Awake
09:54:00,2,Awake
09:55:00,2,Awake
09:56:00,2,Awake
09:57:00,2,Awake
09:58:00,2,Awake
09:59:00,2,Awake
10:00:00,2,Awake
10:01:00,2,Awake
10:02:00,2,Awake
10:03:00,2,Awake
10:04:00,2,Awake
10:05:00,2,Awake
10:06:00,2,Awake
10:07:00,2,Awake
10:08:00,2,Awake
10:09:00,2,Awake
10:10:00,2,Awake
10:11:00,2,Awake
