Time,State,Interpreted
10:12:00,1,Asleep
10:13:00,2,Awake
10:14:00,3,Very Awake
10:15:00,2,Awake
10:16:00,1,Asleep
10:17:00,1,Asleep
10:18:00,1,Asleep
10:19:00,1,Asleep
10:20:00,1,Asleep
10:21:00,1,Asleep
10:22:00,1,Asleep
10:23:00,1,Asleep
10:24:00,1,Asleep
10:25:00,1,Asleep
10:26:00,1,Asleep
10:27:00,1,Asleep
10:28:00,1,Asleep
10:29:00,1,Asleep
10:30:00,1,Asleep
10:31:00,1,Asleep
10:32:00,1,Asleep
10:33:00,1,Asleep
10:34:00,1,Asleep
10:35:00,1,Asleep
10:36:00,1,Asleep
10:37:00,1,Asleep
10:38:00,1,Asleep
10:39:00,1,Asleep
10:40:00,1,Asleep
10:41:00,1,Asleep
10:42:00,1,Asleep
10:43:00,2,Awake
10:44:00,2,Awake
10:45:00,2,Awake
10:46:00,1,Asleep
10:47:00,1,Asleep
10:48:00,1,Asleep
10:49:00,1,Asleep
10:50:00,1,Asleep
10:51:00,1,Asleep
10:52:00,1,Asleep
10:53:00,1,Asleep
10:54:00,1,Asleep
10:55:00,1,Asleep
10:56:00,1,Asleep
10:57:00,1,Asleep
10:58:00,1,Asleep
10:59:00,1,Asleep
11:00:00,1,Asleep
11:01:00,1,Asleep
11:02:00,1,Asleep
11:03:00,1,Asleep
11:04:00,1,Asleep
11:05:00,1,Asleep
11:06:00,1,Asleep
11:07:00,1,Asleep
11:08:00,1,Asleep
11:09:00,1,Asleep
11:10:00,1,Asleep
11:11:00,2,Awake
11:12:00,2,Awake
11:13:00,1,Asleep
11:14:00,1,Asleep
11:15:00,1,Asleep
