Time,Heart Rate
00:00:06,81
00:00:11,79
00:00:26,79
00:00:31,77
00:00:41,76
00:00:51,77
00:01:01,78
00:01:16,78
00:01:21,79
00:01:36,79
00:01:41,78
00:01:56,78
00:02:11,78
00:02:21,79
00:02:36,79
00:02:51,81
00:03:01,80
00:03:06,79
00:03:11,78
00:03:16,77
00:03:26,76
00:03:31,75
00:03:36,74
00:03:41,73
00:03:46,74
00:03:51,74
00:04:01,75
00:04:16,74
00:04:26,75
00:04:31,77
00:04:36,78
00:04:41,77
00:04:46,78
00:04:51,79
00:04:56,78
00:05:01,79
00:05:06,81
00:05:21,81
00:05:31,83
00:05:36,84
00:05:41,85
00:05:46,89
00:05:51,91
00:05:56,90
00:06:01,87
00:06:06,88
00:06:11,86
00:06:21,82
00:06:26,80
00:06:41,80
00:06:56,80
00:06:57,79
00:07:02,78
00:07:07,76
00:07:12,75
00:07:22,76
00:07:32,77
00:07:37,77
00:07:42,78
00:07:47,79
00:07:52,78
00:07:57,76
00:08:07,77
00:08:17,76
00:08:32,78
00:08:37,77
00:08:52,78
00:08:57,80
00:09:07,81
00:09:17,82
00:09:22,80
00:09:27,79
00:09:32,80
00:09:37,82
00:09:42,83
00:09:57,84
00:10:02,85
00:10:07,86
00:10:12,85
00:10:17,86
00:10:27,89
00:10:32,88
00:10:37,86
00:10:42,85
00:10:47,84
00:10:57,83
00:11:02,84
00:11:12,83
00:11:27,82
00:11:32,81
00:11:37,80
00:11:42,79
00:11:47,77
00:12:02,78
00:12:12,79
00:12:22,80
00:12:27,79
00:12:32,78
00:12:37,75
00:12:42,74
00:12:57,74
00:13:12,74
00:13:17,73
00:13:32,74
00:13:37,75
00:13:42,75
00:13:57,75
00:14:02,76
00:14:17,77
00:14:22,76
00:14:32,75
00:14:37,74
00:14:42,75
00:14:57,74
00:15:12,74
00:15:27,74
00:15:32,73
00:15:42,74
00:15:57,76
00:16:07,74
00:16:12,74
00:16:27,73
00:16:42,73
00:16:47,72
00:16:52,70
00:16:57,69
00:17:12,68
00:17:27,69
00:17:32,70
00:17:42,71
00:17:47,103
00:17:52,105
00:17:57,106
00:18:12,111
00:18:17,113
00:18:22,110
00:18:27,109
00:18:32,108
00:18:37,105
00:18:42,104
00:18:47,103
00:18:57,104
00:19:07,105
00:19:17,106
00:19:22,107
00:19:27,108
00:19:32,109
00:19:37,107
00:19:42,92
00:19:47,85
00:19:52,81
00:19:57,80
00:20:02,76
00:20:12,74
00:20:17,73
00:20:32,73
00:20:37,73
00:20:47,72
00:20:57,71
00:21:02,70
00:21:17,71
00:21:27,70
00:21:32,71
00:21:37,71
00:21:42,74
00:21:47,71
00:22:02,71
00:22:12,73
00:22:17,72
00:22:22,74
00:22:27,77
00:22:32,76
00:22:37,75
00:22:47,74
00:22:52,72
00:23:07,72
00:23:12,73
00:23:17,72
00:23:32,72
00:23:37,73
00:23:42,75
00:23:57,75
00:23:58,72
00:24:03,69
00:24:18,70
00:24:28,73
00:24:33,76
00:24:38,77
00:24:43,78
00:24:48,79
00:24:53,75
00:24:58,72
00:25:03,72
00:25:08,73
00:25:13,74
00:25:18,72
00:25:23,71
00:25:28,70
00:25:33,68
00:25:38,66
00:25:43,67
00:25:48,70
00:25:53,73
00:25:58,72
00:26:03,69
00:26:08,68
00:26:23,68
00:26:28,67
00:26:33,68
00:26:38,69
00:26:53,70
00:27:03,67
00:27:08,68
00:27:13,69
00:27:18,68
00:27:33,68
00:27:38,67
00:27:48,68
00:27:53,70
00:27:58,74
00:28:03,73
00:28:08,72
00:28:13,71
00:28:23,70
00:28:38,70
00:28:48,70
00:28:53,69
00:29:03,71
00:29:08,72
00:29:13,74
00:29:18,78
00:29:23,79
00:29:28,80
00:29:33,81
00:29:38,79
00:29:43,76
00:29:48,72
00:29:53,70
00:30:08,70
00:30:13,71
00:30:18,73
00:30:23,72
00:30:38,72
00:30:43,71
00:30:48,70
00:30:53,68
00:30:58,69
00:31:08,69
00:31:13,71
00:31:18,73
00:31:23,74
00:31:38,75
00:31:43,73
00:31:48,72
00:31:53,71
00:31:58,70
00:32:13,70
00:32:28,70
00:32:43,71
00:32:48,72
00:32:53,73
00:32:58,72
00:33:08,72
00:33:13,72
00:33:18,76
00:33:23,78
00:33:28,79
00:33:38,76
00:33:43,72
00:33:48,68
00:34:03,68
00:34:08,69
00:34:18,70
00:34:33,70
00:34:48,70
00:35:03,70
00:35:18,70
00:35:33,70
00:35:43,71
00:35:48,73
00:35:58,74
00:36:03,77
00:36:08,78
00:36:13,76
00:36:18,72
00:36:23,72
00:36:28,70
00:36:33,71
00:36:38,70
00:36:43,69
00:36:48,69
00:36:53,70
00:37:08,69
00:37:18,70
00:37:23,72
00:37:28,73
00:37:33,72
00:37:38,71
00:37:43,70
00:37:48,71
00:38:03,72
00:38:08,73
00:38:13,74
00:38:28,74
00:38:38,73
00:38:43,70
00:38:48,68
00:38:53,69
00:38:58,74
00:39:03,78
00:39:08,79
00:39:13,80
00:39:18,78
00:39:23,75
00:39:28,74
00:39:38,73
00:39:43,71
00:39:49,71
00:39:54,72
00:40:09,72
00:40:19,74
00:40:24,72
00:40:34,71
00:40:49,71
00:40:54,72
00:41:04,68
00:41:09,68
00:41:24,69
00:41:29,70
00:41:34,71
00:41:39,72
00:41:44,73
00:41:49,74
00:41:54,75
00:41:59,74
00:42:04,75
00:42:09,77
00:42:14,78
00:42:19,77
00:42:24,75
00:42:29,70
00:42:34,69
00:42:44,70
00:42:49,72
00:42:54,71
00:42:59,70
00:43:04,70
00:43:14,70
00:43:19,71
00:43:29,72
00:43:34,73
00:43:49,73
00:44:04,72
00:44:19,72
00:44:24,73
00:44:29,74
00:44:44,74
00:44:59,74
00:45:04,73
00:45:14,71
00:45:29,73
00:45:44,74
00:45:49,73
00:45:59,71
00:46:09,72
00:46:24,72
00:46:29,73
00:46:34,74
00:46:39,76
00:46:54,76
00:46:59,78
00:47:04,81
00:47:09,78
00:47:14,72
00:47:19,72
00:47:24,71
00:47:39,71
00:47:49,72
00:47:54,73
00:48:09,73
00:48:19,72
00:48:34,71
00:48:39,73
00:48:44,73
00:48:49,70
00:48:54,70
00:48:59,70
00:49:04,70
00:49:19,70
00:49:24,72
00:49:29,73
00:49:34,74
00:49:39,73
00:49:44,73
00:49:54,73
00:49:59,72
00:50:09,73
00:50:24,72
00:50:29,72
00:50:34,71
00:50:39,71
00:50:49,72
00:50:54,73
00:50:59,74
00:51:04,75
00:51:09,76
00:51:14,75
00:51:19,74
00:51:24,71
00:51:39,71
00:51:44,70
00:51:59,69
00:52:14,69
00:52:24,70
00:52:29,71
00:52:44,71
00:52:59,71
00:53:04,72
00:53:09,73
00:53:14,72
00:53:29,72
00:53:44,72
00:53:59,72
00:54:04,73
00:54:09,74
00:54:14,74
00:54:29,75
00:54:39,74
00:54:44,71
00:54:54,72
00:55:09,72
00:55:24,72
00:55:29,70
00:55:34,69
00:55:44,70
00:55:49,69
00:56:04,69
00:56:19,69
00:56:34,69
00:56:39,71
00:56:44,74
00:56:49,75
00:56:54,74
00:56:59,73
00:57:04,72
00:57:19,72
00:57:24,70
00:57:34,71
00:57:39,70
00:57:44,70
00:57:49,71
00:57:55,71
00:58:10,68
00:58:20,67
00:58:30,68
00:58:45,68
00:58:50,71
00:58:55,72
00:59:00,71
00:59:05,68
00:59:20,68
00:59:25,67
00:59:30,66
00:59:40,67
00:59:45,68
01:00:00,73
01:00:05,74
01:00:10,74
