Time,Heart Rate
00:00:06,66
00:00:11,68
00:00:16,69
00:00:21,70
00:00:31,72
00:00:41,68
00:00:46,66
00:01:01,65
00:01:16,65
00:01:31,65
00:01:36,66
00:01:51,66
00:01:56,67
00:02:11,67
00:02:16,68
00:02:31,66
00:02:46,66
00:02:51,62
00:02:56,61
00:03:01,63
00:03:16,62
00:03:21,63
00:03:26,65
00:03:31,66
00:03:46,66
00:03:51,65
00:03:56,63
00:04:01,63
00:04:06,63
00:04:11,72
00:04:16,73
00:04:21,70
00:04:26,71
00:04:36,68
00:04:46,67
00:04:51,68
00:05:06,66
00:05:11,64
00:05:16,63
00:05:31,65
00:05:36,66
00:05:41,67
00:05:46,68
00:05:51,71
00:05:56,72
00:06:01,74
00:06:11,72
00:06:16,73
00:06:31,73
00:06:41,73
00:06:46,72
00:06:51,70
00:06:56,68
00:07:02,67
00:07:12,68
00:07:17,70
00:07:22,71
00:07:27,71
00:07:42,70
00:07:52,68
00:07:57,67
00:08:12,69
00:08:17,70
00:08:27,71
00:08:32,70
00:08:37,71
00:08:42,68
00:08:47,68
00:08:52,69
00:08:57,70
00:09:07,71
00:09:17,72
00:09:22,71
00:09:27,69
00:09:32,68
00:09:37,66
00:09:42,65
00:09:47,64
00:09:52,63
00:10:07,64
00:10:12,61
00:10:17,60
00:10:32,60
00:10:47,60
00:10:57,61
00:11:02,63
00:11:07,71
00:11:12,72
00:11:17,71
00:11:22,85
00:11:27,86
00:11:32,84
00:11:37,81
00:11:42,78
00:11:47,76
00:11:52,75
00:11:57,73
00:12:02,69
00:12:07,65
00:12:22,65
00:12:27,66
00:12:32,67
00:12:42,70
00:12:47,73
00:12:52,74
00:12:57,74
00:13:02,71
00:13:07,69
00:13:12,68
00:13:17,67
00:13:22,68
00:13:27,70
00:13:37,69
00:13:47,68
00:13:52,69
00:13:57,70
00:14:02,72
00:14:07,70
00:14:12,67
00:14:17,64
00:14:27,65
00:14:32,66
00:14:37,67
00:14:42,69
00:14:47,70
00:14:57,69
00:15:12,69
00:15:17,64
00:15:22,62
00:15:32,61
00:15:37,61
00:15:47,61
00:15:52,60
00:16:02,61
00:16:12,62
00:16:22,60
00:16:27,57
00:16:32,58
00:16:37,59
00:16:52,61
00:16:57,60
00:17:12,60
00:17:17,62
00:17:27,63
00:17:42,63
00:17:52,64
00:17:57,65
00:18:12,64
00:18:27,62
00:18:32,61
00:18:42,60
00:18:47,61
00:18:52,60
00:19:02,59
00:19:17,59
00:19:32,59
00:19:42,60
00:19:47,59
00:19:52,58
00:19:57,58
00:20:02,59
00:20:07,58
00:20:12,59
00:20:17,58
00:20:22,57
00:20:32,58
00:20:37,59
00:20:47,58
00:21:02,59
00:21:12,60
00:21:17,61
00:21:27,62
00:21:32,63
00:21:37,64
00:21:42,68
00:21:47,73
00:21:52,72
00:21:57,78
00:22:02,88
00:22:07,86
00:22:22,76
00:22:27,69
00:22:32,64
00:22:47,65
00:22:52,68
00:23:07,68
00:23:12,65
00:23:17,64
00:23:22,62
00:23:27,61
00:23:42,61
00:23:57,62
00:24:12,62
00:24:17,64
00:24:22,66
00:24:37,66
00:24:52,66
00:24:57,64
00:25:12,64
00:25:27,64
00:25:42,64
00:25:52,66
00:26:02,65
00:26:07,64
00:26:22,64
00:26:32,67
00:26:38,67
00:26:43,69
00:26:53,68
00:26:58,65
00:27:03,64
00:27:18,65
00:27:28,66
00:27:33,64
00:27:38,65
00:27:48,64
00:27:58,65
00:28:13,64
00:28:18,65
00:28:23,66
00:28:28,65
00:28:43,66
00:28:58,67
00:29:08,66
00:29:23,66
00:29:28,65
00:29:43,65
00:29:48,64
00:30:03,64
00:30:18,63
