Time,Heart Rate
00:48:17,70
01:39:03,70
01:43:48,70
02:45:58,70
03:40:36,70
04:27:19,70
05:21:56,70
06:16:32,70
12:02:59,70
12:32:48,70
12:32:58,79
12:59:41,70
13:01:20,70
13:40:11,70
13:48:57,70
14:27:59,70
14:28:14,79
14:28:19,82
14:28:24,81
14:28:34,93
15:00:11,70
15:54:48,70
15:57:46,70
16:02:01,70
16:09:43,70
16:10:18,70
16:42:42,70
16:42:52,71
16:42:57,81
17:16:51,70
18:11:30,70
18:42:49,70
19:00:39,70
19:00:52,70
19:01:02,79
19:01:07,87
19:01:12,88
19:01:22,87
19:01:32,89
19:01:37,90
19:01:42,95
19:01:47,93
19:01:52,91
19:02:07,91
19:02:17,90
19:02:22,89
19:02:37,90
19:02:42,90
19:02:57,89
19:03:02,90
19:03:12,92
19:03:17,93
19:03:22,94
19:03:27,92
19:03:32,91
19:03:42,92
19:03:57,91
19:04:07,90
19:04:12,90
19:04:22,96
19:04:27,97
19:04:32,98
19:04:42,99
19:04:52,100
19:04:57,101
19:05:02,102
19:05:12,100
19:05:17,99
19:05:22,98
19:05:27,99
19:05:32,100
19:05:37,101
19:05:42,103
19:05:47,105
19:05:52,110
19:05:57,108
19:06:07,106
19:06:12,101
19:06:17,102
19:06:22,103
19:06:32,104
19:06:42,106
19:06:52,104
19:06:57,105
19:07:02,103
19:07:08,101
19:07:13,98
19:07:28,98
19:07:33,101
19:07:38,103
19:07:43,108
19:07:48,109
19:07:53,100
19:07:58,98
19:08:03,101
19:08:13,105
19:08:18,104
19:08:23,98
19:08:33,99
19:08:38,100
19:08:53,99
19:08:58,100
19:09:03,98
19:09:08,100
19:09:13,102
19:09:18,104
19:09:28,106
19:09:33,107
19:09:43,108
19:09:48,109
19:09:53,106
19:09:58,105
19:10:03,104
19:10:08,108
19:10:13,111
19:10:18,112
19:10:28,113
19:10:33,111
19:10:38,103
19:10:43,102
19:10:48,101
19:10:53,100
19:10:58,99
19:11:03,94
19:11:08,91
19:11:13,92
19:11:23,93
19:11:28,94
19:11:33,97
19:11:38,99
19:11:43,98
19:11:48,95
19:11:53,97
19:11:58,98
19:12:03,98
19:12:08,97
19:12:13,98
19:12:18,100
19:12:27,99
19:12:37,102
19:12:47,101
19:12:57,102
19:13:02,104
19:13:07,106
19:13:17,108
19:13:27,106
19:13:42,106
19:13:47,107
19:13:52,106
19:14:07,109
19:14:17,110
19:14:22,109
19:14:27,108
19:14:32,106
19:14:37,107
19:14:47,105
19:14:57,110
19:15:02,112
19:15:07,115
19:15:12,117
19:15:17,113
19:15:22,112
19:15:27,114
19:15:37,112
19:15:42,111
19:15:48,112
19:15:53,110
19:15:58,107
19:16:03,106
19:16:08,103
19:16:13,100
19:16:18,101
19:16:23,100
19:16:28,97
19:16:33,95
19:16:38,92
19:16:48,93
19:16:53,97
19:17:03,98
19:17:08,104
19:17:13,105
19:17:23,104
19:17:33,106
19:17:38,110
19:17:43,112
19:17:48,111
19:17:53,110
19:17:58,111
19:18:03,110
19:18:08,109
19:18:23,107
19:18:28,95
19:18:33,100
19:18:38,103
19:18:43,98
19:18:48,91
19:19:03,94
19:19:08,95
19:19:13,96
19:19:23,97
19:19:33,100
19:19:38,101
19:19:43,102
19:19:48,100
19:19:53,93
19:19:58,99
19:20:03,101
19:20:08,99
19:20:13,103
19:20:18,104
19:20:33,104
19:20:48,102
19:20:53,103
19:21:03,103
19:21:08,104
19:21:13,108
19:21:18,106
19:21:23,107
19:21:28,109
19:21:33,110
19:21:43,111
19:21:48,110
19:21:58,111
19:22:03,112
19:22:08,113
19:22:13,114
19:22:18,116
19:22:23,115
19:22:28,117
19:22:33,119
19:22:43,120
19:22:53,121
19:22:58,122
19:23:03,120
19:23:08,116
19:23:18,112
19:23:23,103
19:23:28,101
19:23:33,103
19:23:38,112
19:23:43,114
19:23:48,115
19:23:53,116
19:23:58,122
19:24:03,120
19:24:08,117
19:24:13,115
19:24:18,114
19:24:23,116
19:24:28,119
19:24:33,121
19:24:38,118
19:24:43,115
19:24:48,118
19:24:53,119
19:24:58,118
19:25:03,119
19:25:08,116
19:25:13,118
19:25:18,120
19:25:23,119
19:25:28,117
19:25:33,109
19:25:38,96
19:25:43,97
19:25:48,98
19:25:53,94
19:25:58,89
19:26:03,85
19:26:08,87
19:26:13,90
19:26:18,92
19:26:23,94
19:26:28,95
19:26:33,100
19:26:38,97
19:26:43,94
19:26:58,94
19:27:13,93
19:27:23,95
19:27:28,99
19:27:33,101
19:27:38,102
19:27:43,101
19:27:48,102
19:27:53,101
19:28:08,101
19:28:13,95
19:28:18,92
19:28:23,93
19:28:33,94
19:28:38,97
19:28:43,98
19:28:48,99
19:28:53,97
19:28:59,96
19:29:04,99
19:29:09,100
19:29:14,102
19:29:19,104
19:29:24,102
19:29:29,103
19:29:34,105
19:29:39,109
19:29:44,110
19:29:59,111
19:30:04,113
19:30:14,110
19:30:19,108
19:30:29,107
19:30:34,99
19:30:39,93
19:30:44,96
19:30:54,94
19:30:59,91
19:31:09,92
19:31:14,94
19:31:24,95
19:31:29,93
19:31:34,95
19:31:39,98
19:31:44,97
19:31:49,96
19:31:54,95
19:31:59,93
19:32:04,88
19:32:09,87
19:32:14,89
19:32:29,90
19:32:34,92
19:32:39,98
19:32:44,101
19:32:49,106
19:32:54,105
19:32:59,101
19:33:04,102
19:33:09,105
19:33:14,109
19:33:19,107
19:33:24,105
19:33:39,106
19:33:54,107
19:33:59,109
19:34:14,109
19:34:19,107
19:34:24,102
19:34:29,90
19:34:34,89
19:34:39,91
19:34:54,91
19:34:59,92
19:35:04,94
19:35:09,95
19:35:19,94
19:35:34,95
19:35:44,94
19:35:54,95
19:36:04,98
19:36:09,102
19:36:14,103
19:36:19,102
19:36:24,101
19:36:29,92
19:36:34,91
19:36:39,92
19:36:44,93
19:36:59,93
19:37:04,94
19:37:09,93
19:37:14,92
19:37:29,92
19:37:34,94
