Time,Heart Rate
00:00:02,70
00:00:07,69
00:00:17,70
00:00:32,73
00:00:37,74
00:00:42,73
00:00:47,72
00:00:57,73
00:01:02,74
00:01:07,75
00:01:17,74
00:01:32,74
00:01:42,76
00:01:47,77
00:01:52,78
00:02:02,79
00:02:17,76
00:02:22,73
00:02:27,72
00:02:32,71
00:02:47,71
00:02:52,72
00:03:02,71
00:03:07,69
00:03:12,67
00:03:27,69
00:03:32,70
00:03:37,69
00:03:42,68
00:03:47,67
00:03:52,66
00:03:57,67
00:04:02,65
00:04:07,64
00:04:17,67
00:04:22,68
00:04:37,69
00:04:42,70
00:04:57,70
00:05:07,71
00:05:17,72
00:05:22,73
00:05:27,74
00:05:42,74
00:05:57,74
00:06:07,75
00:06:12,73
00:06:17,68
00:06:22,67
00:06:27,66
00:06:37,67
00:06:42,67
00:06:52,69
00:06:57,73
00:07:02,76
00:07:17,77
00:07:32,79
00:07:37,80
00:07:42,78
00:07:47,77
00:08:02,77
00:08:07,76
00:08:12,77
00:08:27,78
00:08:32,79
00:08:37,78
00:08:42,71
00:08:47,69
00:08:52,69
00:09:02,70
00:09:07,71
00:09:12,72
00:09:17,76
00:09:22,80
00:09:27,80
00:09:37,77
00:09:42,73
00:09:47,71
00:09:52,70
00:10:07,71
00:10:12,72
00:10:22,70
00:10:27,67
00:10:32,68
00:10:37,67
00:10:42,66
00:10:47,66
00:10:57,67
00:11:02,68
00:11:07,70
00:11:22,71
00:11:27,70
00:11:32,69
00:11:42,70
00:11:47,71
00:11:52,72
00:12:02,71
00:12:12,70
00:12:22,71
00:12:32,73
00:12:37,77
00:12:42,75
00:12:47,74
00:13:02,74
00:13:17,72
00:13:32,73
00:13:37,74
00:13:42,75
00:13:52,76
00:13:57,75
00:14:07,74
00:14:12,73
00:14:17,74
00:14:27,75
00:14:35,76
00:14:40,75
00:14:45,76
00:14:50,87
00:14:55,88
00:15:00,85
00:15:15,85
00:15:20,84
00:15:25,82
00:15:30,80
00:15:40,78
00:15:45,79
00:15:50,80
00:15:55,81
00:16:10,83
00:16:15,86
00:16:20,87
00:16:25,88
00:16:35,89
00:16:40,89
00:16:50,90
00:16:55,93
00:17:00,94
00:17:05,95
00:17:10,97
00:17:20,96
00:17:25,96
00:17:40,95
00:17:45,99
00:17:50,101
00:18:00,103
00:18:05,102
00:18:10,101
00:18:20,104
00:18:25,104
00:18:30,103
00:18:35,102
00:18:40,103
00:18:45,100
00:18:50,99
00:18:55,99
00:19:00,105
00:19:05,106
00:19:10,106
00:19:15,105
00:19:25,104
00:19:30,107
00:19:35,109
00:19:40,106
00:19:45,105
00:19:50,104
00:19:55,101
00:20:05,106
00:20:10,107
00:20:15,107
00:20:20,106
00:20:25,107
00:20:30,109
00:20:45,109
00:20:50,110
00:20:55,108
00:21:00,105
00:21:05,103
00:21:10,102
00:21:15,104
00:21:25,107
00:21:30,108
00:21:35,107
00:21:45,111
00:21:50,112
00:21:55,110
00:22:00,105
00:22:15,104
00:22:20,105
00:22:30,106
00:22:35,101
00:22:45,100
00:22:50,99
00:22:55,100
00:23:00,99
00:23:05,96
00:23:10,97
00:23:20,96
00:23:25,98
00:23:40,96
00:23:45,94
00:23:50,96
00:23:55,93
00:24:00,91
00:24:05,93
00:24:10,96
00:24:15,97
00:24:20,99
00:24:25,100
00:24:40,100
00:24:55,102
00:25:00,103
00:25:10,102
00:25:15,103
00:25:20,104
00:25:25,107
00:25:30,110
00:25:35,112
00:25:40,110
00:25:45,109
00:25:50,113
00:25:56,116
00:26:01,119
00:26:06,122
00:26:11,124
00:26:21,121
00:26:26,116
00:26:31,111
00:26:36,107
00:26:41,105
00:26:46,104
00:26:51,106
00:26:56,105
00:27:06,104
00:27:16,107
00:27:21,108
00:27:31,109
00:27:36,110
00:27:51,109
00:27:56,110
00:28:01,115
00:28:06,116
00:28:11,114
00:28:21,112
00:28:26,109
00:28:31,108
00:28:36,110
00:28:41,116
00:28:46,115
00:28:51,120
00:29:01,113
00:29:11,116
00:29:16,114
00:29:21,108
00:29:26,106
00:29:31,107
00:29:36,109
00:29:41,108
00:29:46,106
00:29:51,105
00:29:56,102
00:30:01,99
00:30:06,103
00:30:11,105
00:30:16,104
00:30:21,102
00:30:26,99
00:30:31,101
00:30:36,99
00:30:41,98
00:30:46,100
00:30:51,98
00:30:56,96
00:31:11,96
00:31:16,85
00:31:21,87
00:31:26,85
00:31:31,86
00:31:36,89
00:31:41,90
00:31:46,92
00:31:51,95
00:31:56,97
00:32:01,99
00:32:06,100
00:32:11,99
00:32:16,97
00:32:21,98
00:32:26,100
00:32:31,103
00:32:36,108
00:32:41,111
00:32:46,109
00:32:51,104
