Time,Heart Rate
00:00:12,95
00:00:17,87
00:00:22,88
00:00:27,90
00:00:32,93
00:00:37,92
00:00:42,91
00:00:47,89
00:00:52,90
00:00:57,90
00:01:07,92
00:01:12,95
00:01:17,96
00:01:27,97
00:01:32,98
00:01:37,97
00:01:42,95
00:01:47,93
00:02:02,93
00:02:03,92
00:02:08,90
00:02:13,89
00:02:28,89
00:02:33,89
00:02:43,90
00:02:53,91
00:02:58,92
00:03:08,93
00:03:13,94
00:03:18,91
00:03:23,90
00:03:28,91
00:03:43,91
00:03:58,97
00:04:08,95
00:04:18,94
00:04:23,93
00:04:38,92
00:04:43,91
00:04:48,92
00:05:03,92
00:05:08,93
00:05:13,94
00:05:18,98
00:05:23,96
00:05:28,94
00:05:33,91
00:05:38,90
00:05:43,90
00:05:58,90
00:06:08,91
00:06:18,92
00:06:28,92
00:06:33,90
00:06:38,89
00:06:43,87
00:06:53,88
00:06:58,91
00:07:08,90
00:07:23,90
00:07:28,92
00:07:38,93
00:07:43,91
00:07:48,90
00:07:53,89
00:07:58,89
00:08:03,88
00:08:08,91
00:08:13,92
00:08:18,91
00:08:23,90
00:08:28,89
00:08:33,90
00:08:38,91
00:08:48,90
00:09:03,90
00:09:08,91
00:09:13,96
00:09:18,99
00:09:23,98
00:09:28,97
00:09:38,98
00:09:43,96
00:09:48,95
00:09:53,96
00:09:58,95
00:10:03,93
00:10:18,93
00:10:33,93
00:10:43,92
00:10:48,93
00:10:53,94
00:11:03,93
00:11:08,91
00:11:13,91
00:11:18,90
00:11:28,89
00:11:33,88
00:11:48,88
00:12:03,89
00:12:08,87
00:12:18,88
00:12:23,87
00:12:28,88
00:12:33,87
00:12:43,87
00:12:58,85
00:13:03,84
00:13:13,86
00:13:28,84
00:13:33,82
00:13:43,83
00:13:48,84
00:13:53,85
00:13:58,86
00:14:03,85
00:14:18,84
00:14:23,82
00:14:28,82
00:14:38,84
00:14:43,83
00:14:48,81
00:14:53,80
00:14:58,81
00:15:03,82
00:15:08,84
00:15:23,84
00:15:28,84
00:15:33,85
00:15:43,84
00:15:48,84
00:16:03,84
00:16:08,85
00:16:23,85
00:16:33,87
00:16:38,88
00:16:43,87
00:16:48,85
00:16:58,84
00:17:03,83
00:17:08,83
00:17:23,83
00:17:33,84
00:17:48,85
00:17:53,84
00:17:58,86
00:18:03,89
00:18:08,87
00:18:13,84
00:18:23,83
00:18:38,83
00:18:48,84
00:18:53,85
00:18:58,88
00:19:03,88
00:19:18,87
00:19:33,87
00:19:38,80
00:19:48,81
00:19:53,83
00:19:58,84
00:20:13,84
00:20:18,85
00:20:33,86
00:20:38,87
00:20:43,88
00:20:53,89
00:21:03,91
00:21:08,88
00:21:18,87
00:21:28,88
00:21:33,91
00:21:38,93
00:21:48,94
00:21:53,96
00:21:58,95
00:22:03,92
00:22:08,92
00:22:13,93
00:22:18,96
00:22:23,97
00:22:31,98
00:22:41,99
00:22:46,100
00:22:51,102
00:23:06,105
00:23:11,104
00:23:16,107
00:23:21,110
00:23:26,109
00:23:31,106
00:23:36,107
00:23:41,112
00:23:51,96
00:23:56,94
00:24:01,98
00:24:06,106
00:24:21,105
00:24:26,104
00:24:31,103
00:24:36,102
00:24:41,103
00:24:46,107
00:24:51,106
00:25:01,103
00:25:06,102
00:25:11,102
00:25:16,103
00:25:21,106
00:25:36,109
00:25:46,105
00:25:51,102
00:25:56,100
00:26:01,101
00:26:06,97
00:26:11,91
00:26:26,93
00:26:31,94
00:26:36,96
00:26:41,100
00:26:56,101
00:27:01,104
00:27:06,104
00:27:16,104
00:27:21,106
00:27:31,105
00:27:36,104
00:27:41,97
00:27:51,94
00:27:56,91
00:28:11,91
00:28:26,90
00:28:41,92
00:28:46,92
00:29:01,92
00:29:11,91
00:29:26,92
00:29:41,94
00:29:46,93
00:29:51,89
00:29:56,86
00:30:01,87
00:30:11,88
00:30:16,89
00:30:21,89
00:30:31,90
00:30:46,90
00:30:51,91
00:30:56,90
00:31:11,90
00:31:21,89
00:31:26,90
00:31:31,89
00:31:36,90
00:31:41,90
00:31:56,90
00:32:17,87
00:32:22,86
00:32:32,86
00:32:47,87
00:33:02,87
00:33:17,87
00:33:22,90
00:33:27,92
00:33:32,93
00:33:37,92
00:33:42,90
00:33:47,91
00:33:52,92
