Time,Heart Rate
00:00:00,78
00:00:15,78
00:00:25,79
00:00:30,72
00:00:35,64
00:00:50,64
00:01:00,63
00:01:05,63
00:01:10,64
00:01:20,65
00:01:30,66
00:01:35,67
00:01:40,69
00:01:50,68
00:01:55,69
00:02:05,68
00:02:20,68
00:02:25,69
00:02:30,73
00:02:35,71
00:02:40,68
00:02:45,68
00:02:55,69
00:03:05,70
00:03:15,69
00:03:25,69
00:03:30,64
00:03:35,60
00:03:40,59
00:03:50,58
00:03:55,58
00:04:05,57
00:04:15,58
00:04:20,59
00:04:25,60
00:04:30,63
00:04:35,67
00:04:40,69
00:04:55,70
00:05:00,71
00:05:05,73
00:05:10,74
00:05:15,75
00:05:30,74
00:05:35,73
00:05:40,75
00:05:45,74
00:05:55,75
00:06:10,74
00:06:25,74
00:06:35,75
00:06:50,70
00:06:55,63
00:07:00,62
00:07:05,61
00:07:10,63
00:07:15,64
00:07:30,67
00:07:35,68
00:07:50,68
00:07:55,69
00:08:05,71
00:08:10,72
00:08:25,73
00:08:35,70
00:08:40,66
00:08:45,64
00:08:50,62
00:08:55,61
00:09:00,60
00:09:05,60
00:09:15,61
00:09:20,62
00:09:25,62
00:09:35,63
00:09:40,64
00:10:02,64
00:10:07,68
00:10:17,70
00:10:22,72
00:10:32,71
00:10:37,72
00:10:42,73
00:10:47,74
00:10:52,74
00:10:57,76
00:11:02,74
00:11:07,68
00:11:12,69
00:11:17,70
00:11:22,69
00:11:32,66
00:11:37,65
00:11:42,63
00:11:47,62
00:11:52,61
00:12:02,60
00:12:12,61
00:12:17,63
00:12:22,64
00:12:27,65
00:12:32,67
00:12:37,68
00:12:42,70
00:12:47,75
00:12:57,74
00:13:02,73
00:13:12,72
00:13:22,66
00:13:27,65
00:13:32,66
00:13:37,63
00:13:42,62
00:13:57,62
00:14:02,63
00:14:07,68
00:14:12,75
00:14:17,76
00:14:32,76
00:14:47,76
00:14:57,75
00:15:07,72
00:15:12,65
00:15:17,60
00:15:22,59
00:15:27,58
00:15:32,59
00:15:37,60
00:15:42,60
00:15:47,59
00:15:52,58
00:15:57,57
00:16:07,58
00:16:12,62
00:16:17,64
00:16:22,64
00:16:32,62
00:16:37,61
00:16:52,62
00:16:57,64
00:17:07,65
00:17:12,66
00:17:17,68
00:17:27,69
00:17:32,70
00:17:37,72
00:17:47,69
00:17:52,61
00:17:57,59
00:18:02,57
00:18:07,57
00:18:12,59
00:18:17,58
00:18:22,57
00:18:32,58
00:18:37,58
00:18:52,57
00:18:57,56
00:19:07,57
00:19:12,59
00:19:17,60
00:19:32,61
00:19:37,62
00:19:42,64
00:19:47,65
00:19:52,63
00:20:07,63
00:20:12,64
00:20:17,63
00:20:22,62
00:20:37,62
00:20:47,63
00:20:52,65
00:20:57,64
00:21:02,60
00:21:17,61
00:21:22,62
00:21:27,63
00:21:32,65
00:21:37,66
00:21:42,67
00:21:52,69
00:22:02,70
00:22:07,73
00:22:12,80
00:22:17,81
00:22:22,79
00:22:32,75
00:22:37,66
00:22:42,63
00:22:47,63
00:22:57,64
00:23:02,63
00:23:07,62
00:23:22,61
00:23:32,62
00:23:37,57
00:23:42,57
00:23:57,57
00:24:07,58
00:24:17,59
00:24:22,61
00:24:27,63
00:24:32,66
00:24:47,68
00:24:52,70
00:25:07,70
00:25:22,72
00:25:37,74
00:25:42,75
00:25:47,76
00:25:52,78
00:26:02,78
00:26:17,78
00:26:22,81
00:26:27,80
00:26:37,81
00:26:42,82
00:26:52,84
00:26:57,85
00:27:12,85
00:27:17,87
00:27:22,86
00:27:37,86
00:27:42,85
00:27:52,84
00:28:02,85
00:28:07,83
00:28:22,83
00:28:32,85
00:28:37,86
00:28:42,85
00:28:47,80
00:28:57,78
00:29:03,78
00:29:08,79
00:29:18,80
00:29:28,79
00:29:38,80
00:29:43,81
00:29:48,82
00:30:03,81
00:30:18,83
00:30:33,81
00:30:48,80
00:30:53,79
00:31:08,80
00:31:13,81
00:31:18,82
00:31:23,83
00:31:28,84
00:31:33,85
00:31:48,85
00:31:58,86
00:32:08,85
00:32:13,84
00:32:28,85
00:32:33,84
00:32:38,85
00:32:43,87
00:32:48,86
00:32:53,87
00:32:58,88
00:33:03,89
00:33:08,88
00:33:13,89
00:33:18,90
00:33:28,83
00:33:33,73
00:33:38,72
00:33:43,72
00:33:53,75
00:33:58,76
00:34:03,78
00:34:08,79
00:34:18,80
00:34:23,81
00:34:28,83
00:34:33,85
00:34:38,86
00:34:43,84
00:34:48,83
00:34:53,82
00:34:58,83
00:35:03,82
00:35:08,80
00:35:13,75
00:35:18,75
00:35:23,74
00:35:28,70
00:35:33,69
00:35:43,68
00:35:48,65
