Time,Heart Rate
00:00:08,86
00:00:23,87
00:00:28,86
00:00:33,85
00:00:43,84
00:00:53,85
00:00:58,84
00:01:03,83
00:01:08,83
00:01:23,83
00:01:28,85
00:01:33,86
00:01:38,86
00:01:43,86
00:01:58,87
00:02:03,87
00:02:13,87
00:02:18,85
00:02:33,86
00:02:48,86
00:02:58,88
00:03:03,89
00:03:18,89
00:03:33,89
00:03:38,89
00:03:48,91
00:04:03,90
00:04:18,90
00:04:28,91
00:04:43,91
00:04:48,90
00:05:03,90
00:05:08,88
00:05:13,87
00:05:28,86
00:05:38,88
00:05:43,90
00:05:48,91
00:06:03,92
00:06:08,93
00:06:13,94
00:06:23,95
00:06:28,93
00:06:33,90
00:06:48,90
00:06:53,89
00:07:08,89
00:07:13,90
00:07:23,91
00:07:38,91
00:07:53,91
00:07:54,91
00:07:59,89
00:08:04,90
00:08:09,91
00:08:14,89
00:08:19,88
00:08:24,88
00:08:39,87
00:08:44,89
00:08:49,90
00:08:54,89
00:09:09,89
00:09:14,90
00:09:24,91
00:09:29,92
00:09:44,93
00:09:49,94
00:10:04,92
00:10:09,90
00:10:14,89
00:10:24,90
00:10:34,91
00:10:49,91
00:10:59,91
00:11:09,92
00:11:14,93
00:11:29,93
00:11:34,94
00:11:39,92
00:11:54,94
00:11:59,95
00:12:14,95
00:12:19,96
00:12:24,97
00:12:29,98
00:12:34,97
00:12:39,99
00:12:44,102
00:12:54,100
00:12:59,99
00:13:04,97
00:13:19,97
00:13:29,96
00:13:34,96
00:13:39,95
00:13:44,94
00:13:49,92
00:13:59,91
00:14:04,90
00:14:09,87
00:14:14,88
00:14:19,91
00:14:24,93
00:14:39,94
00:14:44,92
00:14:49,91
00:14:59,93
00:15:04,96
00:15:09,97
00:15:19,96
00:15:24,95
00:15:29,96
00:15:34,95
00:15:39,94
00:15:44,95
00:15:49,91
00:15:54,90
00:15:59,89
00:16:14,89
00:16:19,90
00:16:24,99
00:16:29,102
00:16:34,107
00:16:39,105
00:16:44,104
00:16:49,105
00:16:54,107
00:16:59,103
00:17:04,102
00:17:09,103
00:17:14,106
00:17:19,104
00:17:29,105
00:17:34,107
00:17:39,109
00:17:44,108
00:17:54,110
00:17:59,111
00:18:04,114
00:18:09,116
00:18:14,115
00:18:19,111
00:18:24,106
00:18:29,104
00:18:34,106
00:18:39,109
00:18:44,110
00:18:49,114
00:18:54,118
00:18:59,123
00:19:14,121
00:19:19,118
00:19:24,116
00:19:39,114
00:19:44,112
00:19:49,115
00:19:54,113
00:19:59,111
00:20:04,114
00:20:09,116
00:20:14,115
00:20:19,114
00:20:24,111
00:20:34,110
00:20:39,109
00:20:44,106
00:20:49,101
00:20:54,102
00:20:59,104
00:21:04,103
00:21:09,101
00:21:19,98
00:21:24,93
00:21:29,90
00:21:34,85
00:21:39,81
00:21:54,81
00:21:59,83
00:22:04,84
00:22:09,86
00:22:14,87
00:22:19,88
00:22:29,86
00:22:35,88
00:22:40,87
00:22:55,87
00:23:10,87
00:23:15,88
00:23:20,87
00:23:25,85
00:23:40,85
00:23:45,85
00:23:55,88
00:24:00,92
00:24:05,93
00:24:10,92
00:24:20,93
00:24:25,92
00:24:35,93
00:24:40,96
00:24:45,98
00:25:00,98
00:25:05,97
00:25:10,98
00:25:15,99
00:25:20,98
00:25:30,102
00:25:35,103
00:25:40,106
00:25:47,105
00:25:52,100
00:25:57,98
00:26:02,97
00:26:07,100
00:26:12,105
00:26:17,110
00:26:32,111
00:26:37,112
00:26:47,113
00:27:02,111
00:27:07,109
00:27:12,106
00:27:17,103
00:27:22,104
00:27:27,112
00:27:32,110
00:27:37,105
00:27:42,111
00:27:47,114
00:27:52,112
00:27:57,106
00:28:02,96
00:28:07,94
00:28:12,92
00:28:17,92
00:28:27,93
00:28:42,91
00:28:47,88
00:28:52,87
00:28:57,86
00:29:02,87
00:29:17,87
00:29:32,87
00:29:37,88
00:29:47,90
00:29:52,91
00:29:57,88
00:30:12,87
00:30:17,86
00:30:32,86
00:30:47,86
00:30:52,87
00:30:57,88
00:31:07,88
00:31:12,88
00:31:22,87
00:31:27,86
00:31:37,85
00:31:42,83
00:31:57,83
00:32:02,86
00:32:07,87
00:32:22,86
00:32:37,86
00:32:52,86
00:33:02,85
00:33:07,84
00:33:12,83
00:33:27,83
00:33:32,84
00:33:47,84
00:34:02,85
00:34:07,85
00:34:12,86
00:34:27,86
00:34:42,86
00:34:57,87
00:35:02,86
00:35:12,82
00:35:17,79
00:35:22,81
00:35:32,79
00:35:47,79
00:35:52,80
00:35:57,82
00:36:03,82
00:36:08,83
00:36:13,86
00:36:18,87
00:36:28,86
00:36:43,86
00:36:58,86
00:37:13,86
00:37:18,87
00:37:23,88
00:37:28,89
00:37:43,88
00:37:58,88
00:38:03,89
00:38:13,88
00:38:18,86
00:38:23,85
00:38:38,86
00:38:43,87
00:38:48,86
00:38:53,85
00:39:03,85
00:39:08,84
00:39:13,80
00:39:23,81
00:39:38,81
00:39:45,83
00:39:50,84
00:39:55,85
00:40:00,86
00:40:05,85
00:40:10,86
00:40:15,87
00:40:20,88
00:40:35,87
00:40:50,87
00:41:00,88
00:41:10,89
00:41:15,88
00:41:20,87
00:41:30,86
00:41:35,84
00:41:45,83
00:41:50,81
00:41:55,80
00:42:00,80
00:42:05,81
00:42:20,82
00:42:25,83
00:42:30,84
00:42:35,85
00:42:50,85
00:43:05,85
00:43:10,85
00:43:25,85
00:43:40,85
00:43:45,89
00:43:50,92
00:44:00,93
00:44:10,94
00:44:15,94
00:44:30,94
00:44:40,91
00:44:45,90
00:45:00,90
00:45:10,89
00:45:15,87
00:45:20,85
00:45:25,85
00:45:30,86
00:45:35,86
00:45:50,86
00:46:05,86
00:46:20,86
00:46:35,86
00:46:40,85
00:46:47,85
00:46:52,86
00:47:02,87
00:47:17,86
00:47:32,86
00:47:37,85
00:47:42,84
00:47:47,86
00:48:02,85
00:48:17,86
00:48:32,86
00:48:47,85
00:48:57,84
00:49:12,86
00:49:17,87
00:49:22,86
00:49:37,85
00:49:47,87
00:49:52,88
00:49:57,87
00:50:07,88
00:50:22,88
00:50:37,88
00:50:42,90
00:50:47,91
00:50:57,90
00:51:03,90
00:51:08,91
00:51:13,93
00:51:18,94
00:51:23,92
00:51:28,91
00:51:38,89
00:51:43,88
00:51:48,85
00:51:53,84
00:51:58,85
00:52:03,87
00:52:18,88
00:52:23,86
00:52:33,87
00:52:48,87
00:52:53,88
00:53:08,88
00:53:23,88
00:53:28,89
00:53:43,89
00:53:53,90
00:53:58,91
00:54:03,85
00:54:08,84
00:54:18,85
00:54:23,91
00:54:28,90
00:54:33,86
00:54:38,84
00:54:53,84
00:55:03,86
00:55:08,86
00:55:18,87
00:55:23,89
00:55:28,90
00:55:33,92
00:55:43,91
00:55:58,91
00:56:08,89
00:56:23,89
00:56:28,90
00:56:33,88
00:56:38,85
00:56:48,87
00:56:53,88
00:57:08,88
00:57:18,90
00:57:33,90
00:57:38,89
00:57:43,88
00:57:48,87
00:57:58,86
00:58:05,87
00:58:15,86
00:58:25,84
00:58:40,85
00:58:45,83
00:59:00,83
00:59:05,84
00:59:15,85
00:59:30,86
00:59:40,87
00:59:45,92
00:59:55,91
01:00:00,90
01:00:05,89
01:00:10,88
01:00:15,87
01:00:20,85
01:00:25,84
01:00:30,83
01:00:35,84
01:00:40,88
01:00:45,89
01:00:50,88
01:01:05,88
01:01:15,87
01:01:20,86
01:01:30,87
01:01:35,87
01:01:40,88
01:01:50,90
01:01:55,89
01:02:10,89
01:02:15,90
01:02:30,90
01:02:45,89
01:02:55,88
01:03:10,88
01:03:20,87
01:03:30,88
01:03:35,90
01:03:40,91
01:03:55,93
01:04:05,94
01:04:20,94
01:04:25,94
01:04:35,95
01:04:40,94
01:04:50,93
01:05:05,93
01:05:15,94
01:05:30,94
01:05:35,95
01:05:40,93
01:05:45,92
01:05:50,92
01:05:55,92
01:06:10,92
01:06:25,92
01:06:35,93
01:06:40,94
01:06:55,93
01:07:10,93
01:07:25,92
01:07:30,91
01:07:45,92
01:07:55,91
01:08:10,91
01:08:25,91
01:08:30,89
01:08:35,88
01:08:40,88
01:08:55,89
01:09:05,91
01:09:10,93
01:09:25,93
01:09:30,95
01:09:35,96
01:09:40,95
01:09:45,96
01:10:00,97
01:10:10,98
01:10:16,97
01:10:31,97
01:10:41,94
01:10:46,95
01:10:56,96
01:11:01,97
01:11:16,98
01:11:26,100
01:11:31,101
01:11:36,103
01:11:51,104
01:11:56,105
01:12:01,105
01:12:16,105
01:12:21,104
01:12:26,105
01:12:31,103
01:12:36,88
01:12:41,86
01:12:51,87
01:13:01,94
01:13:06,92
01:13:11,95
01:13:16,98
01:13:21,101
01:13:26,100
01:13:32,96
01:13:37,87
01:13:42,91
01:13:47,96
01:13:52,97
01:13:57,99
01:14:02,103
01:14:07,105
01:14:17,108
01:14:22,110
01:14:27,111
01:14:42,109
01:14:47,107
01:14:52,108
01:14:57,110
01:15:02,113
01:15:07,114
01:15:12,115
01:15:17,116
01:15:22,118
01:15:32,115
01:15:37,114
01:15:47,113
01:15:57,111
01:16:02,112
01:16:07,113
01:16:12,115
01:16:22,108
01:16:27,99
01:16:32,97
01:16:37,96
01:16:52,96
01:16:57,97
01:17:07,99
01:17:12,100
01:17:17,99
01:17:22,102
01:17:27,103
01:17:32,107
01:17:37,108
01:17:52,107
01:18:07,108
01:18:12,111
01:18:17,112
01:18:32,111
01:18:37,110
01:18:42,108
01:18:52,104
01:18:57,101
01:19:02,96
01:19:07,94
01:19:12,94
01:19:17,94
01:19:22,93
01:19:27,90
01:19:42,91
01:19:47,89
01:19:52,90
01:19:57,91
01:20:07,90
01:20:12,90
01:20:17,89
01:20:22,89
01:20:27,90
01:20:37,91
01:20:52,91
01:21:02,92
01:21:17,92
01:21:32,92
01:21:47,92
01:21:57,93
01:22:07,92
01:22:17,93
01:22:22,94
01:22:32,95
01:22:37,96
01:22:47,94
01:22:52,93
01:23:02,95
01:23:07,97
