Time,State,Interpreted
17:34:00,1,Asleep
17:35:00,1,Asleep
17:36:00,1,Asleep
17:37:00,1,Asleep
17:38:00,1,Asleep
17:39:00,1,Asleep
17:40:00,1,Asleep
17:41:00,1,Asleep
17:42:00,1,Asleep
17:43:00,1,Asleep
17:44:00,1,Asleep
17:45:00,1,Asleep
17:46:00,1,Asleep
17:47:00,1,Asleep
17:48:00,1,Asleep
17:49:00,1,Asleep
17:50:00,1,Asleep
17:51:00,1,Asleep
17:52:00,1,Asleep
17:53:00,1,Asleep
17:54:00,1,Asleep
17:55:00,1,Asleep
17:56:00,1,Asleep
17:57:00,1,Asleep
17:58:00,1,Asleep
17:59:00,1,Asleep
18:00:00,1,Asleep
18:01:00,1,Asleep
18:02:00,1,Asleep
18:03:00,1,Asleep
18:04:00,1,Asleep
18:05:00,1,Asleep
18:06:00,1,Asleep
18:07:00,1,Asleep
18:08:00,1,Asleep
18:09:00,1,Asleep
18:10:00,1,Asleep
18:11:00,1,Asleep
18:12:00,1,Asleep
18:13:00,2,Awake
18:14:00,2,Awake
18:15:00,2,Awake
18:16:00,2,Awake
18:17:00,2,Awake
18:18:00,2,Awake
18:19:00,1,Asleep
18:20:00,1,Asleep
18:21:00,1,Asleep
18:22:00,1,Asleep
18:23:00,1,Asleep
18:24:00,1,Asleep
18:25:00,1,Asleep
18:26:00,1,Asleep
18:27:00,1,Asleep
18:28:00,1,Asleep
18:29:00,1,Asleep
18:30:00,1,Asleep
18:31:00,1,Asleep
18:32:00,1,Asleep
18:33:00,1,Asleep
18:34:00,1,Asleep
18:35:00,1,Asleep
18:36:00,2,Awake
18:37:00,1,Asleep
18:38:00,1,Asleep
18:39:00,1,Asleep
18:40:00,1,Asleep
18:41:00,1,Asleep
18:42:00,1,Asleep
18:43:00,1,Asleep
18:44:00,1,Asleep
18:45:00,1,Asleep
