Time,Heart Rate
00:00:08,99
00:00:13,105
00:00:18,109
00:00:23,112
00:00:28,114
00:00:43,115
00:00:48,113
00:00:53,108
00:00:58,104
00:01:03,101
00:01:08,100
00:01:18,101
00:01:33,101
00:01:38,101
00:01:48,100
00:01:53,99
00:01:58,101
00:02:03,104
00:02:08,105
00:02:13,101
00:02:18,98
00:02:23,97
00:02:28,96
00:02:33,98
00:02:38,100
00:02:43,98
00:02:48,97
00:03:03,98
00:03:08,98
00:03:13,102
00:03:18,101
00:03:23,99
00:03:28,97
00:03:33,89
00:03:38,84
00:03:53,84
00:04:08,84
00:04:13,89
00:04:18,92
00:04:23,94
00:04:38,94
00:04:43,97
00:04:49,94
00:05:04,95
00:05:09,94
00:05:14,93
00:05:19,92
00:05:24,89
00:05:29,90
00:05:44,90
00:05:54,91
00:05:59,92
00:06:09,96
00:06:14,98
00:06:19,103
00:06:24,105
00:06:29,104
00:06:34,103
00:06:39,104
00:06:44,102
00:06:49,102
00:06:54,105
00:06:59,106
00:07:14,108
00:07:19,109
00:07:34,107
00:07:39,103
00:07:44,100
00:07:49,99
00:07:54,100
00:07:59,98
00:08:04,95
00:08:09,93
00:08:19,95
00:08:24,100
00:08:29,102
00:08:34,103
00:08:44,106
00:08:54,105
00:08:59,104
00:09:04,101
00:09:09,100
00:09:14,104
00:09:19,105
00:09:24,109
00:09:29,111
00:09:34,113
00:09:39,114
00:09:44,111
00:09:49,109
00:09:59,112
00:10:04,113
00:10:09,111
00:10:14,112
00:10:19,110
00:10:29,105
00:10:34,102
00:10:39,105
00:10:44,104
00:10:54,105
00:10:59,106
00:11:04,107
00:11:14,106
00:11:24,105
00:11:29,103
00:11:34,107
00:11:39,110
00:11:54,111
00:11:59,114
00:12:04,115
00:12:14,111
00:12:19,106
00:12:29,108
00:12:39,107
00:12:44,105
00:12:49,103
00:12:54,100
00:12:59,97
00:13:04,97
00:13:09,95
00:13:14,96
00:13:19,100
00:13:24,101
00:13:29,101
00:13:44,100
00:13:54,100
00:13:59,101
00:14:04,100
00:14:09,97
00:14:19,100
00:14:29,98
00:14:34,99
00:14:39,104
00:14:44,104
00:14:49,104
00:14:54,101
00:14:59,98
00:15:14,99
00:15:19,100
00:15:24,101
00:15:29,100
00:15:34,99
00:15:44,100
00:15:59,100
00:16:04,101
00:16:09,102
00:16:14,101
00:16:19,102
00:16:24,104
00:16:29,105
00:16:34,106
00:16:39,105
00:16:44,104
00:16:49,101
00:16:54,102
00:16:59,104
00:17:04,106
00:17:09,108
00:17:24,109
00:17:29,108
00:17:34,107
00:17:39,107
00:17:44,106
00:17:49,109
00:17:54,106
00:18:04,103
00:18:09,105
00:18:14,110
00:18:19,109
00:18:29,106
00:18:34,103
