Time,Heart Rate
00:00:02,80
00:00:07,79
00:00:12,79
00:00:22,80
00:00:27,79
00:00:32,77
00:00:47,78
00:00:52,79
00:01:07,79
00:01:12,79
00:01:17,80
00:01:27,78
00:01:32,76
00:01:37,75
00:01:52,74
00:01:57,75
00:02:12,75
00:02:22,74
00:02:37,74
00:02:42,76
00:02:47,75
00:02:52,74
00:02:57,74
00:03:12,74
00:03:22,73
00:03:27,73
00:03:32,74
00:03:37,76
00:03:42,77
00:03:47,78
00:03:57,76
00:04:07,76
00:04:22,76
00:04:27,75
00:04:32,74
00:04:41,74
00:04:56,74
00:05:01,75
00:05:06,76
00:05:11,75
00:05:26,75
00:05:36,76
00:05:46,75
00:05:56,74
00:06:11,74
00:06:21,76
00:06:26,77
00:06:31,78
00:06:36,77
00:06:41,76
00:06:51,75
00:07:06,75
00:07:21,76
00:07:36,75
00:07:41,74
00:07:46,75
00:07:51,76
00:07:56,77
00:08:11,77
00:08:16,78
00:08:21,79
00:08:31,77
00:08:36,75
00:08:41,77
00:08:46,81
00:08:51,82
00:08:56,79
00:09:01,77
00:09:06,74
00:09:11,72
00:09:16,70
00:09:26,70
00:09:31,72
00:09:36,73
00:09:41,77
00:09:46,79
00:10:01,77
00:10:16,76
00:10:26,75
00:10:41,76
00:10:56,76
00:11:11,75
00:11:16,74
00:11:31,75
00:11:46,75
00:11:51,74
00:11:56,73
00:12:01,74
00:12:06,73
00:12:11,72
00:12:16,73
00:12:31,75
00:12:41,76
00:12:51,75
00:13:01,74
00:13:06,75
00:13:11,76
00:13:16,77
00:13:21,78
00:13:26,80
00:13:41,81
00:13:51,80
00:13:56,79
00:14:01,77
00:14:11,78
00:14:16,77
00:14:26,78
00:14:31,79
00:14:36,78
00:14:41,77
00:14:46,76
00:15:01,76
00:15:11,77
00:15:21,78
00:15:36,76
00:15:41,74
00:15:46,73
00:15:51,72
00:15:56,71
00:16:01,72
00:16:06,75
00:16:11,77
00:16:21,78
00:16:26,78
00:16:31,78
00:16:36,77
00:16:41,75
00:16:46,75
00:16:56,77
00:17:01,79
00:17:11,78
00:17:16,76
00:17:21,78
00:17:26,80
00:17:31,83
00:17:36,83
00:17:41,81
00:17:46,80
00:17:51,79
00:17:56,76
00:18:01,74
00:18:16,74
00:18:31,74
00:18:32,74
00:18:37,75
00:18:52,75
00:19:02,76
00:19:07,77
00:19:12,79
00:19:17,80
00:19:32,82
00:19:37,83
00:19:42,84
00:19:47,84
00:19:52,80
00:20:02,78
00:20:12,76
00:20:17,74
00:20:27,73
00:20:42,73
00:20:47,76
00:20:57,77
00:21:07,78
00:21:12,79
00:21:17,78
00:21:22,77
00:21:32,78
00:21:47,78
00:21:53,80
00:21:58,81
00:22:03,80
00:22:08,78
00:22:13,77
00:22:18,75
00:22:23,74
00:22:28,75
00:22:33,78
00:22:38,79
00:22:43,79
00:22:48,78
00:22:53,76
00:22:58,74
00:23:08,74
00:23:13,75
00:23:18,76
00:23:28,77
00:23:33,80
00:23:38,79
00:23:43,77
00:23:48,76
00:23:53,74
00:23:58,72
00:24:03,70
00:24:08,71
00:24:13,74
00:24:18,77
00:24:23,79
00:24:28,81
00:24:33,80
00:24:38,78
00:24:43,77
00:24:48,76
00:25:03,76
00:25:18,76
00:25:23,77
00:25:33,79
00:25:38,81
00:25:48,79
00:25:53,78
00:25:58,76
00:26:03,75
00:26:08,74
00:26:13,72
00:26:18,71
00:26:33,72
00:26:43,74
00:26:58,75
00:27:13,76
00:27:28,78
00:27:33,79
00:27:38,79
00:27:43,80
00:27:48,80
00:27:53,81
00:28:03,82
00:28:08,83
00:28:13,81
00:28:18,79
00:28:23,77
00:28:28,76
00:28:38,77
00:28:48,76
00:28:53,75
00:28:58,74
00:29:03,73
00:29:18,73
00:29:28,74
00:29:33,75
00:29:48,75
00:29:58,76
00:30:08,77
00:30:18,78
00:30:23,79
00:30:28,78
00:30:38,77
00:30:43,75
00:30:48,73
00:30:53,72
00:31:03,75
00:31:08,74
00:31:13,75
00:31:18,74
00:31:23,71
00:31:28,73
00:31:33,74
00:31:48,75
00:31:53,76
00:31:58,79
00:32:03,80
00:32:08,82
00:32:13,84
00:32:28,85
00:32:33,86
00:32:38,90
00:32:43,93
00:32:48,89
00:32:53,87
00:32:58,86
00:33:03,86
00:33:08,84
00:33:13,82
00:33:18,81
00:33:23,82
00:33:28,83
00:33:33,81
00:33:38,79
00:33:43,78
00:33:58,78
00:34:03,77
00:34:08,76
00:34:13,75
00:34:18,74
00:34:28,75
00:34:33,74
00:34:43,73
00:34:48,72
00:34:53,73
00:34:58,72
00:35:08,73
00:35:13,74
00:35:18,76
00:35:28,73
00:35:38,72
00:35:53,73
00:36:03,74
00:36:13,73
00:36:18,71
00:36:23,72
00:36:28,74
00:36:33,73
00:36:43,72
00:36:58,72
00:37:08,71
00:37:15,71
00:37:25,72
00:37:30,73
00:37:35,72
00:37:40,71
00:37:45,70
00:37:50,72
00:37:55,73
00:38:00,72
00:38:05,73
00:38:10,72
00:38:20,73
00:38:30,71
00:38:40,70
00:38:45,71
00:38:55,72
00:39:00,73
00:39:05,72
00:39:20,72
00:39:25,74
00:39:30,75
00:39:40,75
00:39:45,74
00:40:00,73
00:40:05,72
00:40:10,71
00:40:15,69
00:40:20,68
00:40:30,69
00:40:40,71
00:40:45,70
00:40:50,69
00:41:00,70
00:41:15,70
00:41:20,69
00:41:30,70
00:41:40,72
00:41:45,75
00:41:50,76
00:42:00,78
00:42:10,79
00:42:15,77
00:42:20,76
00:42:30,75
00:42:40,76
00:42:55,76
00:43:00,75
00:43:05,74
00:43:10,75
00:43:15,74
00:43:20,71
00:43:35,70
00:43:40,69
00:43:55,69
00:44:00,69
00:44:05,70
00:44:10,71
00:44:15,72
00:44:30,72
00:44:40,71
00:44:45,69
00:44:55,71
00:45:00,72
00:45:05,73
00:45:10,71
00:45:15,70
00:45:20,69
00:45:30,69
00:45:40,73
00:45:45,75
00:45:50,78
00:46:00,76
00:46:05,73
00:46:10,72
00:46:15,74
00:46:20,76
00:46:25,77
00:46:30,80
00:46:35,82
00:46:40,80
00:46:45,78
00:46:50,77
00:47:05,78
00:47:15,77
00:47:25,76
00:47:30,74
00:47:35,72
00:47:45,74
00:47:50,75
00:48:00,73
00:48:05,72
00:48:15,73
00:48:20,73
00:48:30,72
00:48:45,73
00:48:50,72
00:48:55,73
00:49:00,72
00:49:10,71
00:49:15,72
00:49:20,73
00:49:25,72
00:49:30,71
00:49:35,70
00:49:50,71
00:49:55,73
00:50:00,74
00:50:05,76
00:50:10,77
00:50:20,75
00:50:25,74
00:50:40,75
00:50:50,75
00:51:05,75
00:51:10,74
00:51:20,76
00:51:25,72
00:51:30,70
00:51:35,69
00:51:45,70
00:51:50,71
00:52:05,71
00:52:10,71
00:52:15,70
00:52:20,69
00:52:35,69
00:52:40,71
00:52:50,73
00:52:55,72
00:53:05,71
00:53:10,72
00:53:15,72
00:53:25,73
00:53:32,73
00:53:37,72
00:53:47,73
00:53:57,71
00:54:12,72
00:54:17,74
00:54:22,73
00:54:27,72
00:54:32,74
00:54:42,73
00:54:47,74
00:54:52,73
00:55:07,75
00:55:12,76
00:55:17,78
00:55:22,74
00:55:27,73
00:55:32,73
00:55:47,75
00:55:52,78
00:55:57,77
00:56:02,76
00:56:07,76
00:56:17,79
00:56:22,83
00:56:27,82
00:56:32,81
00:56:37,80
00:56:42,79
00:56:57,79
00:57:02,78
00:57:07,74
00:57:12,72
00:57:22,71
00:57:27,72
00:57:37,74
00:57:52,71
00:57:57,66
00:58:07,68
00:58:12,70
00:58:17,72
00:58:27,71
00:58:32,72
00:58:42,73
00:58:47,74
00:58:52,75
00:58:57,76
00:59:02,75
00:59:07,74
00:59:22,76
00:59:27,76
00:59:37,75
00:59:42,74
00:59:47,73
00:59:52,72
01:00:02,73
01:00:12,73
01:00:22,72
01:00:27,71
01:00:32,72
01:00:47,74
01:00:52,76
01:00:57,77
01:01:02,76
01:01:07,78
01:01:12,79
01:01:17,80
01:01:22,82
01:01:32,80
01:01:42,81
01:01:47,83
01:01:52,86
01:01:57,85
01:02:02,81
01:02:07,77
01:02:17,74
01:02:22,73
01:02:27,71
01:02:32,70
01:02:37,71
01:02:42,71
01:02:47,69
01:02:57,70
01:03:02,69
01:03:07,68
01:03:12,69
01:03:17,72
01:03:22,73
01:03:32,71
01:03:37,69
01:03:42,68
01:03:47,68
01:03:52,70
01:03:57,71
01:04:02,72
01:04:07,70
01:04:12,69
01:04:17,68
01:04:22,67
01:04:37,68
01:04:47,66
01:04:52,64
01:05:07,65
01:05:22,65
01:05:27,67
01:05:32,66
01:05:42,65
01:05:47,64
01:05:53,63
01:05:58,63
01:06:03,64
01:06:08,64
01:06:23,64
01:06:33,65
01:06:38,66
01:06:43,65
01:06:58,67
01:07:08,65
01:07:18,66
01:07:23,66
01:07:28,65
01:07:33,64
01:07:38,64
01:07:48,64
01:08:03,64
01:08:08,64
01:08:23,64
01:08:38,65
01:08:53,65
01:09:03,67
01:09:08,66
01:09:13,65
01:09:20,65
01:09:25,66
01:09:30,67
01:09:35,68
01:09:50,68
01:10:05,66
01:10:10,65
01:10:20,66
01:10:35,66
01:10:45,66
01:10:50,64
01:10:55,63
01:11:00,62
01:11:05,61
01:11:15,62
01:11:20,63
01:11:25,64
01:11:35,65
01:11:40,64
01:11:55,64
01:12:00,65
01:12:05,63
01:12:15,65
01:12:20,66
01:12:25,65
01:12:35,66
01:12:40,67
01:12:45,67
01:12:55,65
01:13:00,64
01:13:05,65
01:13:15,66
01:13:20,67
01:13:25,67
01:13:30,66
01:13:35,65
01:13:40,63
01:13:50,64
01:14:05,65
01:14:15,64
01:14:25,66
01:14:30,65
01:14:35,66
01:14:40,65
01:14:45,64
01:14:55,66
01:15:10,66
01:15:20,67
01:15:25,70
01:15:30,71
01:15:35,70
01:15:40,68
01:15:45,66
01:15:50,65
01:15:55,65
01:16:10,64
01:16:25,64
01:16:30,65
01:16:45,65
01:16:50,67
01:16:55,68
01:17:00,69
01:17:15,72
01:17:20,70
01:17:25,69
01:17:30,67
01:17:35,65
01:17:40,64
01:17:55,68
01:18:00,73
01:18:10,71
01:18:15,68
01:18:20,67
01:18:30,68
01:18:35,66
01:18:40,65
01:18:50,67
01:18:55,69
01:19:00,72
01:19:05,70
01:19:10,67
01:19:15,64
01:19:20,63
01:19:25,64
01:19:40,64
01:19:45,66
01:19:50,69
01:19:55,67
01:20:00,66
01:20:10,65
01:20:25,64
01:20:30,63
01:20:35,63
01:20:40,65
01:20:45,67
01:20:55,66
01:21:05,67
01:21:10,69
01:21:15,68
01:21:20,67
01:21:25,66
01:21:35,67
01:21:40,68
01:21:50,67
01:22:00,68
01:22:05,69
01:22:15,69
01:22:20,69
01:22:25,68
01:22:30,66
01:22:35,65
01:22:40,64
01:22:50,65
01:22:55,66
01:23:00,67
01:23:05,66
01:23:10,67
01:23:15,66
01:23:20,64
01:23:25,63
01:23:40,63
01:23:45,65
01:23:50,64
01:24:05,64
01:24:15,63
01:24:30,63
01:24:35,66
01:24:50,66
01:24:55,65
01:25:00,66
01:25:05,66
01:25:15,68
01:25:20,67
01:25:25,67
01:25:31,67
01:25:41,72
01:25:46,76
01:26:01,74
01:26:06,72
01:26:11,70
01:26:16,69
01:26:21,70
01:26:26,71
01:26:36,70
01:26:41,68
01:26:56,70
01:27:01,73
01:27:06,75
01:27:11,73
01:27:16,72
01:27:21,73
01:27:26,75
01:27:31,76
01:27:36,78
01:27:41,80
01:27:46,80
01:27:51,79
01:27:56,78
01:28:06,75
01:28:11,70
01:28:16,66
01:28:21,66
01:28:26,67
01:28:31,69
01:28:36,70
01:28:46,75
01:28:51,76
01:28:56,73
01:29:01,70
01:29:16,70
01:29:21,70
01:29:31,71
01:29:41,72
01:29:56,76
01:30:01,83
01:30:16,83
01:30:31,83
01:30:36,82
01:30:51,80
01:30:56,80
01:31:11,80
01:31:16,80
01:31:26,81
01:31:41,81
01:31:46,81
01:31:51,79
01:32:06,80
01:32:11,81
01:32:16,78
01:32:21,76
01:32:26,73
01:32:31,72
01:32:46,72
01:33:01,74
01:33:06,77
01:33:11,75
01:33:16,71
01:33:21,70
01:33:31,69
01:33:36,68
01:33:41,67
01:33:46,70
01:33:51,74
01:33:56,73
01:34:06,72
01:34:11,71
01:34:26,70
01:34:36,69
01:34:41,68
01:34:46,67
01:34:51,68
01:34:56,70
01:35:01,71
01:35:11,72
01:35:21,73
01:35:26,73
01:35:31,72
01:35:36,75
01:35:41,74
01:35:46,72
01:35:51,71
01:35:56,72
01:36:01,73
01:36:11,76
01:36:16,77
01:36:26,73
01:36:31,71
01:36:36,70
01:36:51,71
01:36:56,72
01:37:01,70
01:37:06,68
01:37:11,66
01:37:16,67
01:37:21,68
01:37:36,68
01:37:41,67
01:37:51,68
01:38:01,66
01:38:11,69
01:38:16,70
01:38:21,65
01:38:26,63
01:38:41,63
01:38:46,62
01:38:56,63
01:39:06,61
01:39:16,62
01:39:26,63
01:39:36,62
01:39:51,63
01:40:06,64
01:40:21,63
01:40:26,62
01:40:41,62
01:40:46,64
01:40:51,65
01:40:56,66
01:41:01,67
01:41:11,65
01:41:16,64
01:41:26,63
01:41:31,62
01:41:46,62
01:42:01,62
01:42:16,62
01:42:26,61
01:42:41,61
01:42:42,61
01:42:47,60
01:42:52,59
01:42:57,60
01:43:02,62
01:43:07,64
01:43:12,62
01:43:17,61
01:43:27,62
01:43:32,61
01:43:37,62
01:43:52,62
01:43:57,63
01:44:02,62
01:44:07,61
01:44:12,60
01:44:27,60
01:44:32,61
01:44:37,62
01:44:52,61
01:45:07,62
01:45:17,63
01:45:22,62
01:45:32,64
01:45:37,65
01:45:42,62
01:45:57,62
01:46:02,61
01:46:17,62
01:46:32,62
01:46:47,63
01:47:02,63
01:47:07,62
01:47:12,61
01:47:22,62
01:47:37,62
01:47:42,63
01:47:47,62
01:47:52,63
01:48:07,63
01:48:17,62
01:48:27,63
01:48:32,62
01:48:47,63
01:48:52,64
01:49:07,63
01:49:12,62
01:49:17,61
01:49:22,60
01:49:27,61
01:49:42,61
01:49:47,60
01:50:02,60
01:50:07,61
01:50:12,61
01:50:22,62
01:50:37,62
01:50:52,63
01:51:02,62
01:51:17,62
01:51:32,62
01:51:37,63
01:51:52,63
01:52:02,62
01:52:07,63
01:52:12,62
01:52:17,61
01:52:32,60
01:52:42,61
01:52:52,62
01:53:07,62
01:53:12,63
01:53:27,63
01:53:42,63
01:53:52,62
01:54:07,63
01:54:12,62
01:54:27,62
01:54:37,63
01:54:52,63
01:54:57,62
01:55:02,62
01:55:17,62
01:55:32,62
01:55:37,63
01:55:52,64
01:55:57,63
01:56:12,62
01:56:27,62
01:56:32,63
01:56:47,62
01:57:02,62
01:57:17,62
01:57:27,63
01:57:37,62
01:57:42,61
01:57:57,61
01:58:12,62
01:58:27,62
01:58:37,64
01:58:42,63
01:58:52,62
01:59:07,62
01:59:17,61
01:59:27,62
01:59:33,62
01:59:43,63
01:59:53,62
01:59:58,63
02:00:13,62
02:00:28,62
02:00:43,62
02:00:53,62
02:00:58,60
02:01:03,58
02:01:08,59
02:01:13,60
02:01:18,62
02:01:23,63
02:01:38,63
02:01:43,64
02:01:58,64
02:02:13,63
02:02:23,64
02:02:28,63
02:02:43,63
02:02:48,62
02:03:03,62
02:03:18,62
02:03:28,61
02:03:43,61
02:03:48,63
02:03:53,63
02:04:03,64
02:04:13,63
02:04:28,63
02:04:38,62
02:04:53,63
02:05:08,64
02:05:13,62
02:05:18,61
02:05:28,62
02:05:43,62
02:05:53,64
02:05:58,63
02:06:03,62
02:06:18,62
02:06:33,63
02:06:48,63
02:06:58,64
02:07:08,62
02:07:18,61
02:07:23,60
02:07:38,62
02:07:53,63
02:08:08,62
02:08:23,63
02:08:38,62
02:08:53,62
02:08:58,62
02:09:13,63
02:09:23,62
02:09:33,63
02:09:38,62
02:09:53,63
02:09:58,62
02:10:13,61
02:10:28,61
02:10:43,62
02:10:48,63
02:10:53,62
02:11:08,62
02:11:23,62
02:11:38,63
02:11:53,63
02:11:58,62
02:12:13,63
02:12:18,62
02:12:33,62
02:12:48,62
02:12:53,63
02:12:58,64
02:13:08,63
02:13:18,64
02:13:33,63
02:13:48,64
02:13:53,64
02:14:08,65
02:14:23,64
02:14:38,65
02:14:48,64
02:14:58,63
02:15:08,64
02:15:23,64
02:15:38,64
02:15:53,64
02:16:03,63
02:16:18,63
02:17:59,62
02:18:14,62
02:18:19,63
02:18:24,64
02:18:29,63
02:18:44,63
02:18:49,64
02:18:54,63
02:19:09,64
02:19:24,64
02:19:34,63
02:19:49,63
02:19:54,64
02:20:04,63
02:20:09,62
02:20:24,63
02:20:34,64
02:20:44,63
02:20:54,62
02:21:04,63
02:21:14,62
02:21:24,63
02:21:29,64
02:21:39,63
02:21:44,62
02:21:54,63
02:21:59,64
02:22:04,64
02:22:09,63
02:22:14,64
02:22:19,63
02:22:24,64
02:22:39,64
02:22:44,63
02:22:54,64
02:23:04,66
02:23:09,65
02:23:14,64
02:23:29,66
02:23:44,66
02:23:49,65
02:24:04,64
02:24:14,63
02:24:24,64
02:24:34,65
02:24:39,66
02:24:49,65
02:24:54,64
02:25:04,65
02:25:14,64
02:25:29,64
02:25:34,65
02:25:44,64
02:25:54,65
02:25:59,66
02:26:09,67
02:26:14,74
02:26:19,87
02:26:24,85
02:26:29,77
02:26:34,71
02:26:39,68
02:26:44,66
02:26:49,65
02:26:54,63
02:27:09,63
02:27:14,64
02:27:19,65
02:27:24,64
02:27:29,63
02:27:44,63
02:27:54,65
02:28:04,64
02:28:19,64
02:28:34,64
02:28:44,65
02:28:54,64
02:29:09,64
02:29:15,65
02:29:20,64
02:29:25,65
02:29:30,63
02:29:35,61
02:29:45,63
02:29:50,64
02:29:55,66
02:30:00,73
02:30:05,75
02:30:20,76
02:30:25,73
02:30:30,72
02:30:35,70
02:30:40,67
02:30:45,64
02:30:50,63
02:30:55,62
02:31:10,63
02:31:20,64
02:31:35,65
02:31:50,66
02:32:00,67
02:32:10,65
02:32:25,66
02:32:30,65
02:32:35,64
02:32:40,64
02:32:55,67
02:33:00,72
02:33:05,67
02:33:10,65
02:33:25,65
02:33:30,64
02:33:40,65
02:33:45,64
02:33:55,65
02:34:00,66
02:34:10,67
02:34:20,66
02:34:35,65
02:34:50,65
02:34:55,66
02:35:10,66
02:35:15,65
02:35:20,66
02:35:30,65
02:35:40,66
02:35:45,67
02:35:50,66
02:36:00,65
02:36:05,64
02:36:15,66
02:36:30,72
02:36:35,75
02:36:40,69
02:36:45,68
02:36:50,67
02:37:05,68
02:37:20,67
02:37:35,68
02:37:45,67
02:37:50,66
02:37:55,64
02:38:05,63
02:38:10,62
02:38:15,63
02:38:25,67
02:38:30,69
02:38:35,70
02:38:40,71
02:38:45,72
02:39:00,72
02:39:05,71
02:39:10,72
02:39:15,71
02:39:20,70
02:39:25,68
02:39:30,67
02:39:40,65
02:39:50,68
02:39:55,70
02:40:00,71
02:40:10,72
02:40:15,73
02:40:20,72
02:40:25,70
02:40:30,71
02:40:35,72
02:40:40,73
02:40:50,71
02:40:55,70
02:41:00,67
02:41:05,65
02:41:10,66
02:41:25,66
02:41:35,69
02:41:40,70
02:41:45,69
02:42:00,69
02:42:05,70
02:42:20,70
02:42:35,69
02:42:40,68
02:42:45,66
02:42:50,64
02:43:00,66
02:43:10,68
02:43:15,70
02:43:20,71
02:43:30,73
02:43:35,71
02:43:40,67
02:43:50,66
02:44:00,67
02:44:05,69
02:44:15,70
02:44:20,70
02:44:25,67
02:44:30,66
02:44:45,66
02:44:55,65
02:45:05,66
02:45:10,67
02:45:20,66
02:45:30,65
02:45:45,65
02:45:50,69
02:45:55,67
02:46:10,67
02:46:15,69
02:46:20,68
02:46:25,67
02:46:31,67
02:46:36,69
02:46:41,70
02:46:46,71
02:46:51,72
02:47:01,71
02:47:06,69
02:47:11,66
02:47:16,65
02:47:31,65
02:47:41,67
02:47:46,68
02:48:01,69
02:48:06,68
02:48:11,67
02:48:16,66
02:48:21,67
02:48:36,67
02:48:46,68
02:48:51,69
02:49:01,71
02:49:06,72
02:49:16,71
02:49:31,71
02:49:36,72
02:49:41,71
02:49:46,70
02:49:51,69
02:50:01,68
02:50:06,69
02:50:16,70
02:50:26,69
02:50:31,68
02:50:46,68
02:50:51,67
02:50:56,70
02:51:01,71
02:51:06,70
02:51:11,68
02:51:16,67
02:51:26,68
02:51:41,68
02:51:46,67
02:51:51,66
02:51:56,65
02:52:06,66
02:52:11,67
02:52:16,69
02:52:21,70
02:52:26,69
02:52:36,68
02:52:46,69
02:52:51,68
02:53:01,67
02:53:06,66
02:53:21,65
02:53:36,65
02:53:46,66
02:53:51,68
02:54:06,68
02:54:21,68
02:54:26,69
02:54:31,70
02:54:41,69
02:54:46,67
02:54:51,65
02:55:01,66
02:55:06,67
02:55:11,66
02:55:21,67
02:55:26,66
02:55:36,68
02:55:41,67
02:55:46,66
02:56:01,67
02:56:16,67
02:56:21,68
02:56:26,67
02:56:31,66
02:56:36,67
02:56:51,67
02:56:56,67
02:57:06,68
02:57:11,69
02:57:21,68
02:57:26,67
02:57:31,65
02:57:36,64
02:57:51,65
02:57:56,66
02:58:01,67
02:58:06,66
02:58:11,67
02:58:26,67
02:58:41,66
02:58:56,66
02:59:01,65
02:59:11,66
02:59:16,67
02:59:26,66
02:59:31,67
02:59:46,67
02:59:51,67
03:00:06,67
03:00:11,69
03:00:16,72
03:00:22,70
03:00:27,67
03:00:42,67
03:00:47,68
03:00:57,66
03:01:12,66
03:01:27,67
03:01:42,67
03:01:57,68
03:02:07,67
03:02:17,66
03:02:22,65
03:02:37,66
03:02:47,67
03:02:52,68
03:03:07,68
03:03:22,68
03:03:27,67
03:03:32,66
03:03:37,64
03:03:47,65
03:04:02,65
03:04:07,66
03:04:22,66
03:04:37,65
03:04:42,64
03:04:47,65
03:04:52,65
03:04:57,66
03:05:02,67
03:05:17,67
03:05:32,67
03:05:42,66
03:05:57,66
03:06:07,65
03:06:12,64
03:06:22,65
03:06:27,66
03:06:32,67
03:06:37,66
03:06:52,67
03:07:02,66
03:07:07,65
03:07:17,66
03:07:32,66
