Time,Heart Rate
00:17:45,70
10:37:32,70
10:37:47,70
10:37:52,79
10:37:57,88
10:38:02,88
10:38:07,88
10:38:12,90
10:38:17,94
10:38:27,93
10:38:32,92
10:38:37,91
10:38:42,89
10:38:47,88
10:38:52,86
10:38:57,77
10:39:02,76
10:39:07,77
10:39:22,77
10:39:37,77
10:39:52,77
10:40:07,76
10:40:12,77
10:40:17,79
10:40:24,80
10:40:29,79
10:40:34,78
10:40:44,79
10:40:59,79
10:41:09,78
10:41:24,78
10:41:34,78
10:41:44,77
10:41:49,76
10:41:54,76
10:41:59,74
10:42:04,73
10:42:14,74
10:42:19,75
10:42:24,76
10:42:29,77
10:42:44,77
10:42:54,76
10:43:04,77
10:43:09,78
10:43:19,77
10:43:34,77
10:43:39,78
10:43:54,78
10:44:09,78
10:44:14,80
10:44:19,83
10:44:24,84
10:44:29,85
10:44:34,85
10:44:49,87
10:45:04,86
10:45:19,86
10:45:24,87
10:45:29,86
10:45:44,86
10:45:49,87
10:45:59,86
10:46:09,87
10:46:14,87
10:46:19,87
10:46:24,88
10:46:34,89
10:46:39,91
10:46:44,93
10:46:49,94
10:46:54,91
10:46:59,89
10:47:14,89
10:47:19,90
10:47:24,89
10:47:34,88
10:47:39,88
10:47:44,88
10:47:59,88
10:48:14,88
10:48:24,87
10:48:29,86
10:48:39,85
10:48:49,86
10:49:04,86
10:49:19,86
10:49:34,84
10:49:39,84
10:49:44,81
10:49:59,81
10:50:04,80
10:50:19,81
10:50:24,82
10:50:39,81
10:50:54,81
10:50:59,79
10:51:04,77
10:51:09,78
10:51:14,79
10:51:24,78
10:51:29,76
10:51:44,76
10:51:59,76
10:52:04,77
10:52:09,77
10:52:19,78
10:52:34,78
10:52:39,78
10:52:54,78
10:52:59,79
10:53:14,79
10:53:29,79
10:53:44,78
10:53:59,78
10:54:09,79
10:54:24,79
10:54:39,77
10:54:44,77
10:54:59,77
10:55:14,77
10:55:19,78
10:55:24,79
10:55:29,79
10:55:34,80
10:55:39,79
10:55:49,80
10:55:54,79
10:55:59,78
10:56:09,79
10:56:19,79
10:56:24,80
10:56:29,80
10:56:44,81
10:56:49,82
10:56:54,81
10:56:59,82
10:57:04,83
10:57:14,83
10:57:19,82
10:57:34,82
10:57:49,82
10:57:54,80
10:58:04,80
10:58:14,79
10:58:19,78
10:58:29,79
10:58:34,80
10:58:44,79
10:58:49,77
10:58:59,76
10:59:04,75
10:59:09,74
10:59:19,73
10:59:24,72
10:59:34,73
10:59:39,74
10:59:44,77
10:59:50,78
11:00:00,79
11:00:15,79
11:00:25,77
11:00:40,78
11:00:45,79
11:01:00,79
11:01:10,80
11:01:15,79
11:01:25,80
11:01:40,81
11:01:45,80
11:01:50,79
11:01:55,77
11:02:00,76
11:02:15,76
11:02:30,76
11:02:35,76
11:02:45,76
11:02:55,75
11:03:10,75
11:03:15,76
11:03:20,76
11:03:35,76
11:03:50,76
11:04:05,76
11:04:10,77
11:04:15,78
11:04:30,78
11:04:45,78
11:04:55,77
11:05:00,76
11:05:05,75
11:05:20,75
11:05:25,73
11:05:30,72
11:05:45,72
11:05:50,73
11:05:55,75
11:06:00,76
11:06:15,76
11:06:30,77
11:06:45,76
11:06:50,75
11:07:05,75
11:07:10,74
11:07:25,74
11:07:30,75
11:07:40,76
11:07:45,77
11:08:00,77
11:08:10,77
11:08:25,77
11:08:35,79
11:08:40,79
