Time,Heart Rate
00:00:07,62
00:00:17,61
00:00:22,62
00:00:37,62
00:00:42,63
00:00:52,61
00:01:02,62
00:01:07,63
00:01:12,62
00:01:22,63
00:01:37,63
00:01:42,64
00:01:47,63
00:02:02,63
00:02:12,62
00:02:20,62
00:02:25,63
00:02:30,64
00:02:40,63
00:02:45,62
00:03:00,63
00:03:05,64
00:03:10,65
00:03:15,64
00:03:30,64
00:03:35,65
00:03:40,63
00:03:55,63
00:04:10,63
00:04:20,64
00:04:30,63
00:04:45,63
00:05:00,63
00:05:05,64
00:05:20,64
00:05:30,63
00:05:35,64
00:05:45,65
00:05:55,64
00:06:05,65
00:06:10,64
00:06:25,64
00:06:30,64
00:06:35,65
00:06:50,65
00:07:00,64
00:07:15,63
00:07:20,62
00:07:35,62
00:07:50,63
00:08:00,64
00:08:15,64
00:08:30,64
00:08:35,65
00:08:45,64
00:08:50,65
00:09:05,63
00:09:20,63
00:09:25,62
00:09:35,63
00:09:40,64
00:09:55,64
00:10:10,64
00:10:15,65
00:10:25,64
00:10:30,63
00:10:45,64
00:11:00,66
00:11:15,66
00:11:20,66
00:11:30,65
00:11:45,65
00:11:55,66
00:12:00,65
00:12:05,64
00:12:15,65
00:12:20,66
00:12:35,65
00:12:45,66
00:12:50,67
00:12:55,66
00:13:10,66
00:13:20,67
00:13:30,66
00:13:40,65
00:13:45,66
00:14:00,66
00:14:15,66
00:14:30,66
00:14:45,65
00:15:00,65
00:15:05,66
00:15:10,65
00:15:15,64
00:15:25,65
00:15:40,65
00:15:42,65
00:15:47,66
00:15:52,67
00:16:02,68
00:16:07,67
00:16:17,66
00:16:22,67
00:16:37,67
00:16:42,66
00:16:52,67
00:17:07,67
00:17:22,67
00:17:37,67
00:17:52,67
00:18:07,67
00:18:22,67
00:18:32,66
00:18:47,66
00:18:52,67
00:18:57,68
00:19:12,68
00:19:22,67
00:19:32,68
00:19:37,69
00:19:47,68
00:19:52,67
00:20:07,68
00:20:12,68
00:20:17,67
00:20:22,66
00:20:32,67
00:20:42,68
00:20:57,68
00:21:07,67
00:21:17,68
00:21:32,68
00:21:47,68
00:21:57,69
00:22:12,69
00:22:17,68
00:22:27,69
00:22:32,68
00:22:47,68
00:23:02,68
00:23:07,69
00:23:12,70
00:23:17,69
00:23:22,68
00:23:27,67
00:23:42,68
00:23:57,68
00:24:07,69
00:24:12,68
00:24:17,69
00:24:22,69
00:24:27,68
00:24:42,68
00:24:47,69
00:25:02,68
00:25:17,68
00:25:22,69
00:25:37,69
00:25:42,68
00:25:47,67
00:25:52,68
00:25:57,69
00:26:02,70
00:26:17,70
00:26:22,68
00:26:32,69
00:26:37,70
00:26:52,70
00:27:07,70
00:27:22,70
00:27:27,72
00:27:32,71
00:27:37,68
00:27:42,65
00:27:47,64
00:27:53,66
00:27:58,69
00:28:03,71
00:28:08,73
00:28:13,72
00:28:18,71
00:28:23,70
00:28:28,71
00:28:33,72
00:28:43,81
00:28:48,85
00:28:53,82
00:28:58,79
00:29:03,78
00:29:08,74
00:29:13,70
00:29:18,70
00:29:23,67
00:29:28,64
00:29:33,66
00:29:38,69
00:29:43,73
00:29:48,71
00:29:53,68
00:29:58,66
00:30:08,68
00:30:13,69
00:30:23,71
00:30:28,72
00:30:43,76
00:30:48,78
00:30:53,71
00:30:58,69
00:31:03,68
00:31:08,71
00:31:13,69
00:31:18,68
00:31:23,69
00:31:28,71
00:31:38,73
00:31:43,76
00:31:48,78
00:31:58,76
00:32:03,75
00:32:13,76
00:32:18,75
00:32:23,74
00:32:28,77
00:32:33,79
00:32:43,78
