Time,Heart Rate
00:00:08,72
00:00:23,72
00:00:38,74
00:00:43,73
00:00:48,72
00:01:03,72
00:01:08,73
00:01:13,74
00:01:18,73
00:01:23,72
00:01:28,71
00:01:43,71
00:01:48,72
00:02:03,72
00:02:13,71
00:02:28,71
00:02:33,69
00:02:43,67
00:02:48,67
00:02:53,66
00:02:58,65
00:03:08,65
00:03:13,67
00:03:18,68
00:03:24,67
00:03:29,67
00:03:39,68
00:03:44,68
00:03:49,69
00:03:54,70
00:04:09,72
00:04:14,74
00:04:19,75
00:04:24,74
00:04:29,72
00:04:34,72
00:04:49,72
00:05:04,72
00:05:19,72
00:05:24,72
00:05:34,69
00:05:39,66
00:05:44,64
00:05:54,65
00:06:09,65
00:06:19,64
00:06:24,65
00:06:29,64
00:06:44,64
00:06:49,69
00:06:54,70
00:06:59,70
00:07:09,69
00:07:14,68
00:07:19,68
00:07:34,68
00:07:49,68
00:08:04,68
00:08:09,69
00:08:19,68
00:08:29,67
00:08:39,68
00:08:44,66
00:08:49,66
00:08:59,66
00:09:04,65
00:09:19,65
00:09:24,66
00:09:29,68
00:09:39,69
00:09:54,69
00:10:09,69
00:10:24,69
00:10:39,71
00:10:44,73
00:10:49,72
00:11:04,72
00:11:09,76
00:11:14,79
00:11:29,75
00:11:34,73
00:11:44,72
00:11:59,72
00:12:14,72
00:12:29,72
00:12:44,72
00:12:54,70
00:12:59,70
00:13:04,69
00:13:09,68
00:13:24,68
00:13:29,69
00:13:34,72
00:13:39,73
00:13:54,73
00:13:59,72
00:14:04,69
00:14:09,68
00:14:19,67
00:14:34,67
00:14:39,68
00:14:44,71
00:14:49,72
00:15:04,73
00:15:09,80
00:15:14,82
00:15:24,83
00:15:29,85
00:15:34,80
00:15:39,72
00:15:44,70
00:15:49,67
00:15:54,66
00:15:59,66
00:16:14,64
00:16:29,65
00:16:34,66
00:16:39,64
00:16:54,64
00:16:59,67
00:17:04,68
00:17:09,64
00:17:19,65
00:17:24,67
00:17:29,66
00:17:34,65
00:17:39,64
00:17:49,66
00:17:54,68
00:18:09,68
00:18:24,68
00:18:29,69
00:18:35,77
00:18:40,83
00:18:55,83
00:19:10,82
00:19:15,77
00:19:20,72
00:19:25,70
00:19:30,69
00:19:45,69
00:19:55,68
00:20:00,67
00:20:10,65
00:20:20,66
00:20:35,66
00:20:50,66
00:21:00,67
00:21:15,67
00:21:30,67
00:21:40,68
00:21:45,68
00:22:00,70
00:22:05,79
00:22:10,82
00:22:15,81
00:22:20,80
00:22:25,78
00:22:30,77
00:22:45,83
00:22:50,85
00:22:55,84
00:23:00,81
00:23:15,81
00:23:20,82
00:23:25,79
00:23:30,74
00:23:35,72
00:23:40,71
00:23:45,70
00:23:55,70
00:24:00,67
00:24:05,67
00:24:10,71
00:24:15,73
00:24:20,74
00:24:25,75
00:24:35,75
00:24:40,75
00:24:55,76
00:25:10,76
00:25:20,77
00:25:35,75
00:25:40,74
00:25:45,74
00:25:55,72
00:26:00,70
00:26:05,69
00:26:20,69
00:26:30,69
00:26:35,72
00:26:40,73
00:26:55,73
00:27:00,72
00:27:05,71
00:27:15,70
00:27:20,69
00:27:30,68
00:27:35,68
00:27:45,68
00:27:50,67
00:28:05,67
00:28:10,66
00:28:20,67
00:28:25,68
00:28:35,69
00:28:40,70
00:28:45,71
00:28:50,70
00:28:55,70
00:29:00,69
00:29:05,69
00:29:15,69
00:29:30,69
00:29:35,68
00:29:40,68
00:29:45,67
00:29:50,65
00:29:55,64
00:30:00,63
00:30:05,66
00:30:10,67
00:30:25,67
00:30:30,67
00:30:35,68
00:30:50,68
00:30:55,69
00:31:00,69
00:31:05,70
00:31:10,71
00:31:20,70
00:31:35,71
00:31:50,71
00:32:05,69
00:32:10,69
00:32:15,69
00:32:25,69
00:32:35,68
00:32:40,68
00:32:45,68
00:32:50,69
00:32:55,68
00:33:00,68
00:33:10,68
00:33:15,69
00:33:25,70
00:33:40,70
00:33:55,70
00:34:00,72
00:34:15,72
00:34:20,73
00:34:35,73
00:34:50,73
00:35:05,72
00:35:10,69
00:35:15,68
00:35:20,67
00:35:30,68
00:35:35,66
00:35:50,66
00:36:00,69
00:36:05,70
00:36:10,69
00:36:15,68
00:36:30,68
00:36:35,68
00:36:40,69
00:36:55,69
00:37:00,73
00:37:05,74
00:37:10,73
00:37:15,72
00:37:20,69
00:37:35,69
00:37:40,70
00:37:55,70
00:38:05,70
00:38:10,70
00:38:15,71
00:38:25,71
00:38:30,70
00:38:35,69
00:38:40,64
00:38:50,65
00:38:55,68
00:39:10,68
00:39:25,68
00:39:40,68
00:39:55,68
00:40:10,67
00:40:25,67
00:40:26,67
00:40:36,66
00:40:41,65
00:40:56,65
00:41:01,72
00:41:16,71
00:41:21,70
00:41:26,66
00:41:31,65
00:41:46,65
00:42:01,65
00:42:06,66
00:42:11,67
00:42:26,67
00:42:31,65
00:42:36,64
00:42:41,63
00:42:46,63
00:42:51,64
00:42:56,66
00:43:01,66
00:43:06,67
00:43:11,67
00:43:21,66
00:43:26,66
00:43:31,67
00:43:41,69
00:43:46,68
00:43:51,69
00:43:56,68
00:44:01,67
00:44:11,64
00:44:16,64
00:44:26,65
00:44:36,64
00:44:41,66
00:44:56,66
00:45:01,67
00:45:06,67
00:45:16,66
00:45:21,65
00:45:26,66
00:45:31,67
00:45:36,68
00:45:51,68
00:46:01,68
00:46:06,66
00:46:16,66
00:46:26,66
00:46:31,67
00:46:36,68
00:46:41,67
00:46:46,66
00:46:51,65
00:46:56,64
00:47:01,65
00:47:06,66
00:47:16,65
00:47:21,64
00:47:26,66
00:47:31,67
00:47:46,67
00:47:56,69
00:48:01,70
00:48:11,68
00:48:16,69
00:48:21,71
00:48:26,69
00:48:31,70
00:48:36,69
00:48:51,68
00:48:56,66
00:49:06,67
00:49:11,68
00:49:16,69
00:49:26,70
00:49:36,69
00:49:41,69
00:49:51,68
00:49:56,68
00:50:01,69
00:50:06,69
00:50:11,69
00:50:21,67
00:50:31,68
00:50:46,69
00:51:01,70
00:51:06,70
00:51:11,69
00:51:16,66
00:51:21,65
00:51:26,66
00:51:31,67
00:51:41,68
00:51:56,71
00:52:01,73
00:52:16,73
00:52:26,74
00:52:31,77
00:52:36,76
00:52:41,74
00:52:46,74
00:52:51,72
00:52:56,76
00:53:01,78
00:53:06,77
00:53:11,74
00:53:16,71
00:53:20,71
00:53:35,71
00:53:40,71
00:53:50,72
00:53:55,73
00:54:00,72
00:54:05,71
00:54:10,70
00:54:15,71
00:54:20,73
00:54:25,74
00:54:40,74
00:54:45,72
00:54:50,71
00:54:55,70
00:55:00,69
00:55:05,68
00:55:10,67
00:55:15,68
00:55:30,68
00:55:40,70
00:55:45,71
00:55:50,70
00:56:05,70
00:56:20,70
00:56:27,71
00:56:42,70
00:56:47,70
00:56:52,69
00:56:57,68
00:57:12,69
00:57:17,69
00:57:32,69
00:57:37,74
00:57:42,81
00:57:47,81
00:57:57,80
00:58:12,80
00:58:17,81
00:58:22,79
00:58:27,75
00:58:42,74
00:58:57,74
00:59:12,74
00:59:27,74
00:59:42,73
00:59:47,68
00:59:52,67
00:59:57,67
01:00:02,68
01:00:17,67
01:00:32,67
01:00:37,67
01:00:47,66
01:00:52,65
01:01:07,66
01:01:12,67
01:01:27,66
01:01:42,67
01:01:52,68
01:02:02,69
01:02:07,70
01:02:22,69
01:02:27,68
01:02:32,67
01:02:37,66
01:02:47,67
01:03:02,67
01:03:07,69
01:03:12,73
01:03:17,70
01:03:22,66
01:03:27,64
01:03:42,64
01:03:47,65
01:03:52,66
01:04:02,67
01:04:07,66
01:04:12,62
01:04:17,61
01:04:27,60
01:04:37,61
01:04:52,61
01:05:07,61
01:05:22,61
01:05:27,61
01:05:42,61
01:05:47,61
01:05:52,61
01:06:07,60
01:06:12,59
01:06:27,59
01:06:32,60
01:06:37,61
01:06:52,61
01:06:57,62
01:07:07,62
01:07:22,62
01:07:27,65
01:07:32,64
01:07:47,64
01:07:52,65
01:07:57,66
01:08:02,65
01:08:07,66
01:08:13,69
01:08:18,68
01:08:23,64
01:08:28,63
01:08:38,64
01:08:48,63
01:08:53,62
01:08:58,61
01:09:08,62
01:09:13,63
01:09:18,64
01:09:23,65
01:09:33,66
01:09:38,65
01:09:43,64
01:09:48,63
01:10:03,64
01:10:08,63
01:10:13,62
01:10:28,62
01:10:38,63
01:10:53,64
01:10:58,65
01:11:08,64
01:11:18,63
01:11:33,64
01:11:48,65
01:11:53,64
01:12:08,64
01:12:18,65
01:12:23,67
01:12:28,69
01:12:33,72
01:12:38,69
01:12:43,71
01:12:48,74
01:12:53,69
01:12:58,66
01:13:03,69
01:13:08,71
01:13:13,66
01:13:18,64
01:13:28,65
01:13:33,66
01:13:38,67
01:13:43,66
01:13:48,65
01:13:53,64
01:13:58,63
01:14:03,63
01:14:13,62
01:14:23,63
01:14:28,66
01:14:33,65
01:14:38,63
01:14:43,62
01:14:48,62
01:14:58,62
01:15:08,62
01:15:13,63
01:15:18,69
01:15:23,66
01:15:28,65
01:15:33,64
01:15:38,66
01:15:43,64
01:15:48,67
01:15:53,69
01:15:58,74
01:16:03,75
01:16:08,69
01:16:23,68
01:16:28,64
01:16:33,63
01:16:43,64
01:16:53,64
01:17:03,68
01:17:08,83
01:17:18,77
01:17:23,71
01:17:28,68
01:17:33,69
01:17:38,70
01:17:43,72
01:17:48,68
01:17:58,71
01:18:03,74
01:18:08,75
01:18:18,73
01:18:23,72
01:18:28,72
01:18:38,72
01:18:43,73
01:18:48,75
01:18:53,76
01:19:08,77
01:19:23,78
01:19:28,79
01:19:43,77
01:19:53,74
01:19:58,72
01:20:13,66
01:20:18,64
01:20:33,64
01:20:38,63
01:20:53,61
01:20:58,59
01:21:03,56
01:21:18,57
01:21:23,68
01:21:28,70
01:21:33,69
01:21:38,68
01:21:48,69
01:22:03,69
01:22:18,69
01:22:33,69
01:22:48,69
01:23:03,69
01:23:18,69
01:23:33,69
01:23:38,69
01:23:43,68
01:23:53,69
01:23:58,70
01:24:13,70
01:24:23,69
01:24:28,68
01:24:33,69
01:24:38,70
01:24:48,69
01:24:54,70
01:24:59,70
01:25:14,70
01:25:29,74
01:25:34,76
01:25:39,74
01:25:44,73
01:25:49,71
01:25:54,70
01:25:59,68
01:26:04,67
01:26:09,65
01:26:14,66
01:26:19,68
01:26:24,69
01:26:29,68
01:26:34,64
01:26:39,63
01:26:49,65
01:26:54,66
01:26:59,65
01:27:04,65
01:27:09,66
01:27:14,70
01:27:24,68
01:27:29,66
01:27:34,65
01:27:39,65
01:27:49,68
01:27:54,71
01:27:59,67
01:28:04,66
01:28:14,67
01:28:29,68
01:28:34,67
01:28:39,65
01:28:44,64
01:28:49,65
01:28:54,66
01:28:59,65
01:29:04,64
01:29:14,63
01:29:24,64
01:29:29,65
01:29:34,64
01:29:49,64
01:29:59,66
01:30:04,67
01:30:09,66
01:30:19,67
01:30:29,71
01:30:34,76
01:30:39,83
01:30:44,80
01:30:49,72
01:30:54,71
01:30:59,64
01:31:04,61
01:31:09,60
01:31:14,61
01:31:19,62
01:31:24,64
01:31:29,74
01:31:39,69
01:31:44,66
01:31:49,64
01:31:54,64
01:31:59,66
01:32:04,64
01:32:09,63
01:32:14,64
01:32:19,65
01:32:24,63
01:32:29,62
01:32:39,61
01:32:54,61
01:33:09,61
01:33:24,62
01:33:39,62
01:33:44,63
01:33:49,63
01:34:04,63
01:34:09,62
01:34:19,63
01:34:24,64
01:34:39,64
01:34:54,64
01:35:04,65
01:35:14,68
01:35:19,71
01:35:24,67
01:35:29,66
01:35:34,65
01:35:39,63
01:35:54,63
01:35:59,61
01:36:04,59
01:36:19,60
01:36:34,62
01:36:39,63
01:36:49,62
01:36:59,63
01:37:04,64
01:37:14,62
01:37:19,61
01:37:29,62
01:37:34,63
01:37:39,65
01:37:44,66
01:37:59,66
01:38:09,68
01:38:19,67
01:38:24,65
01:38:29,63
01:38:39,65
01:38:44,66
01:38:49,65
01:38:54,63
01:38:59,64
01:39:04,67
01:39:09,69
01:39:14,70
01:39:24,72
01:39:29,73
01:39:34,71
01:39:39,70
01:39:44,71
01:39:49,70
01:39:54,67
01:39:59,65
01:40:04,64
01:40:14,66
01:40:19,68
01:40:24,71
01:40:30,75
01:40:35,73
01:40:40,67
01:40:45,64
01:40:50,62
01:40:55,61
