Time,Heart Rate
00:00:01,93
00:00:06,91
00:00:11,90
00:00:16,94
00:00:21,98
00:00:31,99
00:00:36,97
00:00:46,95
00:00:51,80
00:00:56,76
00:01:01,72
00:01:06,71
00:01:11,70
00:01:21,71
00:01:31,72
00:01:46,73
00:01:56,74
00:02:11,73
00:02:16,70
00:02:26,72
00:02:31,73
00:02:41,72
00:02:56,72
00:03:01,73
00:03:06,73
00:03:11,73
00:03:21,70
00:03:26,69
00:03:36,70
00:03:51,70
00:03:56,72
00:04:01,75
00:04:06,76
00:04:16,77
00:04:21,81
00:04:26,84
00:04:31,83
00:04:36,79
00:04:41,76
00:04:46,75
00:04:51,74
00:05:01,75
00:05:06,77
00:05:16,78
00:05:26,76
00:05:41,76
00:05:46,81
00:05:51,79
00:06:01,77
00:06:06,76
00:06:12,77
00:06:17,78
00:06:22,79
00:06:32,83
00:06:37,85
00:06:42,81
00:06:47,77
00:06:52,75
00:06:57,74
00:07:02,72
00:07:07,72
00:07:12,72
00:07:22,71
00:07:37,71
00:07:47,72
00:07:52,71
00:07:57,70
00:08:12,70
00:08:22,74
00:08:27,79
00:08:32,80
00:08:37,83
00:08:42,84
00:08:52,85
00:09:07,85
00:09:12,83
00:09:18,82
00:09:28,81
00:09:33,80
00:09:38,79
00:09:43,78
00:09:58,78
00:10:03,79
00:10:08,80
00:10:18,80
00:10:23,79
00:10:28,78
00:10:33,79
00:10:38,80
00:10:43,79
00:10:48,79
00:10:58,79
00:11:03,80
00:11:08,81
00:11:13,82
00:11:18,83
00:11:33,83
00:11:43,85
00:11:53,83
00:11:58,82
00:12:03,83
00:12:13,78
00:12:18,74
00:12:23,73
00:12:28,72
00:12:38,75
00:12:43,77
00:12:53,78
00:13:08,78
00:13:13,79
00:13:28,79
00:13:33,80
00:13:43,81
00:13:53,79
00:13:58,80
00:14:03,79
00:14:13,80
00:14:18,79
00:14:23,80
00:14:28,81
00:14:43,81
00:14:58,81
00:15:13,81
00:15:18,82
00:15:23,83
00:15:38,82
00:15:43,80
00:15:48,79
00:15:53,78
00:15:58,79
00:16:03,79
00:16:08,81
00:16:13,79
00:16:18,79
00:16:23,75
00:16:38,76
00:16:43,79
00:16:48,83
00:16:53,84
00:16:58,86
00:17:03,84
00:17:08,83
00:17:13,84
00:17:23,83
00:17:28,84
00:17:43,83
00:17:48,82
00:17:58,81
00:18:03,80
00:18:18,79
00:18:23,78
00:18:28,78
00:18:43,78
00:19:14,87
00:19:24,86
00:19:29,82
00:19:34,80
00:19:44,80
00:19:59,78
00:20:04,79
00:20:19,79
00:20:24,81
00:20:29,82
00:20:34,81
00:20:39,81
00:20:44,82
00:20:49,85
00:20:59,82
00:21:04,80
00:21:09,79
00:21:14,75
00:21:19,76
00:21:24,75
00:21:29,76
00:21:39,77
00:21:44,78
00:21:49,79
00:21:54,82
00:21:59,87
00:22:04,89
00:22:09,90
00:22:19,89
00:22:24,87
00:22:29,86
00:22:34,83
00:22:39,78
00:22:44,79
00:22:49,78
00:23:04,79
00:23:09,82
00:23:14,80
00:23:19,81
00:23:24,82
00:23:29,83
00:23:39,81
00:23:54,80
00:23:59,78
00:24:04,79
00:24:09,80
00:24:14,81
00:24:24,82
00:24:34,84
00:24:39,85
00:24:49,84
00:24:59,82
00:25:04,80
00:25:09,79
00:25:14,79
00:25:24,81
00:25:29,84
00:25:34,84
00:25:44,83
00:25:49,83
00:25:54,86
00:25:59,88
00:26:04,87
00:26:09,86
00:26:14,84
00:26:19,84
00:26:24,85
00:26:29,84
00:26:34,85
00:26:44,85
00:26:49,85
00:27:04,85
00:27:14,83
00:27:19,81
00:27:24,83
00:27:29,84
00:27:34,85
00:27:44,78
00:27:49,79
00:27:54,80
00:27:59,81
00:28:04,81
00:28:09,82
00:28:14,83
00:28:19,83
00:28:29,84
00:28:39,83
00:28:44,82
00:28:59,83
00:29:04,83
00:29:14,84
00:29:19,83
00:29:24,82
00:29:29,81
00:29:34,83
00:29:49,81
00:29:54,82
00:29:59,83
00:30:04,81
00:30:09,80
00:30:14,83
00:30:19,82
00:30:24,82
00:30:29,82
00:30:34,81
00:30:39,80
00:30:49,81
00:31:04,82
00:31:09,83
00:31:14,85
00:31:19,84
00:31:24,85
00:31:39,86
00:31:44,82
00:31:49,74
00:31:54,73
00:31:59,75
00:32:09,75
00:32:14,76
00:32:19,77
00:32:24,77
00:32:29,79
00:32:34,80
00:32:44,82
00:32:49,83
00:32:54,81
00:32:59,81
00:33:04,81
00:33:09,87
00:33:14,89
00:33:24,87
00:33:29,84
00:33:34,80
00:33:39,79
00:33:44,80
00:33:49,80
00:34:04,81
00:34:09,82
00:34:14,84
00:34:29,85
00:34:34,86
00:34:39,87
00:34:44,84
00:34:49,81
00:34:54,79
00:34:59,77
00:35:04,73
00:35:14,74
00:35:19,77
00:35:29,80
00:35:34,81
00:35:39,80
00:35:44,79
00:35:54,78
00:35:59,76
00:36:04,74
00:36:09,75
00:36:14,79
00:36:19,78
00:36:24,76
00:36:29,74
00:36:34,75
00:36:40,74
00:36:50,74
00:36:55,75
00:37:00,76
00:37:05,81
00:37:10,82
00:37:15,79
00:37:20,76
00:37:25,74
00:37:30,72
00:37:35,71
00:37:40,70
00:37:45,71
00:37:50,72
00:37:55,71
00:38:00,70
00:38:05,71
00:38:10,72
00:38:15,80
00:38:20,81
00:38:25,79
00:38:30,79
00:38:40,80
00:38:45,85
00:38:50,95
00:38:55,94
00:39:10,94
00:39:20,93
00:39:25,91
00:39:30,85
00:39:35,80
00:39:40,83
00:39:45,84
00:39:50,85
00:40:05,85
00:40:10,84
00:40:15,82
00:40:20,81
00:40:25,82
00:40:30,83
00:40:40,86
00:40:45,87
00:40:50,88
00:41:05,89
00:41:10,90
00:41:15,92
00:41:25,92
00:41:40,92
00:41:55,91
00:42:10,91
00:42:25,91
00:42:30,92
00:42:35,92
00:42:50,93
00:42:55,94
00:43:00,88
00:43:05,87
00:43:20,87
00:43:25,86
00:43:35,85
00:43:40,84
00:43:45,81
00:43:55,81
00:44:00,79
00:44:05,80
00:44:15,79
00:44:20,81
00:44:35,80
00:44:40,78
00:44:45,80
00:45:00,79
00:45:15,78
00:45:20,79
00:45:25,81
00:45:30,82
00:45:35,85
00:45:40,87
00:45:50,85
00:45:55,83
00:46:00,82
00:46:05,81
00:46:10,80
00:46:15,80
00:46:20,80
00:46:30,82
00:46:35,91
00:46:40,88
00:46:45,85
00:46:50,80
00:46:55,77
00:47:10,76
00:47:15,74
00:47:20,72
00:47:25,74
00:47:35,75
00:47:40,77
00:47:45,77
00:47:55,76
00:48:10,76
00:48:20,78
00:48:25,78
00:48:40,78
00:48:55,78
00:49:10,78
00:49:15,78
00:49:20,77
00:49:25,80
00:49:30,81
00:49:35,80
00:49:40,77
00:49:45,77
00:49:50,76
00:49:55,77
00:50:10,76
00:50:15,74
00:50:20,74
00:50:35,74
00:50:50,74
00:50:55,75
00:51:00,77
00:51:10,78
00:51:25,80
00:51:30,78
00:51:40,78
00:51:45,80
00:51:55,79
00:52:00,79
00:52:15,79
00:52:25,80
00:52:35,87
00:52:40,89
00:52:45,91
00:52:51,93
00:52:56,91
00:53:06,90
00:53:11,89
00:53:16,86
00:53:31,84
00:53:46,84
00:55:08,70
00:55:18,77
00:55:23,88
00:55:28,77
00:55:33,77
00:55:38,79
00:55:43,80
00:55:58,80
00:56:08,87
00:56:13,90
00:56:18,90
00:56:33,90
00:56:38,88
00:56:53,88
00:56:58,89
00:57:03,90
00:57:08,91
00:57:13,92
00:57:18,93
00:57:23,94
00:57:38,94
00:57:53,95
00:57:58,97
00:58:03,98
00:58:13,99
00:58:18,99
00:58:28,100
00:58:33,102
00:58:38,103
00:58:43,102
00:58:48,101
00:58:53,103
00:58:58,104
00:59:08,103
00:59:13,98
00:59:18,94
00:59:23,91
00:59:38,92
00:59:43,94
00:59:48,95
00:59:53,96
01:00:08,94
01:00:13,92
01:00:23,89
01:00:28,83
01:00:33,77
01:00:38,76
01:00:53,77
01:00:58,78
01:01:03,79
01:01:08,78
01:01:23,78
01:01:28,78
01:01:43,78
01:01:48,79
01:01:53,80
01:01:58,81
01:02:08,80
01:02:13,78
01:02:23,79
01:02:38,81
01:02:43,84
01:02:53,83
01:02:58,83
01:03:03,83
01:03:08,82
01:03:13,79
01:03:23,80
01:03:38,82
01:03:43,84
01:03:48,85
01:03:58,86
01:04:08,85
01:04:13,86
01:04:18,85
01:04:23,84
01:04:28,83
01:04:43,85
01:04:48,87
01:04:53,88
01:05:03,87
01:05:08,88
01:05:13,87
01:05:18,84
01:05:33,84
01:05:43,85
01:05:58,85
01:06:08,89
01:06:13,95
01:06:18,96
01:06:28,97
01:06:33,96
01:06:38,95
01:06:43,90
01:06:48,88
01:07:03,88
01:07:18,88
01:07:23,88
01:07:28,89
01:07:43,89
01:07:48,87
01:07:53,88
01:08:08,88
01:08:18,89
01:08:24,89
01:08:29,89
01:08:39,90
01:08:44,88
01:08:49,88
01:09:04,89
01:09:09,88
01:09:14,88
01:09:19,89
01:09:24,97
01:09:29,95
01:09:34,94
01:09:39,93
01:09:44,91
01:09:49,87
01:09:54,85
01:09:59,87
01:10:09,87
01:10:14,86
01:10:19,85
01:10:24,84
01:10:29,83
01:10:34,81
01:10:49,81
01:10:59,83
01:11:04,82
01:11:09,82
01:11:14,82
01:11:29,84
01:11:34,89
01:11:39,90
01:11:44,89
01:11:49,86
01:11:54,84
01:11:59,82
01:12:09,84
01:12:19,83
01:12:24,81
01:12:39,81
01:12:54,82
01:12:59,83
01:13:14,84
01:13:19,83
01:13:29,84
01:13:39,83
01:13:49,82
01:13:54,81
01:14:04,80
01:14:19,80
01:14:24,79
01:14:34,80
01:14:39,81
01:14:49,81
01:14:55,81
01:15:00,81
01:15:10,82
01:15:20,81
01:15:35,81
01:15:50,80
01:15:55,81
01:16:05,80
01:16:15,79
01:16:20,80
01:16:35,80
01:16:40,79
01:16:50,78
01:16:55,77
01:17:10,78
01:17:25,77
01:17:35,79
01:17:40,80
01:17:50,81
01:17:55,83
01:18:05,84
01:18:10,85
01:18:15,94
01:18:25,92
01:18:30,88
01:18:35,88
01:18:40,89
01:18:45,91
01:18:50,92
01:19:05,92
01:19:10,85
01:19:15,86
01:19:20,87
01:19:25,89
01:19:30,91
01:19:35,90
01:19:40,91
01:19:50,89
01:19:55,88
01:20:00,86
01:20:05,84
01:20:10,83
01:20:25,83
01:20:30,82
01:20:35,80
01:20:45,79
01:20:50,80
01:20:55,81
01:21:00,79
01:21:05,78
01:21:15,76
01:21:25,78
01:21:31,80
01:21:41,79
01:21:46,76
01:21:51,75
01:21:56,74
01:22:01,73
01:22:11,74
01:22:16,73
01:22:26,72
01:22:36,73
01:22:46,72
01:22:51,69
01:22:56,71
01:23:01,69
01:23:06,70
01:23:16,71
01:23:21,70
01:23:26,69
