Time,Heart Rate
00:00:03,62
00:00:08,64
00:00:13,66
00:00:18,72
00:00:23,78
00:00:28,79
00:00:33,80
00:00:43,81
00:00:48,81
00:00:53,85
00:00:58,88
00:01:08,87
00:01:18,89
00:01:23,90
00:01:28,91
00:01:33,92
00:01:38,94
00:01:48,93
00:02:03,93
00:02:13,95
00:02:18,96
00:02:23,97
00:02:33,98
00:02:43,99
00:02:53,101
00:02:58,102
00:03:13,101
00:03:18,101
00:03:28,99
00:03:33,97
00:03:38,95
00:03:43,98
00:03:53,101
00:03:58,103
00:04:03,102
00:04:08,100
00:04:13,98
00:04:18,91
00:04:28,91
00:04:33,92
00:04:38,86
00:04:43,85
00:04:48,87
00:04:58,89
00:05:03,88
00:05:13,89
00:05:18,90
00:05:33,90
00:05:38,93
00:05:48,91
00:05:53,89
00:05:58,90
00:06:13,90
00:06:14,90
00:06:19,93
00:06:29,95
00:06:34,96
00:06:39,97
00:06:44,98
00:06:49,95
00:06:54,87
00:06:59,81
00:07:04,67
00:07:09,69
00:07:14,69
00:07:24,67
00:07:29,68
00:07:34,69
00:07:49,69
00:08:04,69
00:08:09,70
00:08:14,71
00:08:29,71
00:08:34,71
00:08:39,70
00:09:20,70
00:26:52,70
00:27:02,74
00:27:07,79
00:27:22,81
00:27:27,90
00:27:32,93
00:27:37,90
00:27:42,85
00:47:03,70
00:47:13,74
00:47:18,91
00:47:23,90
00:47:28,78
00:47:33,77
00:47:38,80
00:48:09,70
00:48:19,91
00:48:29,73
00:48:34,60
00:48:44,61
00:48:49,63
00:48:54,64
00:49:04,65
00:49:09,67
00:49:14,68
00:49:19,69
00:49:24,70
00:49:34,71
00:49:39,72
00:49:54,72
00:51:24,70
00:51:39,70
00:51:54,70
00:51:59,91
00:52:04,95
00:52:14,95
00:52:19,96
00:52:24,95
00:52:29,94
00:52:39,95
00:52:44,89
00:52:49,83
00:52:54,76
00:52:59,75
00:53:04,78
00:53:14,74
00:53:19,70
00:53:24,70
00:53:34,71
00:53:39,72
00:53:44,68
00:53:49,65
00:53:54,63
00:53:59,62
00:54:04,61
00:54:09,61
00:54:14,60
00:54:29,60
00:54:34,59
00:54:39,59
00:54:54,60
00:54:59,65
00:55:04,67
00:55:09,65
00:55:14,65
00:55:24,66
00:55:34,65
00:55:39,66
00:55:54,64
00:55:59,63
00:56:14,64
00:56:19,65
00:56:24,65
00:56:34,66
00:56:39,71
00:56:44,72
00:56:49,73
00:56:54,73
00:56:59,74
00:57:09,75
00:57:24,71
00:57:29,69
00:57:34,68
00:57:39,65
00:57:44,63
00:57:59,63
00:58:09,64
00:58:19,63
00:58:24,65
00:58:29,66
00:58:44,67
00:58:59,66
00:59:04,64
00:59:09,63
00:59:24,63
00:59:29,64
00:59:34,65
00:59:49,65
00:59:54,66
01:00:04,68
01:00:09,65
01:00:24,65
01:00:39,65
01:00:54,66
01:00:59,67
01:01:14,67
01:01:30,72
01:01:35,72
01:01:40,72
01:01:45,76
01:01:50,79
01:01:55,78
01:02:00,77
01:02:05,76
01:02:10,77
01:02:20,76
01:02:30,70
01:02:35,66
01:02:40,65
01:02:45,65
01:03:00,64
01:03:05,63
01:03:10,62
01:03:20,63
01:03:25,62
01:03:40,62
01:03:55,63
01:04:05,63
01:04:10,62
01:04:25,63
01:04:40,62
01:04:55,62
01:05:10,63
01:05:15,63
01:05:30,64
01:05:35,63
01:05:50,62
01:05:55,61
01:06:05,62
01:06:10,63
01:06:15,64
01:06:20,65
01:06:25,63
01:06:35,64
01:06:40,65
01:06:55,65
01:07:10,65
01:07:25,65
01:07:30,63
01:07:45,63
01:07:50,62
01:07:55,64
01:08:00,65
01:08:10,64
01:08:15,65
01:08:20,66
01:08:30,66
01:08:35,65
01:08:40,64
01:08:45,64
01:08:50,65
01:09:00,64
01:09:15,64
01:09:30,64
01:09:45,64
01:10:00,64
01:10:05,63
01:10:20,63
01:10:30,62
01:10:35,61
01:10:40,62
01:10:45,63
01:11:00,63
01:11:05,64
01:11:20,63
01:11:35,64
01:11:45,64
01:11:55,63
01:12:00,63
01:12:15,63
01:12:20,63
01:12:30,64
01:12:35,65
01:12:40,66
01:12:45,69
01:12:50,68
01:12:55,65
01:13:00,64
01:13:05,65
01:13:15,64
01:13:25,65
01:13:30,64
01:13:35,62
01:13:45,63
01:13:50,61
01:14:05,61
01:14:15,62
01:14:30,62
01:14:35,63
01:14:40,64
01:14:45,63
01:14:55,61
01:15:10,62
01:15:20,63
01:15:25,64
01:15:30,65
01:15:35,62
01:15:40,61
01:15:55,63
01:16:00,65
