Time,Heart Rate
00:00:04,65
00:00:14,64
00:00:24,63
00:00:29,62
00:00:39,61
00:00:44,61
00:00:49,60
00:00:54,60
00:01:09,60
00:01:14,61
00:01:29,61
00:01:39,62
00:01:49,61
00:01:59,62
00:02:14,61
00:02:19,62
00:02:24,63
00:02:34,62
00:02:39,61
00:02:44,60
00:02:59,60
00:03:04,60
00:03:14,60
00:03:29,60
00:03:39,61
00:03:44,60
00:03:49,59
00:04:04,59
00:04:19,59
00:04:24,59
00:04:29,58
00:04:44,58
00:04:49,59
00:04:59,60
00:05:04,61
00:05:10,60
00:05:25,60
00:05:30,58
00:05:35,57
00:05:45,56
00:06:00,56
00:06:10,55
00:06:25,55
00:06:30,54
00:06:40,54
00:06:50,54
00:06:55,56
00:07:00,57
00:07:10,56
00:07:20,55
00:07:25,54
00:07:35,55
00:07:40,56
00:07:45,55
00:07:50,56
00:07:55,55
00:08:10,55
00:08:15,53
00:08:25,52
00:08:40,52
00:08:43,52
00:08:58,52
00:09:08,53
00:09:18,52
00:09:23,53
00:09:38,53
00:09:48,52
00:09:53,53
00:09:58,52
00:10:13,52
00:10:28,54
00:10:38,53
00:10:53,53
00:11:08,55
00:11:13,56
00:11:18,54
00:11:28,55
00:11:33,56
00:11:43,54
00:11:58,53
00:12:08,52
00:12:23,52
00:12:28,53
00:12:43,53
00:12:48,54
00:13:03,54
00:13:13,55
00:13:18,54
00:13:23,53
00:13:38,54
00:13:43,53
00:13:53,54
00:14:03,53
00:14:13,54
00:14:23,53
00:14:38,53
00:14:48,55
00:14:58,54
00:15:08,53
00:15:18,54
00:15:33,54
00:15:38,54
00:15:53,54
00:16:08,53
00:16:23,53
00:16:28,53
00:16:38,54
00:16:43,56
00:16:53,55
00:16:58,54
00:17:04,53
00:17:14,55
00:17:24,54
00:17:29,53
00:17:34,54
00:17:49,54
00:17:54,55
00:18:09,55
00:18:14,54
00:18:24,55
00:18:39,54
00:18:54,54
00:19:09,54
00:19:24,54
00:19:29,55
00:19:44,55
00:19:59,55
00:20:14,55
00:20:29,55
00:20:39,54
00:20:54,55
00:20:59,56
00:21:04,55
00:21:19,55
00:21:34,55
00:21:49,56
00:21:50,55
00:22:05,55
00:22:10,54
00:22:20,55
00:22:35,55
00:22:50,56
00:23:05,55
00:23:20,55
00:23:25,57
00:23:30,56
00:23:35,54
00:23:40,55
00:23:55,56
00:24:05,58
00:24:10,59
00:24:15,56
00:24:25,55
00:24:40,56
00:24:45,57
00:24:55,56
00:25:10,56
00:25:20,55
00:25:30,56
00:25:40,57
00:25:45,56
00:25:50,55
00:25:55,56
00:26:00,57
00:26:05,58
00:26:10,57
00:26:15,56
00:26:30,56
00:26:40,57
00:26:45,56
00:26:55,57
00:27:10,57
00:27:15,56
00:27:20,57
00:27:35,56
00:27:40,57
00:27:55,57
00:28:10,56
00:28:25,56
00:28:40,57
00:28:55,57
00:29:10,58
00:29:15,59
00:29:20,56
00:29:25,55
00:29:30,56
00:29:35,57
00:29:40,56
00:29:45,55
00:29:50,56
00:29:55,56
00:30:10,56
00:30:15,57
00:30:20,58
00:30:30,57
00:30:45,57
00:30:50,58
00:31:00,57
00:31:05,58
00:31:20,58
00:31:25,59
00:31:30,57
00:31:35,56
00:31:45,57
00:31:55,58
00:32:00,57
00:32:15,57
00:32:20,58
00:32:30,59
00:32:35,57
00:32:50,58
00:32:55,57
00:33:00,58
00:33:15,58
00:33:30,57
00:33:36,59
00:33:46,58
00:34:01,58
00:34:16,58
00:34:26,59
00:34:36,58
00:34:51,58
00:34:56,59
00:35:11,58
00:35:16,59
00:35:21,60
00:35:36,58
00:35:41,57
00:35:51,58
00:35:56,59
00:36:01,58
00:36:16,58
00:36:21,61
00:36:36,60
00:36:41,59
00:36:51,58
00:37:01,59
00:37:11,61
00:37:16,58
00:37:21,56
00:37:36,56
00:37:42,58
00:37:47,59
00:37:52,58
00:37:57,59
00:38:12,60
00:38:17,59
00:38:32,59
00:38:42,60
00:38:57,60
00:39:07,61
00:39:22,60
00:39:27,58
00:39:37,59
00:39:42,60
00:39:47,59
00:39:57,60
00:40:02,61
00:40:07,59
