Time,Heart Rate
00:00:05,65
00:00:20,65
00:00:30,64
00:00:40,65
00:00:45,64
00:01:00,64
00:01:15,64
00:01:20,65
00:01:30,66
00:01:40,65
00:01:55,64
00:02:10,65
00:02:25,64
00:02:30,63
00:02:35,64
00:02:45,65
00:02:50,66
00:02:55,65
00:03:05,66
00:03:10,65
00:03:20,66
00:03:30,65
00:03:45,65
00:03:55,66
00:04:10,66
00:04:15,66
00:04:20,65
00:04:30,66
00:04:35,64
00:04:50,64
00:04:55,65
00:05:00,64
00:05:15,64
00:05:30,64
00:05:45,64
00:05:55,65
00:06:10,66
00:06:15,65
00:06:30,66
00:06:45,65
00:07:00,65
00:07:10,66
00:07:15,65
00:07:20,66
00:07:25,65
00:07:40,65
00:07:50,64
00:07:55,66
00:08:05,65
00:08:10,64
00:08:15,63
00:08:20,64
00:08:25,64
00:08:30,66
00:08:35,65
00:08:50,65
00:09:05,65
00:09:10,64
00:09:16,64
00:09:21,65
00:09:36,65
00:09:41,66
00:09:56,65
00:10:06,66
00:10:11,67
00:10:26,67
00:10:31,66
00:10:46,66
00:10:56,65
00:11:11,64
00:11:21,65
00:11:26,66
00:11:31,67
00:11:36,66
00:11:51,65
00:12:01,66
00:12:06,65
00:12:21,65
00:12:26,66
00:12:41,66
00:12:51,65
00:12:56,64
00:13:06,65
00:13:21,65
00:13:26,66
00:13:31,66
00:13:46,65
00:13:56,66
00:14:01,67
00:14:16,67
00:14:21,66
00:14:26,65
00:14:36,66
00:14:41,67
00:14:46,65
00:15:01,65
00:15:06,64
00:15:11,65
00:15:16,66
00:15:31,66
00:15:42,66
00:15:47,67
00:15:57,66
00:16:12,66
00:16:27,65
00:16:32,66
00:16:47,66
00:16:57,65
00:17:02,64
00:17:07,65
00:17:12,68
00:17:17,65
00:17:22,63
00:17:32,65
00:17:47,64
00:18:02,65
00:18:12,66
00:18:27,65
00:18:42,65
00:18:57,65
00:19:12,65
00:19:27,66
00:19:37,65
00:19:42,64
00:19:52,65
00:19:57,64
00:20:07,65
00:20:12,65
00:20:27,66
00:20:37,65
00:20:42,63
00:20:52,64
00:20:57,63
00:21:02,62
00:21:07,64
00:21:12,65
00:21:17,67
00:21:22,66
00:21:27,65
00:21:42,65
00:21:57,65
00:22:02,66
00:22:07,65
00:22:17,64
00:22:32,65
00:22:42,64
00:22:52,65
00:23:07,66
00:23:17,65
00:23:32,65
00:23:37,66
00:23:52,65
00:23:57,66
00:24:07,65
00:24:12,65
00:24:27,66
00:24:42,65
00:24:47,64
00:25:02,64
00:25:12,63
00:25:22,64
00:25:37,66
00:25:42,65
00:25:47,64
00:26:02,65
00:26:17,65
00:26:22,64
00:26:27,65
00:26:32,64
00:26:42,65
00:26:52,63
00:26:57,64
00:27:07,63
00:27:12,64
00:27:27,64
00:27:37,63
00:27:47,64
00:27:52,65
00:28:07,66
00:28:17,65
00:28:22,64
00:28:27,65
00:28:42,65
00:28:57,65
00:29:12,67
00:29:17,66
00:29:27,65
00:29:42,64
00:29:57,64
00:30:02,65
00:30:07,64
00:30:17,65
00:30:27,66
00:30:37,65
00:30:47,66
00:30:52,64
00:30:57,62
00:31:07,63
00:31:12,64
00:31:18,65
00:31:23,67
00:31:28,65
00:31:33,64
00:31:43,66
00:31:53,65
00:32:08,65
00:32:23,65
00:32:33,64
00:32:38,63
00:32:44,63
00:32:54,64
00:32:59,65
00:33:09,64
00:33:14,66
00:33:24,64
00:33:29,63
00:33:44,63
00:33:49,64
00:33:54,65
00:34:04,64
00:34:19,63
00:34:34,63
00:34:49,63
00:34:54,64
00:35:04,65
00:35:09,64
00:35:14,63
00:35:29,63
00:35:39,64
00:35:54,65
00:35:59,66
00:36:09,65
00:36:24,65
00:36:39,66
00:36:44,64
00:36:59,65
00:37:04,65
00:37:19,64
00:37:34,64
00:37:39,65
00:37:49,64
00:37:59,66
00:38:04,65
00:38:14,64
00:38:29,64
00:38:34,65
00:38:39,64
00:38:44,62
00:38:54,64
00:38:59,63
00:39:09,64
00:39:19,65
00:39:29,64
00:39:44,64
00:39:49,63
00:40:04,65
00:40:19,63
00:40:29,64
00:40:34,63
00:40:44,64
00:40:49,65
00:40:54,66
00:41:09,66
00:41:14,65
00:41:29,65
00:41:44,64
00:41:54,65
00:42:04,63
00:42:09,64
00:42:14,63
00:42:19,64
00:42:24,63
00:42:39,63
00:42:44,64
00:42:49,63
00:42:54,64
00:42:59,65
00:43:14,64
00:43:29,65
00:43:34,64
00:43:44,63
00:43:54,64
00:44:09,65
00:44:24,63
00:44:34,64
00:44:49,64
00:44:54,65
00:44:59,64
00:45:09,65
00:45:19,63
00:45:24,62
00:45:29,63
00:45:39,64
00:45:54,64
00:46:09,64
00:46:24,65
00:46:29,66
00:46:34,64
00:46:39,63
00:46:44,65
00:46:49,64
00:46:54,63
00:47:04,64
00:47:09,63
00:47:19,64
00:47:24,62
00:47:34,63
00:47:41,63
00:47:46,64
00:47:51,66
00:47:56,67
00:48:11,68
00:48:21,66
00:48:31,66
00:48:36,67
00:48:41,64
00:48:46,60
00:48:51,64
00:48:56,66
00:49:01,62
00:49:11,64
00:49:16,62
00:49:26,66
00:49:31,69
00:49:41,64
00:49:46,61
00:49:51,62
00:49:56,64
00:50:01,65
00:50:16,65
00:50:21,75
00:50:26,89
00:50:31,80
00:50:36,70
00:50:41,68
00:50:46,67
00:50:51,62
00:50:56,61
00:51:01,60
00:51:06,59
00:51:16,61
00:51:21,62
00:51:26,65
00:51:31,69
00:51:36,65
00:51:41,61
00:51:46,59
00:52:01,60
00:52:06,61
00:52:11,64
00:52:16,69
00:52:21,64
00:52:26,61
00:52:31,60
00:52:36,59
00:52:41,60
00:52:51,61
00:52:56,66
00:53:01,66
00:53:06,64
00:53:11,62
00:53:16,61
00:53:31,61
00:53:36,62
00:53:41,61
00:53:56,62
00:54:01,67
00:54:06,64
00:54:11,60
00:54:16,59
00:54:31,59
00:54:36,57
00:54:51,58
00:54:56,59
00:55:11,60
00:55:16,60
00:55:21,57
00:55:26,58
00:55:31,61
00:55:36,60
00:55:46,63
00:55:51,62
00:55:56,60
00:56:06,59
00:56:21,59
00:56:26,60
00:56:36,61
