Time,Heart Rate
00:00:02,73
00:00:17,73
00:00:22,74
00:00:37,74
00:00:52,73
00:00:57,73
00:01:12,73
00:01:27,73
00:01:42,73
00:01:52,73
00:01:57,74
00:02:02,73
00:02:08,74
00:02:23,73
00:02:28,72
00:02:43,73
00:02:58,74
00:03:03,73
00:03:13,72
00:03:18,71
00:03:28,72
00:03:38,69
00:03:43,68
00:03:53,70
00:03:58,71
00:04:03,72
00:04:08,73
00:04:13,74
00:04:18,71
00:04:23,68
00:04:28,69
00:04:33,70
00:04:38,71
00:04:48,72
00:04:53,73
00:04:58,72
00:05:08,73
00:05:13,72
00:05:18,73
00:05:23,73
00:05:28,90
00:05:33,97
00:05:38,95
00:05:43,86
00:05:48,77
00:05:53,74
00:05:58,73
00:06:03,69
00:06:08,68
00:06:13,67
00:06:18,66
00:06:23,67
00:06:28,66
00:06:33,67
00:06:38,68
00:06:43,71
00:06:48,72
00:06:53,70
00:06:58,69
00:07:08,70
00:07:13,71
00:07:18,75
00:07:23,79
00:07:28,78
00:07:33,79
00:07:43,81
00:07:48,87
00:07:53,79
00:07:58,81
00:08:03,74
00:08:08,72
00:08:13,70
00:08:18,70
00:08:23,67
00:08:28,66
00:08:33,67
00:08:43,66
00:08:48,67
00:08:53,68
00:08:58,67
00:09:03,66
00:09:18,68
00:09:28,69
00:09:33,71
00:09:43,69
00:09:48,68
00:09:58,67
00:10:03,68
00:10:08,69
00:10:13,71
00:10:18,68
00:10:28,69
00:10:33,70
00:10:43,69
00:10:48,66
00:10:58,67
00:11:03,69
00:11:13,68
00:11:28,68
00:11:33,67
00:11:38,68
00:11:48,67
00:11:53,69
00:12:03,68
00:12:18,71
00:12:23,69
00:12:28,68
00:12:33,70
00:12:38,71
00:12:43,70
00:12:53,71
00:12:58,73
00:13:03,72
00:13:08,70
00:13:23,71
00:13:28,72
00:13:33,74
00:13:43,73
00:13:48,72
00:13:58,71
00:14:03,72
00:14:13,73
00:14:18,72
00:14:23,71
00:14:38,72
00:14:43,73
00:14:48,75
00:14:58,73
00:15:03,72
00:15:08,73
00:15:23,74
00:15:28,73
00:15:33,72
00:15:38,73
00:15:43,72
00:15:48,71
00:15:58,72
00:16:03,73
00:16:08,74
00:16:18,73
00:16:28,72
00:16:38,73
00:16:43,74
00:16:48,73
00:16:53,71
00:17:03,73
00:17:13,72
00:17:23,73
00:17:38,73
00:17:43,72
00:17:58,72
00:18:03,73
00:18:08,74
00:18:13,75
00:18:18,80
00:18:23,78
00:18:33,77
00:18:43,80
00:18:48,74
00:18:53,70
00:18:58,71
00:19:03,75
00:19:08,77
00:19:13,78
00:19:18,80
00:19:28,79
00:19:38,80
00:19:43,82
00:19:48,86
00:19:54,87
00:19:59,80
00:20:04,75
00:20:09,76
00:20:14,78
00:20:19,82
00:20:24,86
00:20:29,86
00:20:34,77
00:20:39,75
00:20:44,76
00:20:49,78
00:20:54,80
00:20:59,82
00:21:04,81
00:21:09,80
00:21:14,79
00:21:19,78
00:21:34,80
00:21:39,81
00:21:44,82
00:21:49,90
00:21:54,95
00:21:59,91
00:22:04,85
00:22:09,82
00:22:14,81
00:22:19,81
00:22:24,78
00:22:29,71
00:22:34,70
00:22:39,71
00:22:44,73
00:22:49,74
00:22:54,75
00:23:09,75
00:23:19,76
00:23:29,75
00:23:34,73
00:23:49,74
00:23:59,73
00:24:04,72
00:24:14,71
00:24:19,70
00:24:29,71
00:24:34,73
00:24:49,74
00:24:54,75
00:24:59,74
00:25:04,73
00:25:09,72
00:25:24,72
00:25:29,73
00:25:34,74
00:25:39,75
00:25:49,74
00:25:54,73
00:25:59,71
00:26:04,70
00:26:09,71
00:26:19,72
00:26:24,71
00:26:39,71
00:26:44,72
00:26:54,73
00:26:59,71
00:27:14,72
00:27:19,73
00:27:34,71
00:27:49,71
00:28:04,71
00:28:19,71
00:28:24,72
00:28:39,72
00:28:44,71
00:28:54,70
00:29:09,71
00:29:14,72
00:29:29,72
00:29:34,72
00:29:39,71
00:29:49,70
00:29:59,71
00:30:04,72
00:30:19,72
00:30:34,73
00:30:39,73
00:30:44,69
00:30:49,67
00:30:59,68
00:31:04,69
00:31:09,70
00:31:19,69
00:31:24,70
00:31:34,71
00:31:39,72
00:31:49,71
00:31:59,72
00:32:04,71
00:32:09,72
00:32:14,71
00:32:19,69
00:32:24,70
00:32:29,71
00:32:34,72
00:32:39,73
00:32:44,73
00:32:49,72
00:32:59,71
00:33:09,72
00:33:14,73
00:33:24,72
00:33:29,71
00:33:39,73
00:33:44,74
00:33:49,73
00:33:54,71
00:33:59,71
00:34:09,72
00:34:24,73
00:34:29,81
00:34:34,100
00:34:39,99
00:34:44,96
00:34:49,89
00:34:54,85
00:34:59,80
00:35:04,74
00:35:14,77
00:35:19,78
00:35:25,76
00:35:30,74
00:35:35,77
00:35:45,73
00:35:55,77
00:36:05,73
00:36:10,75
00:36:15,77
00:36:20,78
00:36:25,76
00:36:30,73
00:36:40,74
00:36:45,75
00:36:50,77
00:36:55,78
00:37:00,79
00:37:10,78
00:37:25,78
00:37:40,78
00:37:50,77
00:38:05,76
00:38:15,77
00:38:25,74
00:38:30,72
00:38:40,73
00:38:45,74
00:38:55,75
00:39:00,76
00:39:10,77
00:39:15,76
00:39:20,75
00:39:30,76
00:39:35,77
00:39:40,76
00:39:50,77
00:39:55,79
00:40:05,80
00:40:20,80
00:40:35,88
00:40:40,99
00:40:45,98
00:40:55,94
00:41:00,86
00:41:05,83
00:41:10,84
00:41:15,83
00:41:20,77
00:41:25,73
00:41:35,74
00:41:40,72
00:41:45,70
