Time,State,Interpreted
17:15:30,1,Asleep
17:16:30,1,Asleep
17:17:30,2,Awake
17:18:30,1,Asleep
17:19:30,1,Asleep
17:20:30,1,Asleep
17:21:30,1,Asleep
17:22:30,1,Asleep
17:23:30,1,Asleep
17:24:30,1,Asleep
17:25:30,1,Asleep
17:26:30,1,Asleep
17:27:30,1,Asleep
17:28:30,1,Asleep
17:29:30,1,Asleep
17:30:30,1,Asleep
17:31:30,1,Asleep
17:32:30,1,Asleep
17:33:30,1,Asleep
17:34:30,1,Asleep
17:35:30,1,Asleep
17:36:30,1,Asleep
17:37:30,1,Asleep
17:38:30,1,Asleep
17:39:30,1,Asleep
17:40:30,1,Asleep
17:41:30,1,Asleep
17:42:30,1,Asleep
17:43:30,1,Asleep
17:44:30,1,Asleep
17:45:30,1,Asleep
17:46:30,1,Asleep
17:47:30,1,Asleep
17:48:30,1,Asleep
17:49:30,1,Asleep
17:50:30,1,Asleep
17:51:30,1,Asleep
17:52:30,1,Asleep
17:53:30,1,Asleep
17:54:30,1,Asleep
17:55:30,1,Asleep
17:56:30,1,Asleep
17:57:30,1,Asleep
17:58:30,1,Asleep
17:59:30,1,Asleep
18:00:30,1,Asleep
18:01:30,1,Asleep
18:02:30,1,Asleep
18:03:30,1,Asleep
18:04:30,1,Asleep
18:05:30,1,Asleep
18:06:30,1,Asleep
18:07:30,1,Asleep
18:08:30,1,Asleep
18:09:30,1,Asleep
18:10:30,1,Asleep
18:11:30,1,Asleep
18:12:30,1,Asleep
18:13:30,1,Asleep
18:14:30,1,Asleep
18:15:30,1,Asleep
18:16:30,1,Asleep
18:17:30,1,Asleep
18:18:30,1,Asleep
18:19:30,1,Asleep
18:20:30,1,Asleep
18:21:30,1,Asleep
18:22:30,1,Asleep
18:23:30,1,Asleep
18:24:30,1,Asleep
18:25:30,1,Asleep
18:26:30,1,Asleep
18:27:30,1,Asleep
18:28:30,1,Asleep
18:29:30,1,Asleep
18:30:30,1,Asleep
18:31:30,1,Asleep
18:32:30,2,Awake
18:33:30,2,Awake
18:34:30,1,Asleep
18:35:30,1,Asleep
18:36:30,1,Asleep
18:37:30,1,Asleep
18:38:30,2,Awake
18:39:30,2,Awake
18:40:30,1,Asleep
