Time,State,Interpreted
04:01:00,1,Asleep
04:02:00,1,Asleep
04:03:00,1,Asleep
04:04:00,1,Asleep
04:05:00,1,Asleep
04:06:00,1,Asleep
04:07:00,1,Asleep
04:08:00,1,Asleep
04:09:00,1,Asleep
04:10:00,1,Asleep
04:11:00,1,Asleep
04:12:00,1,Asleep
04:13:00,1,Asleep
04:14:00,1,Asleep
04:15:00,1,Asleep
04:16:00,1,Asleep
04:17:00,1,Asleep
04:18:00,1,Asleep
04:19:00,1,Asleep
04:20:00,1,Asleep
04:21:00,1,Asleep
04:22:00,1,Asleep
04:23:00,1,Asleep
04:24:00,1,Asleep
04:25:00,1,Asleep
04:26:00,2,Awake
04:27:00,2,Awake
04:28:00,1,Asleep
04:29:00,1,Asleep
04:30:00,1,Asleep
04:31:00,1,Asleep
04:32:00,1,Asleep
04:33:00,1,Asleep
04:34:00,1,Asleep
04:35:00,1,Asleep
04:36:00,1,Asleep
04:37:00,1,Asleep
04:38:00,1,Asleep
04:39:00,1,Asleep
04:40:00,1,Asleep
04:41:00,2,Awake
04:42:00,2,Awake
04:43:00,2,Awake
04:44:00,1,Asleep
04:45:00,1,Asleep
04:46:00,1,Asleep
04:47:00,1,Asleep
04:48:00,1,Asleep
04:49:00,1,Asleep
04:50:00,1,Asleep
04:51:00,1,Asleep
04:52:00,1,Asleep
04:53:00,1,Asleep
04:54:00,1,Asleep
04:55:00,1,Asleep
04:56:00,1,Asleep
04:57:00,1,Asleep
04:58:00,1,Asleep
04:59:00,1,Asleep
05:00:00,1,Asleep
05:01:00,1,Asleep
05:02:00,1,Asleep
05:03:00,1,Asleep
05:04:00,1,Asleep
05:05:00,1,Asleep
05:06:00,1,Asleep
05:07:00,1,Asleep
05:08:00,1,Asleep
05:09:00,2,Awake
05:10:00,2,Awake
05:11:00,2,Awake
05:12:00,1,Asleep
05:13:00,1,Asleep
05:14:00,2,Awake
05:15:00,2,Awake
05:16:00,2,Awake
05:17:00,1,Asleep
05:18:00,1,Asleep
05:19:00,1,Asleep
05:20:00,3,Very Awake
05:21:00,1,Asleep
05:22:00,1,Asleep
05:23:00,1,Asleep
05:24:00,1,Asleep
05:25:00,1,Asleep
05:26:00,1,Asleep
05:27:00,1,Asleep
05:28:00,1,Asleep
05:29:00,1,Asleep
05:30:00,1,Asleep
05:31:00,1,Asleep
05:32:00,1,Asleep
05:33:00,1,Asleep
05:34:00,1,Asleep
05:35:00,1,Asleep
05:36:00,1,Asleep
05:37:00,1,Asleep
05:38:00,1,Asleep
05:39:00,1,Asleep
05:40:00,1,Asleep
05:41:00,1,Asleep
05:42:00,1,Asleep
05:43:00,1,Asleep
05:44:00,1,Asleep
05:45:00,1,Asleep
05:46:00,1,Asleep
05:47:00,1,Asleep
05:48:00,1,Asleep
05:49:00,1,Asleep
05:50:00,1,Asleep
05:51:00,1,Asleep
05:52:00,1,Asleep
05:53:00,2,Awake
05:54:00,2,Awake
05:55:00,2,Awake
05:56:00,1,Asleep
05:57:00,1,Asleep
05:58:00,1,Asleep
05:59:00,1,Asleep
06:00:00,1,Asleep
06:01:00,1,Asleep
06:02:00,1,Asleep
06:03:00,1,Asleep
06:04:00,1,Asleep
06:05:00,1,Asleep
06:06:00,1,Asleep
06:07:00,1,Asleep
06:08:00,2,Awake
06:09:00,2,Awake
06:10:00,1,Asleep
06:11:00,1,Asleep
06:12:00,1,Asleep
06:13:00,1,Asleep
06:14:00,1,Asleep
06:15:00,1,Asleep
06:16:00,1,Asleep
06:17:00,1,Asleep
06:18:00,1,Asleep
06:19:00,1,Asleep
06:20:00,1,Asleep
06:21:00,1,Asleep
06:22:00,1,Asleep
06:23:00,1,Asleep
06:24:00,1,Asleep
06:25:00,1,Asleep
06:26:00,1,Asleep
06:27:00,1,Asleep
06:28:00,2,Awake
06:29:00,2,Awake
06:30:00,2,Awake
06:31:00,3,Very Awake
06:32:00,3,Very Awake
06:33:00,3,Very Awake
06:34:00,2,Awake
