Time,Heart Rate
07:18:50,70
07:51:12,70
07:51:25,70
08:13:38,70
09:08:17,70
09:15:14,70
09:15:48,70
09:15:53,70
09:15:58,64
09:17:23,70
09:40:40,70
09:41:38,70
10:16:27,70
10:17:03,70
10:17:35,70
10:20:12,70
10:20:45,70
10:20:50,70
10:21:06,81
10:21:11,98
10:22:02,70
10:22:26,70
10:22:31,70
10:22:36,68
10:22:41,73
10:22:46,75
10:22:57,69
10:23:41,70
10:24:03,70
10:34:55,70
10:35:59,70
10:36:09,70
10:36:19,68
10:36:24,67
10:36:29,73
10:36:34,72
10:36:39,70
10:36:44,72
10:36:49,74
10:36:54,75
10:36:59,76
10:37:14,75
10:37:19,73
10:37:24,74
10:37:34,75
10:37:39,76
10:37:49,77
10:37:54,78
10:38:09,79
10:38:14,78
10:38:19,76
10:38:24,77
10:38:34,76
10:38:44,75
10:38:49,76
10:38:54,76
10:38:59,79
10:39:04,80
10:39:09,82
10:39:19,84
10:39:24,86
10:39:29,88
10:39:34,89
10:39:39,90
10:39:44,88
10:39:49,87
10:40:04,86
10:40:09,85
10:40:14,86
10:40:19,85
10:40:24,84
10:40:29,82
10:40:34,80
10:40:49,82
10:40:54,83
10:41:04,85
10:41:09,86
10:41:24,86
10:41:29,85
10:41:39,86
10:41:54,88
10:42:09,88
10:42:14,89
10:42:24,88
10:42:29,86
10:42:34,85
10:42:39,86
10:42:44,88
10:42:49,89
10:42:54,90
10:42:59,92
10:43:04,93
10:43:09,94
10:43:19,84
10:43:24,76
10:43:29,74
10:43:34,75
10:43:39,74
10:43:44,68
10:43:49,70
10:43:54,73
10:43:59,74
10:44:04,73
10:44:09,70
10:44:14,65
10:44:19,54
10:44:24,51
10:44:29,50
10:44:44,50
10:44:49,49
10:45:04,49
10:45:09,50
10:45:14,51
10:45:19,52
10:45:24,53
10:45:34,54
10:45:44,56
10:45:49,57
10:45:54,60
10:45:59,59
10:46:04,59
10:46:14,56
10:46:19,55
10:46:34,55
10:46:44,57
10:46:49,58
10:46:54,57
10:47:04,58
10:47:14,57
10:47:19,55
10:47:29,54
10:47:39,53
10:47:44,51
10:47:49,52
10:48:04,52
10:48:05,51
10:48:15,51
10:48:30,51
10:48:40,54
10:48:45,61
10:48:50,65
10:48:55,61
10:49:00,54
10:49:05,53
10:49:10,56
10:49:15,59
10:49:20,62
10:49:25,61
10:49:30,60
10:49:35,58
10:49:40,56
10:49:50,55
10:49:55,54
10:50:05,54
10:50:10,55
10:50:15,57
10:50:20,56
10:50:30,54
10:50:35,53
10:50:50,53
10:51:00,55
10:51:10,54
10:51:15,54
10:51:20,55
10:51:25,54
10:51:30,55
10:51:35,54
10:51:45,53
10:51:50,54
10:51:55,53
10:52:00,54
10:52:05,54
10:52:20,53
10:52:35,53
10:52:40,54
10:52:55,54
10:53:00,53
10:53:10,52
10:53:15,51
10:53:30,53
10:53:35,54
10:53:40,56
10:53:45,56
10:53:50,55
10:53:55,54
10:54:05,56
10:54:10,57
10:54:15,55
10:54:20,54
10:54:25,53
10:54:30,52
10:54:45,52
10:54:50,53
10:55:00,52
10:55:10,51
10:55:15,51
10:55:20,53
10:55:35,53
10:55:40,52
10:55:45,52
10:55:50,53
10:55:55,54
10:56:05,55
10:56:10,54
10:56:25,54
10:56:40,54
10:56:45,55
10:56:50,57
10:56:55,56
10:57:00,55
10:57:05,54
10:57:20,55
10:57:35,55
10:57:40,54
10:57:45,53
10:57:55,52
10:58:00,52
10:58:15,53
10:58:30,53
10:58:35,54
10:58:40,55
10:58:50,54
10:58:55,54
10:59:00,54
10:59:10,53
10:59:15,54
10:59:20,55
10:59:25,58
10:59:30,60
10:59:35,62
10:59:40,63
10:59:45,67
10:59:50,68
10:59:55,65
11:00:00,62
11:00:05,58
11:00:10,56
11:00:15,55
11:00:20,54
11:00:25,55
11:00:35,56
11:00:40,63
11:00:45,68
11:00:50,65
11:00:55,63
11:01:00,64
11:01:05,60
11:01:10,56
11:01:15,53
11:01:20,51
11:01:25,56
11:01:30,59
11:01:35,57
11:01:40,56
11:01:45,57
11:01:50,56
11:01:55,52
11:02:00,52
11:02:05,55
11:02:15,54
11:02:20,55
11:02:25,56
11:02:30,59
11:02:35,55
11:02:40,53
11:02:45,56
11:02:55,58
11:03:00,60
11:03:15,60
11:03:30,60
11:03:31,56
11:03:36,55
11:03:46,56
11:03:51,57
11:04:01,56
11:04:06,57
11:04:11,60
11:04:16,63
11:04:21,64
11:04:26,65
11:04:41,66
11:04:46,67
11:04:51,66
11:05:06,64
11:05:11,56
11:05:16,53
11:05:21,52
11:05:26,51
11:05:31,50
11:05:36,49
11:05:41,48
11:05:51,47
11:06:06,47
11:06:21,47
11:06:26,49
11:06:31,48
11:06:36,48
11:06:41,48
11:06:56,48
11:07:01,49
11:07:06,49
11:07:21,49
11:07:36,49
11:07:41,50
