Time,Heart Rate
11:44:52,70
11:45:02,82
11:45:07,98
11:45:12,93
11:45:17,87
11:45:22,82
11:45:27,83
11:45:37,84
11:45:42,85
11:45:47,87
11:45:57,84
11:46:02,83
11:46:07,82
11:46:12,79
11:46:27,79
11:46:32,78
11:46:37,76
11:46:52,76
11:46:57,77
11:47:02,75
11:47:12,76
11:47:27,76
11:47:32,75
11:47:38,75
11:47:43,76
11:47:48,75
11:48:03,77
11:48:13,76
11:48:18,77
11:48:28,78
11:48:33,79
11:48:38,77
11:48:43,75
11:48:48,74
11:48:53,73
11:49:03,71
11:49:08,68
11:49:23,68
11:49:33,67
11:49:38,68
11:49:48,69
11:49:53,68
11:49:58,69
11:50:08,72
11:50:13,73
11:50:18,74
11:50:23,75
11:50:28,74
11:50:43,74
11:50:53,73
11:50:58,72
11:51:03,71
11:51:08,70
11:51:23,70
11:51:28,72
11:51:33,76
11:51:48,77
11:51:53,79
11:51:58,80
11:52:13,81
11:52:28,81
11:52:38,80
11:52:43,79
11:52:48,78
11:53:03,79
11:53:08,77
11:53:13,73
11:53:18,67
11:53:23,71
11:53:28,74
11:53:33,73
11:53:43,74
11:53:48,75
11:53:53,76
11:54:08,77
11:54:23,78
11:54:28,80
11:54:33,80
11:54:48,78
11:54:53,77
11:54:58,76
11:55:03,75
11:55:13,74
11:55:23,76
11:55:38,69
11:55:53,68
11:55:58,71
11:56:03,73
11:56:08,72
11:56:23,72
11:56:38,73
11:56:43,72
11:56:48,74
11:56:53,74
11:57:03,73
11:57:13,72
11:57:23,67
11:57:28,66
11:57:43,67
11:57:48,71
11:57:53,74
11:57:58,75
11:58:08,76
11:58:23,77
11:58:28,76
11:58:38,77
11:58:43,78
11:58:58,77
11:59:03,74
11:59:08,72
11:59:23,72
11:59:28,74
11:59:33,75
11:59:43,76
11:59:48,77
12:00:03,77
12:00:08,78
12:00:13,76
12:00:18,75
12:00:23,76
12:00:28,77
12:00:33,75
12:00:43,76
12:00:48,77
12:00:53,78
12:01:03,79
12:01:08,80
12:01:13,79
12:01:18,77
12:01:23,75
12:01:38,75
12:01:43,75
12:01:58,77
12:02:03,79
12:02:08,80
12:02:13,81
12:02:18,82
12:02:28,83
12:02:33,85
12:02:38,86
12:02:43,82
12:02:48,81
12:02:53,82
12:03:03,83
12:03:18,83
