Time,Heart Rate
00:00:09,43
00:00:19,44
00:00:24,43
00:00:29,43
00:00:39,42
00:00:49,43
00:00:59,44
00:01:14,44
00:01:29,44
00:01:34,43
00:01:44,44
00:01:59,45
00:02:14,45
00:02:29,45
00:02:34,44
00:02:39,45
00:02:44,44
00:02:59,44
00:03:14,44
00:03:24,45
00:03:39,44
00:03:54,44
00:03:59,43
00:04:14,43
00:04:29,43
00:04:39,44
00:04:54,43
00:05:09,43
00:05:14,44
00:05:19,45
00:05:24,47
00:05:29,46
00:05:44,45
00:05:59,47
00:06:04,51
00:06:09,48
00:06:14,46
00:06:29,45
00:06:44,45
00:06:59,45
00:07:04,44
00:07:19,44
00:07:34,44
00:07:44,45
00:07:49,44
00:07:59,43
00:08:14,43
00:08:19,44
00:08:34,44
00:08:49,44
00:08:54,45
00:08:59,44
00:09:09,45
00:09:14,48
00:09:19,47
00:09:29,48
00:09:34,49
00:09:40,49
00:09:45,50
00:09:50,59
00:09:55,60
00:10:00,57
00:10:05,56
00:10:10,54
00:10:15,53
00:10:20,52
00:10:25,50
00:10:30,48
00:10:35,47
00:10:40,44
00:10:45,43
00:11:00,43
00:11:05,42
00:11:20,42
00:11:25,43
00:11:30,45
00:11:35,46
00:11:40,50
00:11:50,49
00:11:55,49
00:12:05,51
00:12:10,52
00:12:15,54
00:12:20,55
00:12:25,53
00:12:30,52
00:12:35,53
00:12:40,52
00:12:50,51
00:12:55,50
00:13:00,49
00:13:05,47
00:13:10,46
00:13:15,45
00:13:25,44
00:13:40,45
00:13:45,47
00:13:50,49
00:13:55,51
00:14:10,51
00:14:20,52
00:14:30,53
00:14:35,54
00:14:45,53
00:14:50,51
00:14:55,51
00:15:00,53
00:15:05,59
00:15:10,61
00:15:25,61
00:15:30,61
00:15:40,60
00:15:45,58
00:15:50,56
00:15:55,55
00:16:00,54
00:16:05,55
00:16:10,53
00:16:15,51
00:16:20,57
00:16:25,62
00:16:35,61
00:16:40,60
00:16:45,58
00:16:50,57
00:16:55,58
00:17:00,54
00:17:05,47
00:17:10,45
00:17:15,44
00:17:20,43
00:17:35,44
00:17:50,44
00:18:05,44
00:18:20,45
00:18:25,49
00:18:30,51
00:18:35,52
00:18:50,51
00:18:55,50
00:19:00,49
00:19:15,52
00:19:20,63
00:19:25,67
00:19:35,66
00:19:40,61
00:19:45,60
00:19:50,58
00:19:55,54
00:20:00,49
00:20:05,48
00:20:10,47
00:20:15,45
00:20:20,43
00:20:35,43
00:20:40,42
00:20:55,44
00:21:00,45
00:21:05,49
00:21:10,58
00:21:15,60
00:21:20,59
00:21:25,54
00:21:30,51
00:21:35,48
00:21:40,47
00:21:45,46
00:21:50,47
00:21:55,49
00:22:00,51
00:22:05,52
00:22:10,50
00:22:15,45
00:22:20,44
00:22:30,48
00:22:35,49
00:22:40,48
00:22:45,46
00:22:50,44
00:23:00,43
00:23:10,47
00:23:15,50
00:23:25,47
00:23:35,46
00:23:45,47
00:24:00,47
00:24:05,45
00:24:10,44
00:24:25,44
00:24:30,44
00:24:40,47
00:24:45,48
00:24:50,47
00:25:00,48
00:25:05,47
00:25:10,43
00:25:15,43
00:25:20,44
00:25:25,48
00:25:30,50
00:25:35,49
00:25:45,48
00:25:50,47
00:26:05,46
00:26:10,45
00:26:25,45
00:26:35,44
00:26:40,43
00:26:55,43
00:27:10,44
00:27:15,52
00:27:20,52
00:27:25,51
00:27:30,50
00:27:36,49
00:27:41,48
00:27:46,47
00:27:51,46
00:27:56,47
00:28:11,46
00:28:16,45
00:28:26,44
00:28:41,44
00:28:56,44
00:29:11,44
00:29:21,43
00:29:31,43
00:29:41,47
00:29:46,64
00:29:51,69
00:29:56,67
00:30:01,63
00:30:06,62
00:30:11,58
00:30:16,55
00:30:21,52
00:30:26,51
00:30:31,48
00:30:41,47
00:30:46,47
00:31:01,47
00:31:16,46
00:31:31,51
00:31:36,56
00:31:41,54
00:31:46,53
00:31:51,51
00:31:56,48
00:32:06,49
00:32:11,47
00:32:21,48
00:32:26,49
00:32:36,50
00:32:41,51
00:32:56,52
00:33:11,51
00:33:26,52
00:33:41,52
00:33:51,51
00:34:06,51
00:34:21,52
00:34:26,53
00:34:41,53
00:34:46,52
00:34:56,51
00:35:06,52
00:35:11,52
00:35:16,53
00:35:31,53
00:35:41,52
00:35:56,52
00:36:01,53
00:36:16,53
00:36:26,52
00:36:31,51
00:36:41,49
00:36:46,48
00:36:51,49
00:36:56,51
00:37:01,53
00:37:11,52
00:37:16,53
00:37:31,52
00:37:41,53
00:37:56,53
00:38:06,52
00:38:21,52
00:38:31,51
00:38:36,50
00:38:41,49
00:38:46,50
00:38:51,51
00:39:01,52
00:39:06,52
00:39:16,53
00:39:21,52
00:39:36,52
00:39:51,52
00:39:56,53
00:40:01,52
00:40:16,53
00:40:21,54
00:40:26,53
00:40:41,52
00:40:46,51
00:40:56,52
00:41:06,53
00:41:11,52
00:41:21,53
00:41:36,54
00:41:46,53
00:42:01,53
00:42:06,50
00:42:21,51
00:42:26,52
00:42:31,53
00:42:46,53
00:43:01,53
00:43:16,52
00:43:26,53
00:43:31,53
00:43:46,53
00:43:51,53
00:44:06,53
00:44:11,53
00:44:16,51
00:44:26,53
00:44:41,53
00:44:46,53
00:45:01,53
00:45:11,54
00:45:26,54
00:45:41,53
00:45:46,54
00:45:56,52
00:46:11,52
00:46:16,54
00:46:31,54
00:46:41,54
00:46:51,53
00:46:56,54
00:47:02,54
00:47:17,54
00:47:32,55
00:47:37,54
00:47:47,53
00:47:52,52
00:48:02,54
00:48:17,53
00:48:22,54
00:48:37,54
00:48:52,54
00:49:07,55
00:49:12,54
00:49:22,53
00:49:32,54
00:49:42,53
00:49:47,52
00:50:02,53
00:50:07,54
00:50:12,53
00:50:22,55
00:50:27,54
00:50:32,53
00:50:37,54
00:50:42,56
00:50:47,55
00:50:52,54
00:50:57,53
00:51:02,54
00:51:12,53
00:51:27,52
00:51:37,53
00:51:52,54
00:51:57,55
00:52:12,54
00:52:17,53
00:52:27,54
00:52:32,53
00:52:37,52
00:52:47,53
00:52:52,54
00:53:02,55
00:53:17,55
00:53:22,54
00:53:32,55
00:53:37,54
00:53:42,53
00:53:52,54
00:54:02,55
00:54:07,54
00:54:12,52
00:54:17,53
00:54:22,54
00:54:27,53
00:54:32,53
00:54:37,54
00:54:42,53
00:54:47,54
00:54:52,55
00:55:07,55
00:55:12,55
00:55:22,58
00:55:27,68
00:55:32,69
00:55:37,65
00:55:42,62
00:55:47,61
00:55:52,60
00:55:57,59
00:56:02,58
00:56:07,57
00:56:12,56
00:56:22,56
00:56:27,55
00:56:32,54
00:56:37,52
00:56:42,51
00:56:47,50
00:56:57,52
00:57:12,52
00:57:17,53
00:57:27,52
00:57:32,53
00:57:47,52
00:57:52,53
00:57:57,54
00:58:02,53
00:58:12,54
00:58:27,54
00:58:37,53
00:58:47,54
00:58:57,55
00:59:12,54
00:59:22,55
00:59:27,54
00:59:42,54
