Time,Heart Rate
00:26:51,70
00:27:01,76
00:27:06,109
00:27:11,113
00:27:16,112
00:27:21,108
00:27:26,103
00:27:31,86
00:27:36,86
00:27:41,83
00:27:46,81
00:27:51,82
00:27:56,85
00:28:06,83
00:28:11,82
00:28:16,85
00:28:21,87
00:28:26,90
00:28:31,95
00:28:41,96
00:28:46,95
00:28:51,93
00:28:56,98
00:29:01,99
00:29:06,85
00:29:11,78
00:29:16,79
00:29:21,82
00:29:26,86
00:29:31,91
00:29:36,92
00:29:41,90
00:29:46,91
00:29:56,95
00:30:01,99
00:30:06,98
00:30:11,97
00:30:16,95
00:30:21,93
00:30:26,94
00:30:36,95
00:30:41,96
00:30:46,95
00:30:51,90
00:30:56,84
00:31:01,81
00:31:06,83
00:31:11,89
00:31:16,94
00:31:26,93
00:31:31,92
00:31:36,90
00:31:46,92
00:32:01,91
00:32:11,94
00:32:16,95
00:32:21,92
00:32:26,91
00:32:36,93
00:32:41,92
00:32:46,89
00:33:01,90
00:33:06,89
00:33:11,90
00:33:16,91
00:33:21,90
00:33:26,86
00:33:31,83
00:33:41,86
00:33:46,92
00:33:51,91
00:33:56,88
00:34:01,85
00:34:11,86
00:34:16,89
00:34:21,93
00:34:26,95
00:34:31,94
00:34:36,91
00:34:41,90
00:34:51,91
00:34:56,93
00:35:01,94
00:35:06,95
00:35:11,94
00:35:21,95
00:35:26,97
00:35:31,92
00:35:36,85
00:35:41,84
00:35:46,80
00:35:51,81
00:36:06,82
00:36:11,84
00:36:16,88
00:36:21,89
00:36:26,90
00:36:31,91
00:36:36,92
00:36:41,93
00:36:46,89
00:36:51,88
00:36:56,90
00:37:06,88
00:37:11,86
00:37:16,85
00:37:21,84
00:37:26,83
00:37:36,80
00:37:41,78
00:37:46,77
00:37:51,78
00:37:56,79
00:38:01,80
00:38:06,82
00:38:16,83
00:38:21,86
00:38:26,89
00:38:31,86
00:38:36,79
00:38:41,78
00:38:46,77
00:38:51,79
00:38:56,80
00:39:01,82
00:39:06,84
00:39:16,83
00:39:26,84
00:39:31,86
00:39:36,85
00:39:41,86
00:39:46,85
00:39:51,84
00:39:56,86
00:40:06,85
00:40:11,84
00:40:16,86
00:40:21,88
00:40:26,89
00:40:31,88
00:40:36,86
00:40:41,84
00:40:46,82
00:40:51,81
00:40:56,82
00:41:01,84
00:41:11,85
00:41:16,87
00:41:21,87
00:41:26,83
00:41:31,80
00:41:36,79
00:41:41,78
00:41:46,80
00:41:51,83
00:41:56,86
00:42:06,87
00:42:11,84
00:42:16,83
00:42:21,82
00:42:26,83
00:42:31,85
00:42:36,87
00:42:46,86
00:42:51,84
00:43:01,85
00:43:11,84
00:43:26,84
00:43:36,82
00:43:41,80
00:43:46,79
00:43:51,81
00:43:56,82
00:44:06,84
00:44:16,85
00:44:26,84
00:44:31,83
00:44:46,83
00:44:51,85
00:44:56,86
00:45:01,87
00:45:07,86
00:45:17,85
00:45:22,84
00:45:27,86
00:45:32,88
00:45:37,86
00:45:47,84
00:45:57,83
00:46:02,83
00:46:07,84
00:46:17,84
00:46:27,81
00:46:32,79
00:46:42,80
00:46:47,81
00:46:52,83
00:46:57,85
00:47:07,83
00:47:12,81
00:47:17,80
00:47:22,77
00:47:27,78
00:47:32,80
00:47:37,82
00:47:42,84
00:47:47,83
00:47:52,85
00:47:57,85
00:48:02,85
00:48:07,84
00:48:12,83
00:48:17,82
00:48:22,80
00:48:32,84
00:48:37,86
00:48:42,82
00:48:47,83
00:48:52,85
00:48:57,86
00:49:12,88
00:49:17,87
00:49:22,86
00:49:27,87
00:49:32,86
00:49:37,85
00:49:47,86
00:49:57,89
00:50:02,90
00:50:07,87
00:50:17,88
00:50:22,90
00:50:27,91
00:50:37,89
00:50:42,88
00:50:47,89
00:50:52,88
00:50:57,89
00:51:07,91
00:51:12,93
00:51:17,91
00:51:22,89
00:51:27,87
00:51:32,87
00:51:37,86
00:51:42,87
00:51:47,86
00:51:52,83
00:52:07,85
00:52:12,83
00:52:22,85
00:52:27,87
00:52:32,88
00:52:37,91
00:52:42,88
00:52:47,87
00:52:52,86
00:52:57,87
00:53:02,86
00:53:07,85
00:53:22,86
00:53:27,87
00:53:32,87
00:53:42,88
00:53:47,89
00:53:52,90
00:53:57,88
00:54:02,87
00:54:07,86
00:54:22,87
00:54:27,89
00:54:32,88
00:54:37,87
00:54:42,84
00:54:57,85
00:55:02,86
00:55:07,87
00:55:12,89
00:55:17,90
00:55:27,89
00:55:32,87
00:55:37,88
00:55:42,89
00:55:47,90
00:55:52,89
00:55:57,88
00:56:07,87
00:56:12,86
00:56:17,84
00:56:22,86
00:56:27,87
00:56:32,86
00:56:37,87
00:56:42,86
00:56:47,83
00:56:52,84
00:56:57,85
00:57:02,86
00:57:07,87
00:57:22,85
00:57:27,84
00:57:32,85
00:57:37,82
00:57:42,83
00:57:47,84
00:57:52,81
00:57:57,82
00:58:02,86
00:58:07,88
00:58:12,89
00:58:17,90
00:58:22,89
00:58:32,87
00:58:37,85
00:58:42,86
00:58:47,85
00:58:52,84
00:58:57,85
00:59:02,86
00:59:17,86
00:59:32,86
00:59:37,85
00:59:42,84
00:59:47,85
00:59:57,86
01:00:02,87
01:00:12,87
01:00:17,86
01:00:22,84
01:00:27,85
01:00:37,87
01:00:47,86
01:00:52,85
01:01:02,86
01:01:07,87
01:01:22,87
01:01:27,82
01:01:32,85
01:01:37,87
01:01:47,86
01:01:52,85
01:01:57,86
01:02:03,86
01:02:08,83
01:02:18,86
01:02:23,88
01:02:28,87
01:02:38,88
01:02:43,90
01:02:48,89
01:02:53,89
01:02:58,87
01:03:03,85
01:03:08,83
01:03:13,84
01:03:18,84
01:03:23,85
01:03:28,86
01:03:33,87
01:03:38,88
01:03:48,87
01:03:58,89
