Time,Heart Rate
00:00:02,64
00:00:07,65
00:00:17,65
00:00:27,67
00:00:32,68
00:00:42,67
00:00:47,67
00:00:52,68
00:01:02,69
00:01:07,70
00:01:22,68
00:01:27,66
00:01:37,66
00:01:47,67
00:01:52,69
00:01:57,72
00:02:12,70
00:02:17,69
00:02:22,69
00:02:27,68
00:02:32,65
00:02:37,64
00:02:42,64
00:02:52,63
00:02:57,63
00:03:02,63
00:03:07,65
00:03:12,67
00:03:27,67
00:03:32,66
00:03:42,67
00:03:47,68
00:03:57,69
00:04:12,69
00:04:17,64
00:04:27,64
00:04:32,66
00:04:42,66
00:04:57,66
00:05:08,67
00:05:23,66
00:05:33,66
00:05:43,67
00:05:48,68
00:06:03,68
00:06:08,69
00:06:13,70
00:06:18,71
00:06:23,70
00:06:28,68
00:06:33,67
00:06:43,68
00:06:48,67
00:06:58,66
00:07:08,67
00:07:13,66
00:07:18,64
00:07:33,65
00:07:38,66
00:07:48,65
00:08:03,66
00:08:18,66
00:08:23,67
00:08:28,68
00:08:38,69
00:08:43,71
00:08:48,73
00:08:53,74
00:09:08,74
00:09:13,73
00:09:18,72
00:09:28,73
00:09:43,73
00:09:58,73
00:10:08,71
00:10:13,68
00:10:28,68
00:10:43,69
00:10:48,67
00:10:53,69
00:10:58,71
00:11:03,71
00:11:08,72
00:11:13,75
00:11:18,74
00:11:23,73
00:11:28,72
00:11:33,70
00:11:38,69
00:11:43,72
00:11:48,73
00:11:53,73
00:11:58,72
00:12:03,72
00:12:18,75
00:12:23,76
00:12:38,76
00:12:43,77
00:12:58,77
00:13:08,74
00:13:13,75
00:13:23,73
00:13:28,72
00:13:43,72
00:13:53,71
00:14:03,72
00:14:13,72
00:14:28,72
00:14:33,71
00:14:38,70
00:14:43,69
00:14:58,68
00:15:03,68
00:15:13,69
00:15:18,68
00:15:23,66
00:15:28,65
00:15:38,65
00:15:48,65
00:15:53,66
00:15:58,66
00:16:03,66
00:16:08,67
00:16:18,68
00:16:33,70
00:16:38,71
00:16:43,72
00:16:53,73
00:17:03,74
00:17:18,72
00:17:23,71
00:17:28,70
00:17:43,70
00:17:58,72
00:18:03,72
00:18:08,73
00:18:13,74
00:18:18,75
00:18:28,76
00:18:33,77
00:18:43,78
00:18:58,78
00:19:03,77
00:19:08,76
00:19:13,75
00:19:23,76
00:19:33,77
00:19:39,77
00:19:44,77
00:19:49,76
00:20:04,77
00:20:09,78
00:20:19,77
00:20:24,78
00:20:34,79
00:20:44,78
00:20:49,77
00:20:54,74
00:20:59,73
00:21:04,71
00:21:09,68
00:21:14,67
00:21:24,67
00:21:34,66
00:21:39,65
00:21:54,65
00:21:59,66
00:22:04,67
00:22:09,69
00:22:14,70
00:22:19,71
00:22:24,72
00:22:34,73
00:22:39,74
