Time,State,Interpreted
22:13:30,1,Asleep
22:14:30,1,Asleep
22:15:30,1,Asleep
22:16:30,1,Asleep
22:17:30,1,Asleep
22:18:30,1,Asleep
22:19:30,1,Asleep
22:20:30,1,Asleep
22:21:30,1,Asleep
22:22:30,1,Asleep
22:23:30,1,Asleep
22:24:30,1,Asleep
22:25:30,1,Asleep
22:26:30,1,Asleep
22:27:30,1,Asleep
22:28:30,1,Asleep
22:29:30,1,Asleep
22:30:30,1,Asleep
22:31:30,1,Asleep
22:32:30,1,Asleep
22:33:30,1,Asleep
22:34:30,1,Asleep
22:35:30,1,Asleep
22:36:30,1,Asleep
22:37:30,1,Asleep
22:38:30,1,Asleep
22:39:30,1,Asleep
22:40:30,1,Asleep
22:41:30,1,Asleep
22:42:30,1,Asleep
22:43:30,1,Asleep
22:44:30,1,Asleep
22:45:30,1,Asleep
22:46:30,1,Asleep
22:47:30,1,Asleep
22:48:30,1,Asleep
22:49:30,1,Asleep
22:50:30,1,Asleep
22:51:30,1,Asleep
22:52:30,1,Asleep
22:53:30,1,Asleep
22:54:30,1,Asleep
22:55:30,1,Asleep
22:56:30,1,Asleep
22:57:30,1,Asleep
22:58:30,1,Asleep
22:59:30,1,Asleep
23:00:30,1,Asleep
23:01:30,1,Asleep
23:02:30,1,Asleep
23:03:30,1,Asleep
23:04:30,1,Asleep
23:05:30,1,Asleep
23:06:30,1,Asleep
23:07:30,1,Asleep
23:08:30,1,Asleep
23:09:30,1,Asleep
23:10:30,1,Asleep
23:11:30,1,Asleep
23:12:30,1,Asleep
23:13:30,1,Asleep
23:14:30,1,Asleep
23:15:30,1,Asleep
23:16:30,1,Asleep
23:17:30,1,Asleep
23:18:30,1,Asleep
23:19:30,1,Asleep
23:20:30,1,Asleep
23:21:30,1,Asleep
23:22:30,1,Asleep
23:23:30,1,Asleep
23:24:30,1,Asleep
23:25:30,1,Asleep
23:26:30,1,Asleep
23:27:30,1,Asleep
23:28:30,1,Asleep
23:29:30,1,Asleep
23:30:30,1,Asleep
23:31:30,1,Asleep
23:32:30,1,Asleep
23:33:30,1,Asleep
23:34:30,1,Asleep
23:35:30,1,Asleep
23:36:30,1,Asleep
23:37:30,1,Asleep
23:38:30,1,Asleep
23:39:30,1,Asleep
23:40:30,1,Asleep
23:41:30,1,Asleep
23:42:30,1,Asleep
23:43:30,1,Asleep
23:44:30,1,Asleep
23:45:30,1,Asleep
23:46:30,1,Asleep
23:47:30,1,Asleep
23:48:30,1,Asleep
23:49:30,1,Asleep
23:50:30,1,Asleep
23:51:30,1,Asleep
23:52:30,1,Asleep
23:53:30,1,Asleep
23:54:30,1,Asleep
23:55:30,1,Asleep
23:56:30,1,Asleep
23:57:30,1,Asleep
23:58:30,1,Asleep
23:59:30,1,Asleep
00:00:30,1,Asleep
00:01:30,1,Asleep
00:02:30,1,Asleep
