Time,Heart Rate
00:00:10,91
00:00:25,91
00:00:30,92
00:00:40,94
00:00:45,95
00:00:50,94
00:00:55,95
00:01:00,94
00:01:10,95
00:01:15,96
00:01:20,97
00:01:25,96
00:01:30,95
00:01:40,94
00:01:45,92
00:01:50,91
00:01:55,90
00:02:00,90
00:02:15,91
00:02:20,90
00:02:25,88
00:02:40,87
00:02:45,88
00:02:50,89
00:03:05,90
00:03:10,91
00:03:15,92
00:03:20,93
00:03:25,94
00:03:30,94
00:03:35,96
00:03:40,95
00:03:50,96
00:03:55,96
00:04:05,95
00:04:10,96
00:04:20,94
00:04:25,93
00:04:30,93
00:04:35,93
00:04:40,94
00:04:45,93
00:04:50,92
00:04:55,91
00:05:05,95
00:05:10,93
00:05:15,91
00:05:20,93
00:05:25,92
00:05:30,91
00:05:35,95
00:05:40,93
00:05:45,92
00:05:55,96
00:06:05,97
00:06:10,97
00:06:15,97
00:06:20,98
00:06:25,99
00:06:30,97
00:06:35,95
00:06:50,95
00:06:55,97
00:07:00,95
00:07:05,97
00:07:11,97
00:07:16,94
00:07:21,92
00:07:26,93
00:07:36,94
00:07:41,93
00:07:46,92
00:07:51,94
00:07:56,97
00:08:06,96
00:08:16,95
00:08:21,95
00:08:31,96
00:08:36,97
00:08:46,96
00:08:51,97
00:08:56,96
00:09:01,94
00:09:06,94
00:09:11,92
00:09:16,90
00:09:21,91
00:09:26,92
00:09:31,94
00:09:41,95
00:09:46,96
00:09:51,97
00:09:56,98
00:10:01,97
00:10:06,96
00:10:16,94
00:10:31,96
00:10:36,97
00:10:41,96
00:10:51,97
00:10:56,96
00:11:01,95
00:11:06,93
00:11:11,90
00:11:21,93
00:11:26,95
00:11:36,92
00:11:41,89
00:11:46,90
00:11:51,91
00:12:01,92
00:12:06,92
00:12:21,93
00:12:26,99
00:12:31,107
00:12:41,106
00:12:56,106
00:13:01,104
00:13:06,98
00:13:11,97
00:13:16,97
00:13:21,94
00:13:26,93
00:13:36,91
00:13:41,95
00:13:46,93
00:13:51,94
00:13:56,92
00:14:01,89
00:14:06,90
00:14:11,92
00:14:16,95
00:14:21,98
00:14:26,95
00:14:31,94
00:14:41,95
00:14:46,98
00:14:51,99
00:14:56,99
00:15:01,101
00:15:06,96
00:15:16,97
00:15:21,96
00:15:31,98
00:15:36,100
00:15:41,95
00:15:46,94
00:15:51,95
00:15:56,97
00:16:01,95
00:16:11,95
00:16:16,96
00:16:21,94
00:16:31,92
00:16:36,93
00:16:41,96
00:16:46,95
00:16:51,94
00:16:56,93
00:17:01,95
00:17:06,97
00:17:16,92
00:17:21,90
00:17:26,91
00:17:31,92
00:17:36,91
00:17:51,99
00:17:56,100
00:18:01,97
00:18:11,94
00:18:16,92
00:18:21,92
00:18:36,89
00:18:41,90
00:18:46,94
00:18:51,92
00:18:56,90
00:19:01,91
00:19:06,92
00:19:11,93
00:19:16,90
00:19:21,88
00:19:26,89
00:19:31,91
00:19:36,93
00:19:41,92
00:19:46,93
00:19:51,95
00:19:56,96
00:20:01,95
00:20:06,95
00:20:11,96
00:20:16,90
00:20:21,86
00:20:26,88
00:20:31,91
00:20:36,93
00:20:51,93
00:20:56,93
00:21:01,92
00:21:11,94
00:21:21,95
00:21:31,94
00:21:36,92
00:21:51,91
00:22:01,94
00:22:06,95
00:22:11,94
00:22:16,95
00:22:21,94
00:22:26,91
00:22:31,92
00:22:36,94
00:22:41,92
00:22:46,92
00:22:51,94
00:22:56,94
00:23:01,98
00:23:06,99
00:23:11,97
00:23:16,95
00:23:26,97
00:23:36,97
00:23:46,98
00:23:51,96
00:23:57,95
00:24:02,94
00:24:07,96
00:24:12,99
00:24:17,99
00:24:27,98
00:24:32,92
00:24:37,90
00:24:42,91
00:24:47,94
00:24:52,95
00:24:57,96
00:25:02,94
00:25:07,92
00:25:12,91
00:25:17,92
00:25:22,93
00:25:32,95
00:25:37,96
00:25:42,98
00:25:47,97
00:25:52,93
00:25:57,91
00:26:02,90
00:26:12,89
00:26:17,88
00:26:22,89
00:26:27,91
00:26:32,93
00:26:37,91
00:26:42,90
00:26:52,91
00:26:57,90
00:27:07,89
00:27:12,88
00:27:17,93
00:27:22,92
00:27:27,91
00:27:32,94
00:27:37,95
00:27:47,96
00:27:52,100
00:28:02,97
00:28:07,96
00:28:22,96
00:28:32,95
00:28:37,94
00:28:42,92
00:28:47,91
00:28:57,92
00:29:02,93
00:29:12,92
00:29:22,93
00:29:27,95
00:29:32,94
00:29:42,94
00:29:47,96
00:29:52,97
00:29:57,95
00:30:02,94
00:30:07,95
00:30:12,94
00:30:17,92
00:30:22,93
00:30:27,97
00:30:37,96
00:30:42,95
00:30:47,94
00:30:52,94
00:30:57,95
00:31:02,96
00:31:07,93
00:31:12,91
00:31:17,92
00:31:22,94
00:31:27,95
00:31:32,96
00:31:37,95
00:31:42,95
00:31:47,96
00:31:52,94
00:31:57,91
00:32:07,92
00:32:22,92
00:32:27,90
00:32:42,92
00:32:47,95
00:32:52,96
00:33:07,96
00:33:12,95
00:33:22,96
00:33:32,95
00:33:42,95
00:33:57,103
00:34:02,105
00:34:07,101
00:34:12,95
00:34:17,97
00:34:22,97
00:34:27,98
00:34:32,98
00:34:37,99
00:34:42,99
00:34:47,103
00:34:52,102
00:34:57,94
00:35:02,90
00:35:08,95
00:35:13,99
00:35:18,95
00:35:23,91
00:35:38,91
00:35:43,93
00:35:48,92
00:35:58,91
00:36:08,92
00:36:13,93
00:36:18,94
00:36:23,93
00:36:28,94
00:36:33,96
00:36:38,97
00:36:43,96
00:36:58,96
00:37:03,98
00:37:08,96
00:37:13,95
00:37:18,94
00:37:23,93
00:37:33,94
00:37:38,93
00:37:43,92
00:37:48,93
00:38:03,94
00:38:08,94
00:38:23,93
00:38:38,93
00:38:53,92
00:38:58,90
00:39:03,87
00:39:08,89
00:39:13,91
00:39:18,93
00:39:23,92
00:39:28,91
00:39:38,89
00:39:43,90
00:39:48,91
00:39:58,93
00:40:13,92
00:40:23,93
00:40:33,88
00:40:38,86
00:40:48,88
00:40:53,90
00:40:58,92
00:41:13,92
00:41:18,91
00:41:28,92
00:41:33,91
00:41:48,91
00:41:49,91
00:41:59,92
00:42:09,91
00:42:14,92
00:42:19,93
00:42:24,90
00:42:29,88
00:42:34,87
00:42:44,88
00:42:49,90
00:43:04,91
00:43:09,93
00:43:19,90
00:43:24,88
00:43:29,91
00:43:34,92
00:43:39,89
00:43:44,88
00:43:54,89
00:43:59,90
00:44:04,92
00:44:09,93
00:44:19,92
00:44:24,91
00:44:29,90
00:44:34,89
00:44:39,91
00:44:44,91
00:44:54,90
00:44:59,89
00:45:04,90
00:45:09,91
00:45:19,92
00:45:24,93
00:45:34,92
00:45:39,91
00:45:49,92
00:45:54,91
00:45:59,90
00:46:09,91
00:46:19,93
00:46:24,92
00:46:29,90
00:46:34,89
00:46:39,90
00:46:44,91
00:46:49,90
00:47:04,91
00:47:14,90
00:47:29,91
00:47:39,92
00:47:49,91
00:47:54,89
00:47:59,88
00:48:04,90
00:48:09,91
00:48:14,93
00:48:24,92
00:48:29,90
00:48:34,88
00:48:39,89
00:48:44,90
00:48:49,89
00:48:54,88
00:48:59,89
00:49:04,90
00:49:09,91
00:49:24,92
00:49:39,92
00:49:49,90
00:49:54,91
00:50:09,92
00:50:14,93
00:50:19,92
00:50:29,93
00:50:34,92
00:50:39,91
00:50:54,92
00:51:04,91
00:51:19,92
00:51:34,91
00:51:39,91
00:51:54,91
00:52:04,92
00:52:14,91
00:52:19,90
00:52:24,91
00:52:29,92
00:52:44,92
00:52:59,92
00:53:09,91
00:53:24,93
00:53:29,94
00:53:39,93
00:53:49,92
00:53:54,93
00:54:04,92
00:54:14,94
00:54:19,92
00:54:24,91
00:54:39,90
00:54:54,91
00:54:59,92
00:55:14,91
00:55:29,91
00:55:44,92
00:55:49,93
00:55:59,92
00:56:04,93
00:56:14,92
00:56:24,93
00:56:39,93
00:56:54,93
00:57:04,92
00:57:14,93
00:57:19,92
00:57:29,93
00:57:44,94
00:57:54,93
00:58:09,94
00:58:19,93
00:58:34,94
00:58:39,93
00:58:44,92
00:58:49,91
00:58:54,92
00:58:59,93
00:59:09,92
00:59:24,94
00:59:29,93
00:59:39,94
00:59:54,94
01:00:04,93
01:00:14,94
01:00:29,92
01:00:34,92
01:00:44,93
01:00:49,94
01:00:54,93
01:00:59,92
01:01:14,92
01:01:19,93
01:01:24,94
01:01:29,93
01:01:44,95
01:01:49,94
01:01:54,93
01:02:09,93
01:02:14,94
01:02:24,95
01:02:39,94
01:02:49,93
01:03:04,93
01:03:14,93
01:03:24,94
01:03:39,94
01:03:54,94
01:03:59,93
01:04:04,94
01:04:14,93
01:04:19,94
01:04:25,95
01:04:35,94
01:04:50,96
01:05:05,96
01:05:10,95
01:05:25,95
01:05:35,96
01:05:40,95
01:05:45,94
01:06:00,96
01:06:10,95
01:06:25,104
01:06:30,108
01:06:35,107
01:06:40,101
01:06:45,98
01:06:50,99
01:07:00,100
01:07:05,102
01:07:10,103
01:07:15,104
01:07:20,105
01:07:25,106
01:07:35,108
01:07:40,109
01:07:45,111
01:07:50,112
01:08:00,115
01:08:15,114
01:08:20,113
01:08:30,109
