Time,Heart Rate
00:22:05,70
01:16:43,70
01:25:58,70
01:26:13,70
01:26:52,70
01:27:07,70
01:27:17,82
01:27:22,85
01:27:27,94
01:27:37,96
01:27:42,98
01:27:47,96
01:27:52,91
01:27:57,90
01:28:02,89
01:28:07,89
01:28:22,89
01:28:32,88
01:28:37,89
01:28:42,90
01:28:57,90
01:29:49,78
01:30:04,78
01:30:19,79
01:30:24,80
01:30:29,79
01:30:34,78
01:30:44,77
01:30:49,75
01:30:59,74
01:31:04,71
01:31:19,70
01:31:34,70
01:31:49,70
01:31:54,69
01:31:59,68
01:32:04,69
01:32:09,68
01:32:19,67
01:32:34,67
01:32:44,68
01:32:49,69
01:32:54,70
01:32:59,72
01:33:04,73
01:33:09,72
01:33:19,71
01:33:29,70
01:33:34,70
01:33:44,69
01:33:49,68
01:33:54,69
01:34:04,70
01:34:09,71
01:34:14,70
01:34:29,71
01:34:34,72
01:34:39,74
01:34:49,73
01:34:54,72
01:34:59,71
01:35:04,72
01:35:09,73
01:35:19,74
01:35:29,76
01:35:34,74
01:35:39,71
01:35:44,70
01:35:49,71
01:35:54,72
01:35:59,71
01:36:04,70
01:36:09,69
01:36:19,70
01:36:24,72
01:36:30,73
01:36:35,69
01:36:40,67
01:36:50,68
01:36:55,69
01:37:10,69
01:37:15,70
01:37:25,68
01:37:40,69
01:37:45,70
01:37:55,68
01:38:10,69
01:38:15,68
01:38:20,69
01:38:25,70
01:38:35,71
01:38:40,72
01:38:45,71
01:39:00,71
01:39:05,72
01:39:15,71
01:39:20,70
01:39:25,71
01:39:35,70
01:39:40,71
01:39:45,70
01:39:50,69
01:39:55,69
01:40:05,70
01:40:20,70
01:40:25,71
01:40:40,71
01:40:45,72
01:40:50,71
01:40:55,69
01:41:10,69
01:41:15,72
01:41:20,73
01:41:25,71
01:41:35,69
01:41:50,71
01:42:00,69
01:42:10,70
01:42:25,69
01:42:30,68
01:42:45,69
01:42:50,70
01:42:55,71
01:43:00,72
01:43:15,72
01:43:30,73
01:43:35,71
01:43:50,71
01:44:05,72
01:44:10,74
01:44:15,72
01:44:20,71
01:44:35,72
01:44:40,71
01:44:50,72
01:45:00,73
01:45:05,72
01:45:10,73
01:45:15,75
01:45:20,71
01:45:25,69
01:45:35,70
01:45:40,71
01:45:50,70
01:45:55,71
01:46:00,72
01:46:05,71
01:46:15,74
01:46:20,72
01:46:25,70
01:46:30,69
01:46:40,71
01:46:45,72
01:46:50,71
01:47:00,72
01:47:15,71
01:47:20,72
01:47:25,73
01:47:30,73
01:47:45,75
01:47:50,73
01:47:55,70
01:48:00,69
01:48:10,70
01:48:20,69
01:48:25,68
01:48:40,69
01:48:55,70
01:49:05,71
01:49:15,70
01:49:30,70
01:49:40,71
01:49:55,71
01:50:05,70
01:50:15,71
01:50:20,72
01:50:25,71
01:50:40,72
01:50:50,71
01:51:05,71
01:51:10,72
01:51:20,71
01:51:25,70
01:51:30,70
01:51:35,71
01:51:50,71
01:51:55,72
01:52:05,73
01:52:20,73
01:52:25,71
01:52:40,71
01:52:50,72
01:53:00,71
01:53:10,72
01:53:15,70
01:53:30,70
01:53:35,71
01:53:45,72
01:54:00,72
01:54:15,71
01:54:30,71
01:54:45,71
01:54:50,72
01:54:55,73
01:55:00,72
01:55:05,71
01:55:15,70
01:55:30,70
01:55:31,72
01:55:41,71
01:55:51,72
01:55:56,71
01:56:11,71
01:56:16,70
01:56:26,71
01:56:31,72
01:56:36,71
01:56:41,72
01:56:46,70
01:57:01,70
01:57:06,71
01:57:11,73
01:57:21,72
01:57:26,71
01:57:41,71
01:57:46,72
01:57:51,73
01:57:56,72
01:58:01,71
01:58:11,70
01:58:16,71
01:58:21,72
01:58:26,71
01:58:41,71
01:58:56,72
01:59:01,70
01:59:16,70
01:59:21,71
01:59:26,72
01:59:36,71
01:59:51,72
02:00:01,70
02:00:16,71
02:00:31,71
02:00:36,72
02:00:46,73
02:00:51,72
02:00:56,68
02:01:06,70
02:01:11,72
02:01:16,73
02:01:31,72
02:01:36,73
02:01:41,74
02:01:51,73
02:02:06,74
02:02:21,75
02:02:26,74
02:02:31,73
02:02:41,72
02:02:56,73
02:03:06,72
02:03:11,73
02:03:26,73
02:03:41,73
02:03:51,72
02:04:06,72
02:04:11,73
02:04:16,74
02:04:21,72
02:04:26,71
02:04:36,72
02:04:51,72
02:05:06,72
02:05:21,72
02:05:36,73
02:05:41,72
02:05:56,73
02:06:11,73
02:06:21,72
02:06:36,72
02:06:51,72
02:07:06,73
02:07:11,74
02:07:16,73
02:07:31,72
02:07:41,73
02:07:46,75
02:07:51,73
02:07:56,70
02:08:11,71
02:08:16,72
02:08:21,73
02:08:26,72
02:08:36,73
02:08:51,73
02:08:56,72
02:09:06,71
02:09:16,73
02:09:31,73
02:09:36,73
02:09:41,72
02:09:46,73
02:09:51,72
02:10:06,72
02:10:16,72
02:10:31,72
02:10:36,73
02:10:51,73
02:10:56,72
02:11:01,71
02:11:11,72
02:11:16,73
02:11:21,72
02:11:27,73
02:11:32,72
02:11:37,73
02:11:52,73
02:11:57,74
02:12:02,73
02:12:17,73
02:12:32,73
02:12:47,73
02:12:52,74
02:13:07,74
02:13:12,76
02:13:22,73
02:13:27,70
02:13:32,69
02:13:37,70
02:13:42,71
02:13:47,72
02:13:52,73
02:14:07,74
02:14:17,73
02:14:22,72
02:14:32,73
02:14:37,74
02:14:42,75
02:14:47,74
02:14:52,73
02:14:57,74
02:15:12,74
02:15:17,75
02:15:27,73
02:15:37,74
02:15:42,73
02:15:57,74
02:16:12,74
02:16:17,73
02:16:32,73
02:16:47,74
02:17:02,74
02:17:07,73
02:17:17,74
02:17:22,75
02:17:27,74
02:17:32,73
02:17:47,73
02:17:57,72
02:18:02,73
02:18:17,72
02:18:32,73
02:18:42,75
02:18:47,76
02:18:52,77
02:18:57,83
02:19:02,80
02:19:07,75
02:19:12,73
02:19:22,72
02:19:37,72
02:19:42,73
02:19:52,72
02:20:07,72
02:20:12,73
02:20:22,75
02:20:27,73
02:20:42,74
02:20:47,75
02:20:52,74
02:21:07,75
02:21:12,74
02:21:17,73
02:21:27,74
02:21:42,74
02:21:52,73
02:21:57,73
