Time,Heart Rate
00:00:09,62
00:00:14,64
00:00:19,61
00:00:34,62
00:00:44,60
00:00:54,61
00:00:59,62
00:01:09,63
00:01:24,63
00:01:34,63
00:01:44,62
00:01:49,61
00:01:59,63
00:02:09,62
00:02:24,62
00:02:34,61
00:02:44,62
00:02:49,63
00:02:59,62
00:03:09,61
00:03:14,62
00:03:20,63
00:03:25,63
00:03:40,63
00:03:50,66
00:03:55,68
00:04:05,63
00:04:10,60
00:04:15,59
00:04:30,62
00:04:35,65
00:04:40,66
00:04:45,64
00:05:00,64
00:05:05,66
00:05:10,69
00:05:20,68
00:05:25,64
00:05:30,61
00:05:35,60
00:05:40,60
00:05:45,59
00:05:55,58
00:06:00,57
00:06:05,59
00:06:10,63
00:06:15,64
00:06:25,65
00:06:30,67
00:06:35,68
00:06:40,67
00:06:45,64
00:06:50,63
00:06:55,62
00:07:00,61
00:07:05,60
00:07:10,61
00:07:15,62
00:07:20,61
00:07:30,62
00:07:35,64
00:07:40,63
00:07:45,62
00:07:55,63
00:08:00,64
00:08:05,66
00:08:10,67
00:08:15,66
00:08:20,65
00:08:30,64
00:08:35,63
00:08:40,63
00:08:50,62
00:08:55,60
00:09:00,59
00:09:05,59
00:09:10,60
00:09:15,61
00:09:20,63
00:09:25,65
00:09:35,63
00:09:40,62
00:09:50,61
00:09:55,60
00:10:05,63
00:10:10,66
00:10:15,64
00:10:20,60
00:10:30,61
00:10:45,61
00:10:50,59
00:10:55,58
00:11:00,58
00:11:10,59
00:11:15,60
00:11:20,59
00:11:35,58
00:11:40,57
00:11:50,58
00:11:55,59
00:12:00,60
00:12:05,59
00:12:10,59
00:12:25,60
00:12:40,60
00:12:55,60
00:13:05,61
00:13:15,60
00:13:20,61
00:13:35,61
00:13:50,60
00:13:55,60
00:14:00,63
00:14:05,65
00:14:15,61
00:14:20,58
00:14:30,58
00:14:40,60
00:14:55,61
00:15:10,61
00:15:15,60
00:15:20,61
00:15:35,61
00:15:50,62
00:16:05,62
00:16:15,61
00:16:20,60
00:16:30,61
00:16:40,63
00:16:45,63
00:17:00,65
00:17:05,67
00:17:10,68
00:17:15,69
00:17:20,71
00:17:25,72
00:17:30,74
00:17:45,75
00:17:55,73
00:18:00,70
00:18:05,71
00:18:10,70
00:18:15,68
00:18:20,66
00:18:25,67
00:18:30,68
00:18:35,67
00:18:40,66
00:18:45,65
00:19:00,65
00:19:05,66
00:19:10,68
00:19:15,69
00:19:20,66
00:19:25,63
00:19:30,62
00:19:36,63
00:19:51,63
00:19:56,64
00:20:01,65
00:20:06,66
00:20:16,67
00:20:26,66
00:20:36,66
00:20:46,67
00:21:01,66
00:21:06,65
00:21:21,64
00:21:26,63
00:21:41,64
00:21:56,65
00:22:01,67
00:22:06,68
00:22:11,71
00:22:16,72
00:22:21,68
00:22:36,68
00:22:41,67
00:22:46,66
00:22:51,67
